Quarter,Time,Tm,Detail,KAN,SDG
2.0,12:45,Chargers,Ryan Mathews 2 yard rush (Nick Novak kick),0,7
,0:28,Chargers,Nick Novak 35 yard field goal,0,10
3.0,11:21,Chiefs,Dwayne Bowe 4 yard pass from Matt Cassel (Ryan Succop kick),7,10
,7:32,Chargers,Ryan Mathews 4 yard rush (Nick Novak kick),7,17
4.0,12:57,Chiefs,Ryan Succop 33 yard field goal,10,17
,8:03,Chargers,Nick Novak 41 yard field goal,10,20
,4:58,Chiefs,Leonard Pope 1 yard pass from Matt Cassel (Ryan Succop kick),17,20
