Unnamed: 0,KAN,SDG
First Downs,13,22
Rush-Yds-TDs,27-81-0,30-117-2
Cmp-Att-Yd-TD-INT,17-24-176-2-1,24-38-266-0-2
Sacked-Yards,1-5,2-8
Net Pass Yards,171,258
Total Yards,252,375
Fumbles-Lost,1-0,2-0
Turnovers,1,2
Penalties-Yards,7-65,4-40
Third Down Conv.,5-12,8-14
Fourth Down Conv.,1-1,0-1
Time of Possession,25:17,34:43
