Unnamed: 0,NWE,KAN
First Downs,21,20
Rush-Yds-TDs,32-98-2,20-64-0
Cmp-Att-Yd-TD-INT,17-26-315-1-0,27-42-381-2-1
Sacked-Yards,1-6,4-28
Net Pass Yards,309,353
Total Yards,407,417
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,4-25,7-50
Third Down Conv.,8-12,6-14
Fourth Down Conv.,0-0,1-2
Time of Possession,27:59,32:01
