Quarter,Time,Tm,Detail,NWE,KAN
1.0,10:29,Patriots,Corey Dillon 5 yard rush (Adam Vinatieri kick),7,0
,7:47,Chiefs,Lawrence Tynes 44 yard field goal,7,3
,3:41,Chiefs,Eddie Kennison 65 yard pass from Trent Green (Lawrence Tynes kick),7,10
2.0,8:27,Patriots,Corey Dillon 1 yard rush (Adam Vinatieri kick),14,10
,3:52,Patriots,Adam Vinatieri 37 yard field goal,17,10
3.0,6:45,Chiefs,Lawrence Tynes 24 yard field goal,17,13
,4:54,Patriots,Deion Branch 26 yard pass from Tom Brady (Adam Vinatieri kick),24,13
4.0,6:13,Chiefs,Eddie Kennison 26 yard pass from Trent Green (pass failed),24,19
,1:46,Patriots,Adam Vinatieri 28 yard field goal,27,19
