Unnamed: 0,PHI,DAL
First Downs,10,21
Rush-Yds-TDs,10-37-0,32-179-1
Cmp-Att-Yd-TD-INT,20-36-223-0-0,24-34-311-2-1
Sacked-Yards,4-32,2-16
Net Pass Yards,191,295
Total Yards,228,474
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,6-58,11-80
Third Down Conv.,3-12,5-13
Fourth Down Conv.,0-1,0-1
Time of Possession,19:37,40:23
