Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 72 yards, touchback",0.000,0.280
1,14:59,1,10,DAL 20,0,0,Tony Romo pass complete short left to Jason Witten for 5 yards (tackle by Moise Fokou),0.280,0.410
1,14:28,2,5,DAL 25,0,0,Marion Barber right tackle for 32 yards (tackle by Victor Harris),0.410,2.720
1,13:44,1,10,PHI 43,0,0,"Penalty on Leonard Davis: False Start, 5 yards (no play)",2.720,2.390
1,13:21,1,15,PHI 48,0,0,Marion Barber right tackle for 8 yards (tackle by Akeem Jordan),2.390,2.580
1,12:44,2,7,PHI 40,0,0,Tony Romo pass incomplete (defended by Brodrick Bunkley),2.580,1.880
1,12:39,3,7,PHI 40,0,0,"Tony Romo pass incomplete short middle intended for Miles Austin. Penalty on Sheldon Brown: Defensive Pass Interfere, 5 yards (no play)",1.880,3.250
1,12:35,1,10,PHI 35,0,0,Tony Romo pass incomplete deep right intended for Miles Austin (defended by Moise Fokou),3.250,2.700
1,12:28,2,10,PHI 35,0,0,Marion Barber right end for 18 yards (tackle by Akeem Jordan),2.700,4.440
1,12:07,1,10,PHI 17,0,0,Tony Romo pass complete short right to Miles Austin for 6 yards (tackle by Quintin Mikell),4.440,4.890
1,11:28,2,4,PHI 11,0,0,Felix Jones right tackle for 1 yard (tackle by Will Witherspoon and Moise Fokou),4.890,4.340
1,10:42,3,3,PHI 10,0,6,"Tony Romo pass complete short middle to Jason Witten for 10 yards, touchdown",4.340,7.000
1,,,,PHI 2,0,7,Shaun Suisham kicks extra point good,0.000,0.000
1,,,,DAL 30,0,7,"David Buehler kicks off 79 yards, touchback",0.000,0.280
1,10:35,1,10,PHI 20,0,7,DeSean Jackson right end for 6 yards (tackle by Gerald Sensabaugh),0.280,0.540
1,10:20,2,4,PHI 26,0,7,Brian Westbrook left guard for no gain (tackle by Anthony Spencer and Marcus Spears),0.540,-0.160
1,9:37,3,4,PHI 26,0,7,Donovan McNabb sacked by Bradie James for -8 yards,-0.160,-2.240
1,9:11,4,12,PHI 18,0,7,"Saverio Rocca punts 51 yards, fair catch by Patrick Crayton",-2.240,-1.000
1,9:04,1,10,DAL 31,0,7,Tony Romo pass complete short right to John Phillips for 7 yards (tackle by Will Witherspoon),1.000,1.410
1,8:20,2,3,DAL 38,0,7,Felix Jones right tackle for 11 yards (tackle by Victor Harris and Quintin Mikell),1.410,2.190
1,7:39,1,10,DAL 49,0,7,Felix Jones right guard for 8 yards (tackle by Sean Jones),2.190,2.730
1,7:01,2,2,PHI 43,0,7,Tony Romo pass complete short right to Felix Jones for 3 yards (tackle by Will Witherspoon),2.730,2.920
1,6:21,1,10,PHI 40,0,7,"Penalty on Martellus Bennett: False Start, 5 yards (no play)",2.920,2.590
1,6:12,1,15,PHI 45,0,7,Felix Jones left guard for 6 yards (tackle by Quintin Mikell),2.590,2.510
1,5:36,2,9,PHI 39,0,7,Felix Jones right tackle for 4 yards (tackle by Trent Cole),2.510,2.340
1,4:52,3,5,PHI 35,0,7,Tony Romo pass complete short middle to Miles Austin for 12 yards (tackle by Tracy White),2.340,4.040
1,4:08,1,10,PHI 23,0,7,Marion Barber left tackle for 3 yards (tackle by Trent Cole),4.040,3.900
1,3:28,2,7,PHI 20,0,7,Tony Romo pass complete short middle to Miles Austin for 11 yards (tackle by Joselio Hanson and Akeem Jordan),3.900,5.140
1,2:48,1,9,PHI 9,0,7,Marion Barber left tackle for 2 yards (tackle by Brodrick Bunkley),5.140,4.760
1,2:08,2,7,PHI 7,0,7,Tony Romo pass incomplete short left intended for Marion Barber (defended by Will Witherspoon),4.760,3.810
1,2:03,3,7,PHI 7,0,7,Tony Romo pass incomplete short right intended for Patrick Crayton is intercepted by Joselio Hanson at PHI-8 and returned for 6 yards,3.810,0.280
1,1:55,1,10,PHI 14,0,7,Donovan McNabb pass complete short left to LeSean McCoy for -4 yards (tackle by Bradie James),-0.280,-1.070
1,1:20,2,14,PHI 10,0,7,Donovan McNabb pass complete short left to Jeremy Maclin for 7 yards (tackle by Mike Jenkins),-1.070,-1.040
1,0:46,3,7,PHI 17,0,7,Donovan McNabb pass complete short right to Brent Celek for 18 yards (tackle by Orlando Scandrick),-1.040,1.270
Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 35,0,7,Donovan McNabb pass complete short right to Brent Celek for 2 yards (tackle by Bradie James),1.270,0.990
2,14:20,2,8,PHI 37,0,7,Donovan McNabb pass incomplete deep middle intended for DeSean Jackson,0.990,0.300
2,14:13,3,8,PHI 37,0,7,Donovan McNabb pass complete short middle to Brent Celek for 22 yards (tackle by Gerald Sensabaugh),0.300,2.850
2,14:13,1,10,DAL 41,0,7,Leonard Weaver middle for 2 yards (tackle by Anthony Spencer),2.850,2.580
2,12:56,2,8,DAL 39,0,7,Donovan McNabb pass incomplete short left intended for Jeremy Maclin (defended by Mike Jenkins),2.580,1.880
2,12:52,3,8,DAL 39,0,7,"Penalty on DeMarcus Ware: Neutral Zone Infraction, 5 yards (no play)",1.880,2.540
2,12:50,3,3,DAL 34,0,7,"Penalty on Jason Peters: False Start, 5 yards (no play)",2.540,1.880
2,12:50,3,8,DAL 39,0,7,Donovan McNabb pass incomplete short right intended for Jeremy Maclin,1.880,0.660
2,12:44,,,,0,7,Timeout #1 by Philadelphia Eagles,0.000,0.660
2,12:44,4,8,DAL 39,0,7,"Saverio Rocca punts 39 yards, touchback. Penalty on Orlando Scandrick: Offensive Holding, 10 yards",0.660,0.380
2,12:36,1,10,DAL 10,0,7,Felix Jones middle for 3 yards (tackle by Juqua Parker),-0.380,-0.560
2,11:53,2,7,DAL 13,0,7,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Will Witherspoon),-0.560,0.410
2,11:07,1,10,DAL 22,0,7,"Penalty on Andre Gurode: False Start, 5 yards (no play)",0.410,-0.120
2,10:39,1,15,DAL 17,0,7,Tony Romo pass complete short middle to Patrick Crayton for 30 yards (tackle by Victor Harris),-0.120,2.060
2,9:56,1,10,DAL 47,0,7,"Felix Jones left end for 24 yards (tackle by Sheldon Brown). Penalty on Deon Anderson: Offensive Holding, 10 yards (no play)",2.060,1.400
2,9:22,1,20,DAL 37,0,7,Marion Barber left tackle for 3 yards (tackle by Trent Cole),1.400,0.570
2,8:39,2,17,DAL 40,0,7,Tony Romo pass complete short right to Miles Austin for 40 yards (tackle by Akeem Jordan),0.570,4.240
2,8:03,1,10,PHI 20,0,7,Tony Romo pass complete short right to Miles Austin for 5 yards (tackle by Antonio Dixon),4.240,4.450
2,7:12,2,5,PHI 15,0,7,Marion Barber right tackle for 1 yard (tackle by Quintin Mikell and Moise Fokou),4.450,3.890
2,6:25,,,,0,7,Timeout #1 by Dallas Cowboys,0.000,3.890
