Unnamed: 0,STL,NWE
First Downs,15,23
Rush-Yds-TDs,26-90-0,29-98-1
Cmp-Att-Yd-TD-INT,18-34-304-1-1,21-33-267-1-2
Sacked-Yards,4-33,3-17
Net Pass Yards,271,250
Total Yards,361,348
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,9-63,0-0
Third Down Conv.,5-16,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,29:25,30:35
