Quarter,Time,Down,ToGo,Location,STL,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 69 yards, returned by Dante Hall for 75 yards (tackle by Mike Richardson). Penalty on Quinton Culberson: Offensive Holding, 10 yards",0.000,1.070
1,14:50,1,10,STL 32,0,0,Antonio Pittman up the middle for 4 yards (tackle by Ty Warren and Tedy Bruschi),1.070,1.070
1,14:18,2,6,STL 36,0,0,Antonio Pittman right guard for 5 yards (tackle by Tedy Bruschi),1.070,1.030
1,13:41,3,1,STL 41,0,0,Antonio Pittman up the middle for no gain (tackle by Ty Warren and Jerod Mayo),1.030,-0.650
1,13:18,4,1,STL 41,0,0,Antonio Pittman right guard for 2 yards (tackle by Mike Wright and Tedy Bruschi),-0.650,1.800
1,12:38,1,10,STL 43,0,0,Marc Bulger pass complete short right to Donnie Avery for 9 yards (tackle by Deltha O'Neal),1.800,2.470
1,12:01,2,1,NWE 48,0,0,Antonio Pittman left tackle for no gain (tackle by Richard Seymour and Tedy Bruschi),2.470,1.750
1,11:25,3,1,NWE 48,0,0,Travis Minor left tackle for 4 yards (tackle by Richard Seymour and Brandon Meriweather),1.750,2.650
1,10:47,1,10,NWE 44,0,0,Marc Bulger pass complete deep right to Donnie Avery for 35 yards (tackle by Jonathan Wilhite),2.650,5.140
1,10:11,1,9,NWE 9,0,0,Antonio Pittman left end for -2 yards (tackle by Ellis Hobbs),5.140,4.020
1,9:30,2,11,NWE 11,0,0,Marc Bulger pass complete short right to Torry Holt for 9 yards (tackle by Mike Richardson),4.020,4.950
1,8:57,,,,0,0,Timeout #1 by St. Louis Rams,0.000,4.950
1,8:57,3,2,NWE 2,0,0,Marc Bulger pass incomplete short right intended for Torry Holt,4.950,3.250
1,8:53,4,2,NWE 2,3,0,Josh Brown 20 yard field goal good,3.250,3.000
1,,,,STL 30,3,0,"Josh Brown kicks off 68 yards, returned by Ellis Hobbs for 25 yards (tackle by Jason Craft)",0.000,0.740
1,8:43,1,10,NWE 27,3,0,Matt Cassel pass incomplete short middle intended for Wes Welker,0.740,0.200
1,8:39,2,10,NWE 27,3,0,BenJarvus Green-Ellis left guard for 2 yards (tackle by Clifton Ryan and Jason Craft),0.200,-0.230
1,8:00,3,8,NWE 29,3,0,Matt Cassel pass complete short right to Wes Welker for 15 yards (tackle by Jason Craft),-0.230,1.860
1,7:22,1,10,NWE 44,3,0,BenJarvus Green-Ellis left tackle for 2 yards,1.860,1.590
1,6:48,2,8,NWE 46,3,0,Matt Cassel right end for 6 yards,1.590,1.690
1,5:58,3,2,STL 48,3,0,Matt Cassel pass complete short left to Wes Welker for 6 yards (tackle by Jason Craft),1.690,2.790
1,5:26,1,10,STL 42,3,0,Matt Cassel pass complete deep left to Jabar Gaffney for 17 yards (tackle by Fakhir Brown),2.790,3.910
