Quarter,Time,Tm,Detail,NYJ,DEN
1.0,5:08,Broncos,Matt Prater 37 yard field goal,0,3
2.0,12:04,Jets,Nick Folk 21 yard field goal,3,3
3.0,10:57,Jets,Matt Slauson 1 yard offensive fumble return (Nick Folk kick),10,3
,4:25,Broncos,Andre' Goodman 26 yard interception return (Matt Prater kick),10,10
4.0,9:14,Jets,Nick Folk 45 yard field goal,13,10
,0:58,Broncos,Tim Tebow 20 yard rush (Matt Prater kick),13,17
