Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Riley Patterson kicks off 58 yards, returned by Eric Saubert for 15 yards (tackle by Rayshawn Jenkins and Chad Muma)",0.000,0.410
1,14:54,1,10,DEN 22,0,0,Russell Wilson pass incomplete short right intended for Courtland Sutton (defended by Darious Williams),0.410,-0.130
1,14:50,2,10,DEN 22,0,0,Melvin Gordon left end for 4 yards (tackle by Josh Allen),-0.130,-0.290
1,14:08,3,6,DEN 26,0,0,Russell Wilson sacked by Arden Key for -7 yards,-0.290,-2.140
1,13:28,4,13,DEN 19,0,0,"Corliss Waitman punts 54 yards, fair catch by Christian Kirk at JAC-27",-2.140,-0.740
1,13:28,1,10,JAX 27,0,0,Trevor Lawrence pass complete short right to Travis Etienne for 6 yards (tackle by Justin Simmons),0.740,1.070
1,12:53,2,3,JAX 33,0,0,"Penalty on Dre'Mont Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.070,1.470
1,12:40,1,10,JAX 38,0,0,Trevor Lawrence scrambles right guard for 3 yards (tackle by Jonathon Cooper),1.470,1.330
1,11:58,2,7,JAX 41,0,0,Travis Etienne up the middle for no gain (tackle by D.J. Jones and Justin Simmons),1.330,0.630
1,11:25,3,7,JAX 41,0,0,Trevor Lawrence pass incomplete deep right intended for Evan Engram,0.630,-0.650
1,11:19,4,7,JAX 41,0,0,"Logan Cooke punts 48 yards, returned by Montrell Washington for 6 yards (tackle by Andrew Wingard and Daniel Thomas)",-0.650,0.060
1,11:08,1,10,DEN 17,0,0,Melvin Gordon right guard for 2 yards (tackle by Rayshawn Jenkins),-0.060,-0.250
1,10:43,2,8,DEN 19,0,0,Russell Wilson pass deep left intended for Courtland Sutton is intercepted by Tyson Campbell at DEN-37 and returned for no gain (tackle by Courtland Sutton),-0.250,-3.120
1,10:36,1,10,DEN 37,0,0,Trevor Lawrence pass complete short right to Travis Etienne for 6 yards (tackle by Josey Jewell),3.120,3.380
1,10:04,2,4,DEN 31,0,0,"Travis Etienne left tackle for no gain (tackle by Alex Singleton). Penalty on Cam Robinson: Offensive Holding, 10 yards (accepted) (no play)",3.380,2.030
1,9:48,2,14,DEN 41,0,0,Travis Etienne right end for 15 yards (tackle by Dre'Mont Jones),2.030,3.840
1,9:08,1,10,DEN 26,0,0,Jamycal Hasty up the middle for 1 yard (tackle by Mike Purcell and Alex Singleton),3.840,3.430
1,8:27,2,9,DEN 25,0,0,Trevor Lawrence pass complete short right to Jamycal Hasty for 3 yards (tackle by Justin Simmons and Jonas Griffith),3.430,3.140
1,7:46,3,6,DEN 22,0,6,"Trevor Lawrence pass complete deep left to Evan Engram for 22 yards, touchdown",3.140,7.000
1,7:40,,,DEN 15,0,7,Riley Patterson kicks extra point good,0.000,0.000
1,7:40,,,JAX 35,0,7,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
1,7:40,1,10,DEN 25,0,7,Latavius Murray right tackle for 1 yard (tackle by Arden Key and Devin Lloyd),0.610,0.200
1,7:12,2,9,DEN 26,0,7,"Latavius Murray right guard for 2 yards (tackle by DaVon Hamilton). Penalty on Eric Tomlinson: Offensive Holding, 10 yards (accepted)",0.200,-0.980
1,6:50,2,17,DEN 18,0,7,Russell Wilson pass complete short left to Jerry Jeudy for 6 yards (tackle by DaVon Hamilton),-0.980,-0.760
1,6:10,3,11,DEN 24,0,7,"Penalty on Lloyd Cushenberry: False Start, 5 yards (accepted) (no play)",-0.760,-1.510
1,5:49,3,16,DEN 19,0,7,Russell Wilson pass complete short middle to Latavius Murray for 13 yards (tackle by Foyesade Oluokun and Darious Williams),-1.510,-1.240
1,5:12,4,3,DEN 32,0,7,"Corliss Waitman punts 49 yards, fair catch by Christian Kirk at JAC-19",-1.240,-0.150
1,5:04,1,10,JAX 19,0,7,Travis Etienne right end for 2 yards (tackle by Alex Singleton),0.150,-0.060
1,4:29,2,8,JAX 21,0,7,Trevor Lawrence pass complete short right to Zay Jones for 7 yards (tackle by Damarri Mathis),-0.060,0.100
1,3:56,3,1,JAX 28,0,7,Travis Etienne left end for 5 yards (tackle by Kareem Jackson),0.100,1.140
1,3:22,1,10,JAX 33,0,7,Trevor Lawrence pass complete short right to Dan Arnold for 8 yards (tackle by Josey Jewell and Patrick Surtain),1.140,1.670
1,2:42,2,2,JAX 41,0,7,Travis Etienne up the middle for 2 yards (tackle by Jonathan Kongbo),1.670,1.800
1,1:47,1,10,JAX 43,0,7,"Travis Etienne left end for no gain (tackle by K'Waun Williams). Penalty on K'Waun Williams: Low Block, 15 yards (accepted) (no play)",1.800,2.790
1,1:22,1,10,DEN 42,0,7,Jamycal Hasty left guard for 1 yard (tackle by Nik Bonitto),2.790,2.380
1,0:41,2,9,DEN 41,0,7,"Trevor Lawrence pass complete short right to Jamycal Hasty for -2 yards (tackle by Justin Simmons and Josey Jewell). Penalty on Justin Simmons: Taunting / Defense, 15 yards (accepted)",2.380,3.710
1,0:03,1,10,DEN 28,0,7,Trevor Lawrence pass complete short right to Evan Engram for 9 yards (tackle by Damarri Mathis),3.710,4.420
Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,DEN 19,0,7,Travis Etienne up the middle for 2 yards (tackle by Alex Singleton and Jonathon Cooper),4.420,4.440
2,14:24,1,10,DEN 17,0,7,Travis Etienne right guard for 12 yards (tackle by Damarri Mathis and Jonathon Cooper),4.440,6.060
2,13:41,1,5,DEN 5,0,7,Trevor Lawrence pass incomplete short middle,6.060,5.150
2,13:31,2,5,DEN 5,0,7,"Trevor Lawrence pass incomplete intended for Evan Engram. Penalty on Kareem Jackson: Defensive Holding, 2 yards (accepted) (no play)",5.150,6.510
2,13:30,1,3,DEN 3,0,7,Travis Etienne left guard for -2 yards (tackle by Dre'Mont Jones),6.510,5.150
2,12:50,2,5,DEN 5,0,7,"Trevor Lawrence pass incomplete short left intended for Marvin Jones. Penalty on Patrick Surtain: Defensive Pass Interference, 4 yards (accepted) (no play)",5.150,6.970
2,12:48,1,1,DEN 1,0,7,Trevor Lawrence pass short right intended for Marvin Jones is intercepted by Justin Simmons in end zone and returned for no gain,6.970,-0.280
2,12:42,1,10,DEN 20,0,7,Russell Wilson pass incomplete short right intended for Latavius Murray (defended by Folorunso Fatukasi),0.280,-0.270
2,12:36,2,10,DEN 20,0,7,Latavius Murray up the middle for 9 yards (tackle by Tre Herndon),-0.270,0.230
2,12:02,3,1,DEN 29,0,7,Latavius Murray up the middle for no gain (tackle by Foyesade Oluokun and Darious Williams),0.230,-1.440
2,11:13,4,1,DEN 29,0,7,"Penalty on DEN: Delay of Game, 4 yards (accepted) (no play)",-1.440,-1.700
2,11:01,4,5,DEN 25,0,7,"Corliss Waitman punts 48 yards, returned by Christian Kirk for no gain (tackle by Darius Phillips)",-1.700,-0.740
2,10:52,1,10,JAX 27,0,7,Trevor Lawrence pass incomplete short right intended for Christian Kirk (defended by K'Waun Williams),0.740,0.200
2,10:48,2,10,JAX 27,0,7,Travis Etienne left end for 49 yards (tackle by Justin Simmons),0.200,3.970
2,10:12,1,10,DEN 24,0,7,Jamycal Hasty left end for -1 yards (tackle by Dre'Mont Jones),3.970,3.300
2,9:30,2,11,DEN 25,0,7,Trevor Lawrence pass incomplete short right,3.300,2.610
2,9:22,3,11,DEN 25,0,7,Trevor Lawrence pass complete short right to Evan Engram for 6 yards (tackle by Kareem Jackson),2.610,2.240
2,8:46,4,5,DEN 19,0,10,Riley Patterson 37 yard field goal good,2.240,3.000
2,8:43,,,JAX 35,0,10,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
2,8:43,1,10,DEN 25,0,10,Russell Wilson pass complete short right to Courtland Sutton for 13 yards (tackle by Tyson Campbell),0.610,1.470
2,8:11,1,10,DEN 38,0,10,Russell Wilson pass complete short middle to Jerry Jeudy for 8 yards (tackle by Rayshawn Jenkins),1.470,2.000
2,7:45,2,2,DEN 46,0,10,Melvin Gordon right end for 9 yards (tackle by Andre Cisco and Foyesade Oluokun),2.000,2.590
2,7:18,1,10,JAX 45,0,10,Melvin Gordon up the middle for 3 yards (tackle by Devin Lloyd and Travon Walker),2.590,2.450
2,6:41,2,7,JAX 42,0,10,Melvin Gordon up the middle for 6 yards (tackle by Travon Walker),2.450,2.540
2,6:00,3,1,JAX 36,0,10,Latavius Murray up the middle for no gain (tackle by Roy Robertson-Harris),2.540,0.890
2,5:22,4,1,JAX 36,0,10,Russell Wilson up the middle for 2 yards (tackle by Devin Lloyd and Roy Robertson-Harris),0.890,3.310
2,4:48,1,10,JAX 34,0,10,Russell Wilson pass complete short right to Montrell Washington for 1 yard (tackle by Darious Williams and Dawuane Smoot),3.310,2.910
2,4:03,2,9,JAX 33,0,10,Russell Wilson pass complete short right to Melvin Gordon for 2 yards (tackle by Tyson Campbell),2.910,2.480
2,3:24,3,7,JAX 31,0,10,Russell Wilson pass complete deep left to Jerry Jeudy for 25 yards (tackle by Rayshawn Jenkins),2.480,5.830
2,2:50,1,6,JAX 6,6,10,"Russell Wilson pass complete short middle to Jerry Jeudy for 6 yards, touchdown",5.830,7.000
2,2:44,,,JAX 15,7,10,Brandon McManus kicks extra point good,0.000,0.000
2,2:44,,,DEN 35,7,10,"Penalty on DEN: Delay of Kickoff, 5 yards (accepted) (no play)",0.000,0.000
2,2:44,,,DEN 30,7,10,"Brandon McManus kicks off 66 yards, returned by Jamycal Hasty for 29 yards (tackle by Delarrin Turner-Yell)",0.000,1.140
2,2:39,1,10,JAX 33,7,10,Trevor Lawrence pass incomplete short left intended for Christian Kirk,1.140,0.590
2,2:36,2,10,JAX 33,7,10,"Trevor Lawrence pass complete short left to Travis Etienne for no gain (tackle by Kareem Jackson). Penalty on Bradley Chubb: Defensive Offside, 5 yards (accepted) (no play)",0.590,1.270
2,2:08,2,5,JAX 38,7,10,Trevor Lawrence pass complete short middle to Christian Kirk for 11 yards (tackle by Josey Jewell),1.270,2.190
2,2:00,1,10,JAX 49,7,10,Travis Etienne right guard for 8 yards (tackle by Josey Jewell),2.190,2.730
2,1:30,2,2,DEN 43,7,10,Trevor Lawrence pass complete short left to Christian Kirk for 4 yards (tackle by Kareem Jackson),2.730,2.980
2,1:27,1,10,DEN 39,7,10,Trevor Lawrence pass incomplete short middle intended for Evan Engram,2.980,2.440
2,1:24,2,10,DEN 39,7,10,Travis Etienne up the middle for 1 yard (tackle by Dre'Mont Jones and Jonathon Cooper),2.440,1.880
2,1:20,,,,,,Timeout #1 by Denver Broncos,,
2,1:20,3,9,DEN 38,7,10,"Trevor Lawrence pass incomplete deep left. Penalty on Trevor Lawrence: Intentional Grounding, 14 yards (accepted)",1.880,-0.190
2,1:13,4,23,JAX 48,7,10,"Logan Cooke punts 46 yards, returned by Montrell Washington for 3 yards (tackle by Jamycal Hasty and Shaquille Quarterman)",-0.190,0.380
2,1:01,1,10,DEN 9,7,10,Russell Wilson pass complete short left to Melvin Gordon for 12 yards (tackle by Tyson Campbell),-0.380,0.340
2,0:53,1,10,DEN 21,7,10,Russell Wilson pass incomplete deep left,0.340,-0.200
2,0:46,2,10,DEN 21,7,10,Russell Wilson pass complete short left to Jerry Jeudy for 13 yards,-0.200,1.200
2,0:41,1,10,DEN 34,7,10,Russell Wilson pass complete short right to Greg Dulcich for 9 yards (tackle by Rayshawn Jenkins),1.200,1.870
2,0:32,,,,,,Timeout #2 by Denver Broncos,,
