Unnamed: 0,DEN,JAX
First Downs,18,24
Rush-Yds-TDs,28-101-2,32-191-1
Cmp-Att-Yd-TD-INT,18-30-252-1-1,18-31-133-1-2
Sacked-Yards,3-22,2-19
Net Pass Yards,230,114
Total Yards,331,305
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,12-80,5-54
Third Down Conv.,2-11,4-11
Fourth Down Conv.,2-3,0-0
Time of Possession,25:56,34:04
