Quarter,Time,Tm,Detail,DEN,JAX
1.0,7:40,Jaguars,Evan Engram 22 yard pass from Trevor Lawrence (Riley Patterson kick),0,7
2.0,8:43,Jaguars,Riley Patterson 37 yard field goal,0,10
,2:44,Broncos,Jerry Jeudy 6 yard pass from Russell Wilson (Brandon McManus kick),7,10
3.0,5:07,Broncos,Melvin Gordon 1 yard rush (Brandon McManus kick),14,10
4.0,3:54,Jaguars,Travis Etienne 1 yard rush (Riley Patterson kick),14,17
,1:43,Broncos,Latavius Murray 2 yard rush (Brandon McManus kick),21,17
