Unnamed: 0,JAX,CLE
First Downs,17,15
Rush-Yds-TDs,38-122-0,32-98-0
Cmp-Att-Yd-TD-INT,11-20-116-2-1,13-20-226-2-0
Sacked-Yards,1-1,5-21
Net Pass Yards,115,205
Total Yards,237,303
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,5-50,7-97
Third Down Conv.,5-13,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,29:43,30:17
