Quarter,Time,Tm,Detail,JAX,CLE
1.0,4:14,Jaguars,Josh Scobee 24 yard field goal,3,0
2.0,10:41,Browns,Braylon Edwards 34 yard pass from Charlie Frye (Phil Dawson kick),3,7
,0:44,Browns,Braylon Edwards 17 yard pass from Charlie Frye (Phil Dawson kick),3,14
3.0,10:13,Jaguars,Josh Scobee 29 yard field goal,6,14
,5:04,Jaguars,George Wrighster 9 yard pass from David Garrard (Josh Scobee kick),13,14
,1:11,Jaguars,Jimmy Smith 12 yard pass from David Garrard (Josh Scobee kick),20,14
