Quarter,Time,Down,ToGo,Location,JAX,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 68 yards, returned by Josh Cribbs for 28 yards (tackle by Deke Cooper)",0.000,0.940
1,14:53,1,10,CLE 30,0,0,Reuben Droughns left guard for 4 yards (tackle by Paul Spicer),0.940,0.930
1,14:16,2,6,CLE 34,0,0,Reuben Droughns left guard for 2 yards (tackle by Reggie Hayward and Deke Cooper),0.930,0.500
1,13:35,3,4,CLE 36,0,0,Charlie Frye pass complete to Antonio Bryant for 29 yards (tackle by Deon Grant),0.500,3.250
1,13:05,1,10,JAX 35,0,0,Reuben Droughns right guard for 1 yard (tackle by John Henderson and Mike Peterson),3.250,2.840
1,12:28,2,9,JAX 34,0,0,Reuben Droughns left tackle for 4 yards (tackle by Mike Peterson and Akin Ayodele),2.840,2.680
1,11:50,3,5,JAX 30,0,0,Reuben Droughns left guard for 4 yards (tackle by Daryl Smith and Deke Cooper),2.680,1.890
1,11:05,4,1,JAX 26,0,0,Reuben Droughns left guard for no gain (tackle by John Henderson and Mike Peterson),1.890,-0.670
1,11:00,1,10,JAX 26,0,0,Greg Jones right guard for 6 yards (tackle by Alvin McKinley and Matt Stewart),0.670,0.940
1,10:26,2,4,JAX 32,0,0,Greg Jones right guard for 5 yards,0.940,1.400
1,9:49,1,10,JAX 37,0,0,David Garrard pass complete to Ernest Wilford for 7 yards,1.400,1.800
1,9:15,2,3,JAX 44,0,0,Greg Jones left guard for 1 yard (tackle by Orpheus Roye),1.800,1.220
1,8:36,3,2,JAX 45,0,0,Greg Jones left guard for 2 yards (tackle by Orlando Ruff and Matt Stewart),1.220,2.060
1,7:57,1,10,JAX 47,0,0,David Garrard pass complete to Ernest Wilford for 18 yards (tackle by Matt Stewart and Daylon McCutcheon),2.060,3.250
1,7:20,1,10,CLE 35,0,0,Greg Jones left guard for 2 yards,3.250,2.970
1,6:43,2,8,CLE 33,0,0,David Garrard left end for 2 yards (tackle by Alvin McKinley and Chaun Thompson),2.970,2.540
1,5:57,3,6,CLE 31,0,0,David Garrard pass complete to Jimmy Smith for 22 yards (tackle by Brian Russell),2.540,5.140
1,5:14,1,9,CLE 9,0,0,David Garrard pass incomplete (defended by Chaun Thompson),5.140,4.380
1,5:08,2,9,CLE 9,0,0,Greg Jones right guard for 3 yards (tackle by Orpheus Roye and Jason Fisk),4.380,4.040
1,4:28,3,6,CLE 6,0,0,David Garrard pass incomplete intended for Ernest Wilford,4.040,2.990
1,4:17,4,6,CLE 6,3,0,Josh Scobee 24 yard field goal good,2.990,3.000
1,,,,JAX 30,3,0,"Josh Scobee kicks off 62 yards, returned by Josh Cribbs for 17 yards (tackle by Tony Gilbert)",0.000,0.610
1,4:09,1,10,CLE 25,3,0,Reuben Droughns left guard for 4 yards (tackle by Marcus Stroud and Mike Peterson),0.610,0.600
1,3:34,2,6,CLE 29,3,0,Reuben Droughns right tackle for -1 yards (tackle by Daryl Smith and Rashean Mathis),0.600,-0.230
1,2:54,3,7,CLE 28,3,0,Charlie Frye pass incomplete intended for Antonio Bryant,-0.230,-1.500
1,2:49,4,7,CLE 28,3,0,"Kyle Richardson punts 44 yards, returned by Alvin Pearman for 7 yards (tackle by Sean Jones)",-1.500,-1.270
1,2:36,1,10,JAX 35,3,0,Greg Jones right tackle for no gain (tackle by Ben Taylor and Chris Crocker),1.270,0.720
1,1:59,2,10,JAX 35,3,0,David Garrard pass complete to Alvin Pearman for -4 yards,0.720,-0.490
1,1:14,,,,3,0,Timeout #1 by Jacksonville Jaguars,0.000,-0.490
1,1:14,3,14,JAX 31,3,0,David Garrard pass incomplete intended for Jimmy Smith (defended by Ben Taylor),-0.490,-1.310
1,1:09,4,14,JAX 31,3,0,Chris Hanson punts 47 yards,-1.310,-0.410
1,1:01,1,10,CLE 22,3,0,Reuben Droughns right end for -3 yards (tackle by Mike Peterson and Rob Meier),0.410,-0.600
1,0:20,2,13,CLE 19,3,0,Reuben Droughns left guard for 3 yards (tackle by John Henderson),-0.600,-0.820
Quarter,Time,Down,ToGo,Location,JAX,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,CLE 22,3,0,"Charlie Frye sacked by John Henderson for -2 yards. Penalty on Bobby McCray: Defensive Holding, 5 yards (no play)",-0.820,0.740
2,14:31,1,10,CLE 27,3,0,"Reuben Droughns right guard for 1 yard (tackle by Paul Spicer and Akin Ayodele). Penalty on Braylon Edwards: Illegal Formation, 5 yards (no play)",0.740,0.410
2,14:12,1,15,CLE 22,3,0,Reuben Droughns left tackle for 2 yards (tackle by Paul Spicer and Mike Peterson),0.410,-0.210
2,13:32,2,13,CLE 24,3,0,"Charlie Frye pass complete to Frisman Jackson for 8 yards (tackle by Scott Starks). Penalty on Anthony Maddox: Roughing the Passer, 15 yards",-0.210,2.060
2,13:08,1,10,CLE 47,3,0,Charlie Frye right end for 1 yard (tackle by Mike Peterson),2.060,1.650
2,12:39,2,9,CLE 48,3,0,Charlie Frye pass complete to Antonio Bryant for 11 yards (tackle by Kenny Wright),1.650,2.850
2,12:11,1,10,JAX 41,3,0,Reuben Droughns right guard for 5 yards (tackle by Akin Ayodele),2.850,2.980
2,11:33,2,5,JAX 36,3,0,Reuben Droughns left guard for 2 yards (tackle by John Henderson and Paul Spicer),2.980,2.540
2,10:50,3,3,JAX 34,3,6,"Charlie Frye pass complete to Braylon Edwards for 34 yards, touchdown. Penalty on Reggie Hayward: Defensive Offside (Declined)",2.540,7.000
2,,,,JAX 2,3,7,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,3,7,"Phil Dawson kicks off 51 yards, returned by Kyle Brady for 24 yards (tackle by Frisman Jackson)",0.000,1.800
2,10:33,1,10,JAX 43,3,7,David Garrard pass complete to George Wrighster for no gain,1.800,1.250
2,9:52,2,10,JAX 43,3,7,Greg Jones right guard for 2 yards (tackle by Ben Taylor and Orpheus Roye),1.250,0.830
2,9:16,3,8,JAX 45,3,7,David Garrard sacked by Kenard Lang for -1 yards,0.830,-0.460
2,8:49,4,9,JAX 44,3,7,"Chris Hanson punts 37 yards, fair catch by Dennis Northcutt",-0.460,-0.150
2,8:41,1,10,CLE 19,3,7,Reuben Droughns right guard for 8 yards (tackle by Akin Ayodele),0.150,0.750
2,8:07,2,2,CLE 27,3,7,Reuben Droughns right guard for 4 yards (tackle by Akin Ayodele and Rob Meier),0.750,1.000
2,7:23,1,10,CLE 31,3,7,"Reuben Droughns left guard for 3 yards (tackle by Rob Meier). Penalty on Mike Pucillo: Offensive Holding, 10 yards (no play)",1.000,0.340
2,6:59,1,20,CLE 21,3,7,Charlie Frye pass incomplete intended for Braylon Edwards,0.340,-0.890
2,6:53,2,20,CLE 21,3,7,Charlie Frye pass complete to Dennis Northcutt for 45 yards (tackle by Terry Cousin),-0.890,3.310
2,6:26,1,10,JAX 34,3,7,Reuben Droughns right guard for 9 yards (tackle by Paul Spicer and Gerald Sensabaugh),3.310,3.990
2,5:47,2,1,JAX 25,3,7,Reuben Droughns left guard for 4 yards (tackle by Rashean Mathis),3.990,4.170
2,5:15,1,10,JAX 21,3,7,Reuben Droughns right tackle for 1 yard (tackle by Rashean Mathis and Rob Meier),4.170,3.760
2,4:34,2,9,JAX 20,3,7,Reuben Droughns left guard for 3 yards (tackle by Akin Ayodele and Marcus Stroud),3.760,3.460
2,3:52,3,6,JAX 17,3,7,Charlie Frye pass incomplete intended for Antonio Bryant,3.460,2.340
2,3:47,4,6,JAX 17,3,7,Phil Dawson 34 yard field goal no good,2.340,-0.610
2,3:42,1,10,JAX 25,3,7,Greg Jones left guard for 7 yards,0.610,1.010
2,3:09,2,3,JAX 32,3,7,Greg Jones left guard for 5 yards (tackle by Nick Eason and Ben Taylor),1.010,1.400
2,2:32,1,10,JAX 37,3,7,Greg Jones left tackle for -1 yards (tackle by Leigh Bodden),1.400,0.720
2,2:00,2,11,JAX 36,3,7,Matt Jones left guard for 3 yards (tackle by Chaun Thompson),0.720,0.430
2,1:23,3,8,JAX 39,3,7,David Garrard pass incomplete intended for Jimmy Smith is intercepted by Brian Russell at CLE-41,0.430,-1.660
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:14,1,10,CLE 41,3,7,Charlie Frye pass complete to Braylon Edwards for 23 yards (tackle by Deon Grant),1.660,3.180
2,1:04,,,,3,7,Timeout #1 by Cleveland Browns,0.000,3.180
2,1:04,1,10,JAX 36,3,7,Charlie Frye pass complete to Aaron Shea for 13 yards (tackle by Rashean Mathis). Penalty on Terry Cousin: Defensive Offside (Declined),3.180,4.040
2,0:57,1,10,JAX 23,3,7,Reuben Droughns left guard for 6 yards (tackle by Mike Peterson and Deon Grant),4.040,4.380
2,0:50,,,,3,7,Timeout #2 by Cleveland Browns,0.000,4.380
2,0:50,2,4,JAX 17,3,13,"Charlie Frye pass complete to Braylon Edwards for 17 yards, touchdown",4.380,7.000
2,,,,JAX 2,3,14,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,3,14,"Phil Dawson kicks off 58 yards, returned by Derrick Wimbush for 19 yards (tackle by Josh Cribbs)",0.000,1.000
2,0:36,1,10,JAX 31,3,14,Alvin Pearman left guard for 3 yards,1.000,0.870
2,0:17,2,7,JAX 34,3,14,"David Garrard pass complete to Jimmy Smith for 9 yards. Penalty on Jimmy Smith: Offensive Pass Interfere, 10 yards (no play)",0.870,-0.490
2,0:13,2,17,JAX 24,3,14,David Garrard kneels for -2 yards,-0.490,-1.420
Quarter,Time,Down,ToGo,Location,JAX,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,3,14,"Phil Dawson kicks off 58 yards, returned by Derrick Wimbush for 37 yards (tackle by Chaun Thompson)",0.000,2.190
3,14:51,1,10,JAX 49,3,14,Greg Jones left tackle for no gain (tackle by Ben Taylor),2.190,1.650
3,14:14,2,10,JAX 49,3,14,"David Garrard pass incomplete intended for Ernest Wilford. Penalty on Andra Davis: Face Mask (15 Yards), 15 yards (no play)",1.650,3.180
3,14:08,1,10,CLE 36,3,14,David Garrard pass incomplete intended for Jimmy Smith,3.180,2.640
3,14:02,2,10,CLE 36,3,14,Greg Jones left guard for 2 yards,2.640,2.210
3,13:22,3,8,CLE 34,3,14,David Garrard pass complete to Ernest Wilford for 11 yards (tackle by Daylon McCutcheon),2.210,4.040
3,12:45,1,10,CLE 23,3,14,Greg Jones left guard for 8 yards (tackle by Brian Russell),4.040,4.750
3,12:10,2,2,CLE 15,3,14,Greg Jones left tackle for 1 yard,4.750,4.280
3,11:28,3,1,CLE 14,3,14,David Garrard up the middle for 2 yards (tackle by Alvin McKinley),4.280,4.780
3,10:52,1,10,CLE 12,3,14,David Garrard pass incomplete intended for Jimmy Smith,4.780,4.100
3,10:45,2,10,CLE 12,3,14,Greg Jones left end for 1 yard,4.100,3.290
3,10:25,3,9,CLE 11,3,14,David Garrard pass incomplete intended for Ernest Wilford,3.290,2.700
3,10:17,4,9,CLE 11,6,14,Josh Scobee 29 yard field goal good,2.700,3.000
3,,,,JAX 30,6,14,"Josh Scobee kicks off 62 yards, returned by Josh Cribbs for 8 yards (tackle by Scott Starks)",0.000,-0.140
3,10:06,1,10,CLE 16,6,14,Charlie Frye pass complete to Braylon Edwards for 8 yards (tackle by Rashean Mathis),-0.140,0.550
3,9:31,2,2,CLE 24,6,14,"Reuben Droughns right guard for 3 yards. Penalty on Antonio Bryant: Illegal Block Above the , 10 yards",0.550,-0.510
3,9:31,2,9,CLE 17,6,14,Charlie Frye sacked by Mike Peterson for -6 yards,-0.510,-2.010
3,9:31,3,15,CLE 11,6,14,Charlie Frye sacked by Bobby McCray for -9 yards,-2.010,-2.490
3,8:12,4,24,CLE 2,6,14,"Kyle Richardson punts 50 yards, returned by Alvin Pearman for 10 yards (tackle by Corey McIntyre)",-2.490,-2.790
3,8:02,1,10,CLE 42,6,14,Greg Jones left tackle for 5 yards,2.790,2.920
3,7:24,2,5,CLE 37,6,14,David Garrard pass complete to Jimmy Smith for 15 yards,2.920,4.110
3,7:03,1,10,CLE 22,6,14,Greg Jones left guard for 2 yards (tackle by Ben Taylor and Chaun Thompson),4.110,3.830
3,6:27,2,8,CLE 20,6,14,David Garrard pass complete to Greg Jones for 9 yards (tackle by Ben Taylor and Brian Russell),3.830,4.840
3,5:48,1,10,CLE 11,6,14,Greg Jones left guard for 2 yards (tackle by Ben Taylor),4.840,4.510
3,5:11,2,8,CLE 9,12,14,"David Garrard pass complete to George Wrighster for 9 yards, touchdown. Penalty on George Wrighster: Unsportsmanlike Conduct, 15 yards",4.510,7.000
3,,,,CLE 2,13,14,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 15,13,14,"Josh Scobee kicks off 46 yards, returned by Aaron Shea for 9 yards (tackle by Brian Jones)",0.000,2.130
3,4:56,1,10,CLE 48,13,14,Reuben Droughns right guard for 3 yards (tackle by Mike Peterson and Marcus Stroud),2.130,1.990
3,4:17,2,7,JAX 49,13,14,Reuben Droughns right tackle for -1 yards (tackle by Marcus Stroud),1.990,1.160
3,3:35,3,8,CLE 50,13,14,Charlie Frye sacked by Paul Spicer for -5 yards,1.160,-0.390
3,3:19,4,13,CLE 45,13,14,"Kyle Richardson punts 38 yards, returned by Alvin Pearman for 4 yards (tackle by Matt Stewart)",-0.390,-0.340
3,3:09,1,10,JAX 21,13,14,Greg Jones left guard for 3 yards (tackle by Chaun Thompson and Orpheus Roye),0.340,0.210
3,2:36,2,7,JAX 24,13,14,"David Garrard pass incomplete intended for Jimmy Smith. Penalty on Leigh Bodden: Defensive Pass Interfere, 46 yards (no play)",0.210,3.580
3,2:27,1,10,CLE 30,13,14,Greg Jones left tackle for 1 yard (tackle by Orpheus Roye and Matt Stewart),3.580,3.170
3,1:52,2,9,CLE 29,13,14,David Garrard pass complete to Kyle Brady for 17 yards (tackle by Ben Taylor and Chris Crocker),3.170,4.780
3,1:19,1,10,CLE 12,19,14,"David Garrard pass complete to Jimmy Smith for 12 yards, touchdown",4.780,7.000
3,,,,CLE 2,20,14,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 30,20,14,"Josh Scobee kicks off 60 yards, returned by Josh Cribbs for 22 yards (tackle by Brian Jones)",0.000,1.070
3,1:04,1,10,CLE 32,20,14,Reuben Droughns right guard for 4 yards (tackle by Paul Spicer and Gerald Sensabaugh),1.070,1.070
3,0:23,2,6,CLE 36,20,14,"Reuben Droughns for -8 yards (tackle by Marcus Stroud). Reuben Droughns fumbles (forced by Marcus Stroud), recovered by Reuben Droughns at CLE-28",1.070,-0.690
Quarter,Time,Down,ToGo,Location,JAX,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,14,CLE 28,20,14,Charlie Frye pass complete to Antonio Bryant for 23 yards (tackle by Kenny Wright),-0.690,2.320
4,14:44,1,10,JAX 49,20,14,Charlie Frye pass complete to Braylon Edwards for 4 yards (tackle by Rashean Mathis),2.320,2.320
4,14:09,2,6,JAX 45,20,14,Reuben Droughns right guard for 4 yards (tackle by Marcus Stroud and Mike Peterson),2.320,2.150
4,13:27,3,2,JAX 41,20,14,Charlie Frye up the middle for 9 yards (tackle by Paul Spicer),2.150,3.450
4,12:42,1,10,JAX 32,20,14,Reuben Droughns left tackle for 14 yards (tackle by Gerald Sensabaugh and Deon Grant),3.450,4.370
4,11:59,1,10,JAX 18,20,14,Reuben Droughns right guard for no gain (tackle by Rashean Mathis and John Henderson),4.370,3.800
4,11:15,,,,20,14,Timeout #1 by Jacksonville Jaguars,0.000,3.800
4,11:15,2,10,JAX 18,20,14,Charlie Frye pass incomplete intended for Reuben Droughns,3.800,3.050
4,11:09,3,10,JAX 18,20,14,"Charlie Frye pass complete to Braylon Edwards for 9 yards. Penalty on Braylon Edwards: Offensive Pass Interfere, 10 yards (no play)",3.050,1.820
4,10:41,3,20,JAX 28,20,14,Charlie Frye sacked by John Henderson for -1 yards,1.820,1.500
4,10:16,4,21,JAX 29,20,14,Phil Dawson punts 22 yards,1.500,0.380
4,10:10,1,10,JAX 7,20,14,Greg Jones left guard for 4 yards (tackle by Nick Eason),-0.380,-0.490
4,9:36,2,6,JAX 11,20,14,David Garrard pass incomplete intended for Jimmy Smith,-0.490,-0.950
4,9:30,3,6,JAX 11,20,14,David Garrard pass incomplete intended for Jimmy Smith (defended by Ray Mickens),-0.950,-2.490
4,9:24,4,6,JAX 11,20,14,Chris Hanson punts 47 yards,-2.490,-1.730
4,9:15,1,10,CLE 42,20,14,Charlie Frye pass incomplete intended for Antonio Bryant,1.730,1.190
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
4,9:08,2,10,CLE 42,20,14,Charlie Frye pass incomplete intended for Braylon Edwards,1.190,0.500
4,9:02,3,10,CLE 42,20,14,Charlie Frye pass incomplete intended for Aaron Shea,0.500,-0.590
4,8:55,4,10,CLE 42,20,14,Kyle Richardson punts 32 yards,-0.590,-0.670
4,8:43,1,10,JAX 26,20,14,Greg Jones left guard for 22 yards (tackle by Chris Crocker),0.670,2.130
4,8:06,1,10,JAX 48,20,14,Greg Jones left guard for 18 yards,2.130,3.310
4,7:20,1,10,CLE 34,20,14,Greg Jones left guard for no gain (tackle by Orpheus Roye),3.310,2.770
4,6:39,2,10,CLE 34,20,14,Greg Jones left guard for 1 yard (tackle by Jason Fisk and Orpheus Roye),2.770,2.210
4,5:53,,,,20,14,Timeout #2 by Jacksonville Jaguars,0.000,2.210
4,5:53,3,9,CLE 33,20,14,David Garrard up the middle for -3 yards (tackle by Orpheus Roye),2.210,0.380
4,5:28,1,10,CLE 2,20,14,"Reuben Droughns left guard for 8 yards (tackle by Kenny Wright and Akin Ayodele). Penalty on Cosey Coleman: Offensive Holding, 1 yards (no play)",-0.380,-0.420
4,5:06,1,11,CLE 1,20,14,Reuben Droughns left tackle for 5 yards (tackle by Akin Ayodele and Mike Peterson),-0.420,-0.490
4,4:27,2,6,CLE 6,20,14,Charlie Frye pass complete to Frisman Jackson for 7 yards,-0.490,-0.320
4,4:21,1,10,CLE 13,20,14,Charlie Frye pass complete to Steve Heiden for 4 yards (tackle by Mike Peterson),-0.320,-0.300
4,3:43,2,6,CLE 17,20,14,Reuben Droughns right guard for 2 yards (tackle by Deke Cooper and Mike Peterson),-0.300,-0.710
4,3:08,3,4,CLE 19,20,14,Charlie Frye sacked by Daryl Smith for 0 yards,-0.710,-2.140
4,2:28,4,4,CLE 19,20,14,Kyle Richardson punts 37 yards,-2.140,-1.860
4,2:17,1,10,JAX 44,20,14,Greg Jones left guard for 1 yard (tackle by Orlando Ruff and Jason Fisk),1.860,1.450
4,2:14,,,,20,14,Timeout #2 by Cleveland Browns,0.000,1.450
4,2:14,2,9,JAX 45,20,14,David Garrard right end for -10 yards (tackle by Orpheus Roye),1.450,-0.560
4,2:09,,,,20,14,Timeout #3 by Cleveland Browns,0.000,-0.560
4,2:09,3,19,JAX 35,20,14,David Garrard left guard for 28 yards (tackle by Brian Russell),-0.560,3.120
4,2:00,1,10,CLE 37,20,14,David Garrard kneels for -2 yards,3.120,2.300
4,1:20,2,12,CLE 39,20,14,David Garrard kneels for -1 yards,2.300,1.490
4,1:20,3,13,CLE 40,20,14,"Penalty on David Garrard: Delay of Game, 5 yards (no play)",1.490,0.830
4,1:20,3,18,CLE 45,20,14,David Garrard kneels for -1 yards,0.830,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
