Unnamed: 0,ARI,JAX
First Downs,22,18
Rush-Yds-TDs,28-118-1,20-92-0
Cmp-Att-Yd-TD-INT,27-32-265-2-0,23-43-282-2-1
Sacked-Yards,0-0,4-7
Net Pass Yards,265,275
Total Yards,383,367
Fumbles-Lost,5-2,4-2
Turnovers,2,3
Penalties-Yards,7-58,8-50
Third Down Conv.,2-9,6-16
Fourth Down Conv.,1-1,1-2
Time of Possession,31:21,28:39
