Quarter,Time,Down,ToGo,Location,ARI,JAX,Detail,EPB,EPA
2,14:03,2,17,JAX 13,10,3,David Garrard pass incomplete short middle intended for Marcedes Lewis (defended by Calais Campbell),-1.280,-2.190
2,14:00,3,17,JAX 13,10,3,David Garrard pass complete short right to Torry Holt for 4 yards (tackle by Bryant McFadden),-2.190,-2.320
2,13:17,4,13,JAX 17,10,3,"Adam Podlesh punts 52 yards, muffed catch by Greg Toler, recovered by Sean Considine and returned for no gain",-2.320,3.840
2,13:03,1,10,ARI 26,10,3,"David Garrard left end for 2 yards (tackle by Gerald Hayes). David Garrard fumbles (forced by Gerald Hayes), ball out of bounds at ARI-24",3.840,3.570
2,12:33,2,8,ARI 24,10,3,Maurice Jones-Drew middle for -4 yards (tackle by Gabe Watson),3.570,2.350
2,11:57,3,12,ARI 28,10,3,David Garrard pass incomplete short left intended for Torry Holt,2.350,1.590
2,11:51,4,12,ARI 28,16,3,"Josh Scobee 46 yard field goal no good, blocked by Calais Campbell, recovered by Antrel Rolle and returned for 83 yards, touchdown. Penalty on Josh Scobee: Unsportsmanlike Conduct, 15 yards",1.590,-7.000
2,11:30,,,JAX 2,17,3,Neil Rackers kicks extra point good,0.000,0.000
2,11:30,,,ARI 30,17,3,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
2,11:30,1,10,JAX 20,17,3,David Garrard middle for 4 yards (tackle by Darnell Dockett),0.280,0.270
2,10:44,2,6,JAX 24,17,3,"Maurice Jones-Drew middle for 15 yards (tackle by Gerald Hayes). Penalty on Greg Estandia: Illegal Motion, 5 yards (no play)",0.270,-0.460
2,10:16,2,11,JAX 19,17,3,David Garrard pass incomplete short right intended for Torry Holt,-0.460,-1.140
2,10:13,3,11,JAX 19,17,3,David Garrard pass complete short right to Troy Williamson for 13 yards (tackle by Dominique Rodgers-Cromartie),-1.140,1.070
2,9:32,1,10,JAX 32,17,3,David Garrard pass incomplete short right intended for Torry Holt,1.070,0.530
2,9:25,2,10,JAX 32,17,3,Maurice Jones-Drew middle for 3 yards (tackle by Gabe Watson and Gerald Hayes),0.530,0.230
2,8:45,3,7,JAX 35,17,3,David Garrard pass complete short right to Maurice Jones-Drew for 4 yards (tackle by Dominique Rodgers-Cromartie),0.230,-0.780
2,8:34,4,3,JAX 39,17,3,"Adam Podlesh punts 37 yards, out of bounds. Penalty on Kennard Cox: Illegal Touch Kick, 5 yards",-0.780,-0.870
2,8:22,1,10,ARI 29,17,3,Kurt Warner pass complete short right to Steve Breaston for 9 yards (tackle by Derek Cox),0.870,1.540
2,7:46,2,1,ARI 38,17,3,Tim Hightower middle for 9 yards (tackle by Justin Durant),1.540,2.060
2,7:09,1,10,ARI 47,17,3,"Beanie Wells left end for 16 yards (tackle by Rashean Mathis). Penalty on Deuce Lutui: Offensive Holding, 10 yards (no play)",2.060,1.400
2,6:49,1,20,ARI 37,17,3,Kurt Warner pass complete short left to Larry Fitzgerald for 5 yards (tackle by Reggie Nelson),1.400,0.840
2,6:11,2,15,ARI 42,17,3,Kurt Warner pass complete short left to Tim Hightower for 1 yard (tackle by Daryl Smith),0.840,0.300
2,5:25,3,14,ARI 43,17,3,Kurt Warner pass complete short right to Jerheme Urban for 13 yards (tackle by Justin Durant),0.300,0.330
2,5:09,4,1,JAX 44,17,3,Kurt Warner pass complete short right to Tim Hightower for 3 yards (tackle by Daryl Smith),0.330,2.850
2,4:36,1,10,JAX 41,17,3,"Beanie Wells middle for 11 yards (tackle by Daryl Smith). Beanie Wells fumbles (forced by Daryl Smith), recovered by Rashean Mathis at JAX-21 (tackle by Anthony Becht)",2.850,-0.340
,,,,,,,"ARI challenged the runner was down by contact ruling, and the original play was overturned.",,
2,4:30,1,10,JAX 21,17,3,"Penalty on Gerald Hayes: Defensive Offside, 5 yards (no play)",0.340,1.070
2,4:30,1,5,JAX 26,17,3,David Garrard pass complete short left to Maurice Jones-Drew for 2 yards (tackle by Karlos Dansby),1.070,0.750
2,4:06,2,3,JAX 28,17,3,David Garrard pass complete short middle to Maurice Jones-Drew for 6 yards (tackle by Gerald Hayes),0.750,1.200
2,3:35,1,10,JAX 34,17,3,David Garrard pass complete deep middle to Marcedes Lewis for 18 yards (tackle by Adrian Wilson),1.200,2.390
2,3:03,1,10,ARI 48,17,3,David Garrard for 13 yards,2.390,3.250
2,2:24,1,10,ARI 35,17,3,"David Garrard pass complete short right to Troy Williamson for 11 yards (tackle by Dominique Rodgers-Cromartie). Troy Williamson fumbles (forced by Dominique Rodgers-Cromartie), recovered by Adrian Wilson at ARI-21 and returned for 11 yards (tackle by Maurice Jones-Drew)",3.250,-1.070
2,2:13,1,10,ARI 32,17,3,Kurt Warner pass complete short left to Tim Hightower for 8 yards (tackle by Derek Cox),1.070,1.610
2,2:00,2,2,ARI 40,17,3,Kurt Warner pass complete short middle to Steve Breaston for 22 yards (tackle by Reggie Nelson),1.610,3.050
2,1:52,1,10,JAX 38,17,3,Kurt Warner pass incomplete short middle intended for Anquan Boldin (defended by John Henderson),3.050,2.510
2,1:49,2,10,JAX 38,17,3,Kurt Warner pass complete short left to Jerheme Urban for 12 yards,2.510,3.840
2,1:41,1,10,JAX 26,17,3,Tim Hightower middle for 2 yards (tackle by John Henderson),3.840,3.570
2,1:12,2,8,JAX 24,17,3,Kurt Warner pass complete deep middle to Anquan Boldin for 19 yards (tackle by Rashean Mathis),3.570,6.060
2,1:00,2,8,JAX 24,17,3,Timeout #2 by Arizona Cardinals,3.570,6.060
2,1:00,1,5,JAX 5,23,3,"Kurt Warner pass complete short right to Jason Wright for 5 yards, touchdown",6.060,7.000
2,1:00,,,JAX 2,24,3,Neil Rackers kicks extra point good,0.000,0.000
2,1:00,,,ARI 30,24,3,"Neil Rackers kicks off 70 yards, muffed catch by Rashad Jennings, recovered by Rashad Jennings at JAX-2, and returned for 12 yards",0.000,-0.280
2,0:50,1,10,JAX 14,24,3,David Garrard pass complete short left to Torry Holt for 9 yards (tackle by Ralph Brown),-0.280,0.550
2,0:44,1,10,JAX 14,24,3,Timeout #1 by Jacksonville Jaguars,-0.280,0.550
2,0:44,2,1,JAX 23,24,3,David Garrard pass incomplete short left intended for Mike Sims-Walker,0.550,-0.320
2,0:40,3,1,JAX 23,24,3,Rashad Jennings middle for -1 yards (tackle by Clark Haggans),-0.320,-1.900
2,0:34,3,1,JAX 23,24,3,Timeout #3 by Arizona Cardinals,-0.320,-1.900
2,0:34,4,2,JAX 22,24,3,"Adam Podlesh punts 42 yards, muffed catch by Antrel Rolle, recovered by Antrel Rolle and returned for no gain",-1.900,0.060
2,0:10,1,10,ARI 17,24,3,Kurt Warner kneels for -1 yards,-0.060,-0.730
Quarter,Time,Down,ToGo,Location,ARI,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,24,3,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,JAX 20,24,3,David Garrard pass complete deep middle to Marcedes Lewis for 19 yards (tackle by Adrian Wilson),0.280,1.530
3,14:24,1,10,JAX 39,24,3,David Garrard pass incomplete short left intended for Maurice Jones-Drew,1.530,0.990
3,14:19,2,10,JAX 39,24,3,Maurice Jones-Drew middle for 3 yards (tackle by Clark Haggans),0.990,0.700
3,13:39,3,7,JAX 42,24,3,David Garrard pass incomplete short right intended for Nate Hughes (defended by Bryant McFadden),0.700,-0.590
3,13:34,4,7,JAX 42,24,3,Adam Podlesh punts 26 yards,-0.590,-1.070
3,13:24,1,10,ARI 32,24,3,Kurt Warner pass complete short right to LaRod Stephens-Howling for 14 yards (tackle by Reggie Nelson),1.070,1.990
3,12:55,1,10,ARI 46,24,3,Tim Hightower left end for 7 yards (tackle by Clint Ingram),1.990,2.400
3,12:11,2,3,JAX 47,24,3,Kurt Warner pass complete deep middle to Steve Breaston for 18 yards (tackle by Sean Considine),2.400,3.640
3,11:29,1,10,JAX 29,24,3,Beanie Wells middle for 1 yard (tackle by Justin Durant),3.640,3.240
3,11:01,2,9,JAX 28,24,3,"Kurt Warner pass incomplete short middle intended for Anthony Becht. Penalty on John Henderson: Defensive Offside, 5 yards (no play)",3.240,3.910
3,10:58,2,4,JAX 23,24,3,Tim Hightower right end for -2 yards (tackle by Derek Cox and Clint Ingram),3.910,2.940
3,10:20,2,4,JAX 23,24,3,Timeout #1 by Arizona Cardinals,3.910,2.940
3,10:20,3,6,JAX 25,24,3,"Penalty on Levi Brown: False Start, 5 yards (no play)",2.940,2.280
3,10:20,3,11,JAX 30,24,3,Kurt Warner pass incomplete short right intended for Jerheme Urban,2.280,1.410
3,10:15,4,11,JAX 30,24,3,Neil Rackers 48 yard field goal no good,1.410,-1.400
3,10:10,1,10,JAX 37,24,3,David Garrard sacked by Bertrand Berry for -2 yards,1.400,0.590
3,9:40,2,12,JAX 35,24,3,"Penalty on Eben Britton: False Start, 5 yards (no play)",0.590,-0.090
3,9:23,2,17,JAX 30,24,3,David Garrard pass complete short middle to Torry Holt for 15 yards (tackle by Bryant McFadden),-0.090,1.220
3,9:04,3,2,JAX 45,24,3,Maurice Jones-Drew middle for 5 yards (tackle by Karlos Dansby),1.220,2.260
3,8:32,1,10,,24,3,"David Garrard sacked by Clark Haggans for -2 yards. David Garrard fumbles (forced by Clark Haggans), recovered by Maurice Jones-Drew at JAX-45",2.260,1.040
3,7:46,2,15,JAX 45,24,3,David Garrard pass incomplete short middle intended for Maurice Jones-Drew,1.040,0.370
3,7:42,3,15,JAX 45,24,3,"David Garrard sacked by Karlos Dansby and Antrel Rolle for -9 yards. David Garrard fumbles (forced by Karlos Dansby), recovered by Bertrand Berry at JAX-45 and returned for 7 yards (tackle by Uche Nwaneri)",0.370,-3.050
3,7:32,1,10,JAX 38,24,3,Kurt Warner pass complete short right to Stephen Spach for 7 yards,3.050,3.450
3,6:54,2,3,JAX 31,24,3,Kurt Warner pass complete short left to Anquan Boldin for 9 yards (tackle by Derek Cox),3.450,4.110
3,6:21,1,10,JAX 22,24,3,Kurt Warner pass complete short middle to Larry Fitzgerald for no gain,4.110,3.560
3,5:35,2,10,JAX 22,30,3,"Kurt Warner pass complete deep right to Larry Fitzgerald for 22 yards, touchdown",3.560,7.000
3,5:35,,,JAX 2,31,3,Neil Rackers kicks extra point good,0.000,0.000
3,5:35,,,ARI 30,31,3,"Neil Rackers kicks off 63 yards, returned by Montell Owens for 29 yards (tackle by Neil Rackers)",0.000,1.330
3,5:18,1,10,JAX 36,31,3,Maurice Jones-Drew middle for 4 yards (tackle by Keilen Dykes),1.330,1.330
3,4:43,2,6,JAX 40,31,3,Maurice Jones-Drew right end for 3 yards (tackle by Darnell Dockett),1.330,1.030
3,4:03,3,3,JAX 43,31,3,"David Garrard pass incomplete deep right intended for Maurice Jones-Drew. Penalty on Clark Haggans: Defensive Pass Interference, 18 yards (no play)",1.030,2.980
3,3:55,1,10,ARI 39,31,3,Montell Owens middle for -2 yards (tackle by Alan Branch),2.980,2.170
3,3:15,2,12,ARI 41,31,3,David Garrard pass incomplete short middle intended for Ernest Wilford,2.170,1.490
3,3:10,3,12,ARI 41,31,3,David Garrard pass complete short middle to Mike Sims-Walker for 16 yards (tackle by Antrel Rolle),1.490,3.910
3,2:29,1,10,ARI 25,31,3,David Garrard pass incomplete deep middle intended for Mike Sims-Walker,3.910,3.360
3,2:23,2,10,ARI 25,31,3,David Garrard pass complete short left to Nate Hughes for no gain,3.360,2.680
3,1:42,3,10,ARI 25,31,9,"David Garrard pass complete short right to Marcedes Lewis for 25 yards, touchdown",2.680,7.000
3,1:42,,,ARI 2,31,10,Josh Scobee kicks extra point good,0.000,0.000
3,1:42,,,JAX 30,31,10,"Josh Scobee kicks off 72 yards, returned by LaRod Stephens-Howling for 30 yards (tackle by Brian Iwuh)",0.000,0.810
3,1:24,1,10,ARI 28,31,10,Anquan Boldin left end for 4 yards (tackle by Atiyyah Ellison),0.810,0.800
3,0:46,2,6,ARI 32,31,10,Beanie Wells middle for no gain (tackle by Derek Cox),0.800,0.100
Quarter,Time,Down,ToGo,Location,ARI,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,ARI 32,31,10,Matt Leinart pass complete short middle to Steve Breaston for 17 yards (tackle by Scott Starks),0.100,2.190
4,14:19,1,10,ARI 49,31,10,Beanie Wells middle for 3 yards (tackle by John Henderson),2.190,2.050
4,13:38,2,7,JAX 48,31,10,"Tim Hightower left end for 6 yards (tackle by Daryl Smith). Penalty on Stephen Spach: Offensive Holding, 10 yards (no play)",2.050,0.700
4,13:16,2,17,ARI 42,31,10,Matt Leinart pass complete short right to Anquan Boldin for 5 yards (tackle by Scott Starks and Justin Durant),0.700,0.700
4,12:36,3,12,ARI 47,31,10,Matt Leinart pass incomplete deep right intended for Larry Fitzgerald,0.700,-0.260
4,12:28,4,12,ARI 47,31,10,"Ben Graham punts 38 yards, out of bounds",-0.260,0.220
4,12:20,1,10,JAX 15,31,10,David Garrard pass incomplete short left intended for Torry Holt,-0.220,-0.710
4,12:13,2,10,JAX 15,31,10,David Garrard pass complete short middle to Nate Hughes for 8 yards (tackle by Rashad Johnson),-0.710,-0.390
4,11:45,3,2,JAX 23,31,10,David Garrard pass complete short left to Torry Holt for 9 yards,-0.390,1.070
4,11:30,1,10,JAX 32,31,10,Maurice Jones-Drew right end for 6 yards (tackle by Karlos Dansby),1.070,1.340
4,10:59,2,4,JAX 38,31,10,Rashad Jennings middle for 2 yards (tackle by Karlos Dansby),1.340,0.890
4,10:29,3,2,JAX 40,31,10,David Garrard middle for 8 yards (tackle by Clark Haggans),0.890,2.130
4,10:03,1,10,JAX 48,31,10,David Garrard pass complete short right to Maurice Jones-Drew for 5 yards (tackle by Clark Haggans and Karlos Dansby),2.130,2.260
4,9:19,2,5,ARI 47,31,10,David Garrard pass complete short right to Mike Sims-Walker for 17 yards (tackle by Adrian Wilson),2.260,3.580
4,8:52,1,10,ARI 30,31,10,Maurice Jones-Drew middle for 2 yards (tackle by Adrian Wilson),3.580,3.300
4,8:12,2,8,ARI 28,31,10,David Garrard pass complete short right to Torry Holt for 9 yards (tackle by Bryant McFadden),3.300,4.310
4,7:41,1,10,ARI 19,31,10,David Garrard pass incomplete short right intended for Maurice Jones-Drew,4.310,3.750
4,7:37,2,10,ARI 19,31,10,David Garrard pass incomplete short right intended for Greg Estandia,3.750,3.030
4,7:25,3,10,ARI 19,31,10,David Garrard pass incomplete short right intended for Montell Owens,3.030,2.180
4,7:19,4,10,ARI 19,31,16,"David Garrard pass complete short right to Mike Sims-Walker for 19 yards, touchdown",2.180,7.000
4,7:19,,,ARI 2,31,17,Josh Scobee kicks extra point good,0.000,0.000
4,7:19,,,JAX 30,31,17,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
4,7:11,1,10,ARI 20,31,17,Matt Leinart pass incomplete short middle intended for Anthony Becht,0.280,-0.270
4,7:06,2,10,ARI 20,31,17,Matt Leinart pass complete short left to LaRod Stephens-Howling for no gain,-0.270,-0.960
4,6:24,3,10,ARI 20,31,17,Matt Leinart pass incomplete deep left intended for Jerheme Urban,-0.960,-2.030
4,6:18,4,10,ARI 20,31,17,Ben Graham punts 53 yards,-2.030,-1.470
4,6:06,1,10,JAX 38,31,17,David Garrard pass complete deep right to Mike Sims-Walker for 34 yards (tackle by Antrel Rolle),1.470,3.710
4,5:52,1,10,ARI 28,31,17,Maurice Jones-Drew right end for -3 yards (tackle by Adrian Wilson),3.710,2.760
4,5:24,2,13,ARI 31,31,17,David Garrard sacked by Adrian Wilson and Calais Campbell for 0 yards,2.760,2.080
4,4:44,2,13,ARI 31,31,17,Timeout #1 by Jacksonville Jaguars,2.760,2.080
4,4:44,3,13,ARI 31,31,17,David Garrard pass incomplete deep middle intended for Nate Hughes,2.080,1.320
4,4:29,4,13,ARI 31,31,17,David Garrard pass incomplete deep left intended for Nate Hughes,1.320,-1.000
4,4:29,1,10,ARI 31,31,17,Tim Hightower middle for 17 yards (tackle by Reggie Nelson),1.000,2.130
4,4:21,1,10,ARI 48,31,17,Tim Hightower middle for 3 yards (tackle by Clint Ingram),2.130,1.990
4,4:16,1,10,ARI 48,31,17,Timeout #2 by Jacksonville Jaguars,2.130,1.990
4,4:16,2,7,JAX 49,31,17,"Tim Hightower right end for no gain (tackle by Justin Durant and Quentin Groves). Penalty on JAX: Defensive 12 On-field, 5 yards (no play)",1.990,2.660
4,4:11,2,2,JAX 44,31,17,Tim Hightower middle for 1 yard (tackle by Daryl Smith),2.660,2.080
4,3:55,2,2,JAX 44,31,17,Timeout #3 by Jacksonville Jaguars,2.660,2.080
4,3:55,3,1,JAX 43,31,17,Tim Hightower right end for no gain (tackle by Derek Landri),2.080,0.400
4,3:55,4,1,JAX 43,31,17,"Penalty on Ben Graham: Delay of Game, 5 yards (no play)",0.400,0.070
4,2:59,4,6,JAX 48,31,17,"Ben Graham punts 48 yards, touchback",0.070,-0.280
4,2:58,1,10,JAX 20,31,17,David Garrard pass complete deep left to Mike Sims-Walker for 21 yards,0.280,1.660
4,2:52,1,10,JAX 41,31,17,David Garrard pass incomplete deep right intended for Torry Holt,1.660,1.120
4,2:43,2,10,JAX 41,31,17,David Garrard pass incomplete deep left intended for Nate Hughes,1.120,0.430
4,2:36,3,10,JAX 41,31,17,David Garrard pass incomplete short right intended for Mike Sims-Walker is intercepted by Dominique Rodgers-Cromartie at JAX-48 and returned for 7 yards,0.430,-2.850
4,2:25,1,10,JAX 41,31,17,Tim Hightower right end for 14 yards (tackle by Daryl Smith),2.850,3.780
4,2:00,1,10,JAX 27,31,17,Matt Leinart kneels for -1 yards,3.780,3.100
4,1:20,2,11,JAX 28,31,17,Matt Leinart kneels for -1 yards,3.100,2.280
4,0:38,3,12,JAX 29,31,17,Matt Leinart kneels for -1 yards,2.280,1.410
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
