Unnamed: 0,WAS,NYG
First Downs,20,28
Rush-Yds-TDs,30-90-0,21-120-2
Cmp-Att-Yd-TD-INT,22-36-327-2-0,25-38-350-1-2
Sacked-Yards,2-14,2-13
Net Pass Yards,313,337
Total Yards,403,457
Fumbles-Lost,3-1,3-1
Turnovers,1,3
Penalties-Yards,8-70,11-128
Third Down Conv.,7-16,4-9
Fourth Down Conv.,1-1,0-0
Time of Possession,33:26,26:34
