Quarter,Time,Down,ToGo,Location,NYG,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Matt Bryant kicks off 65 yards, returned by Troy Walters for 23 yards (tackle by Johnnie Harris)",0.000,0.810
1,14:55,1,10,IND 28,0,0,Edgerrin James left end for no gain (tackle by Dhani Jones and Kevin Lewis),0.810,0.260
1,14:16,2,10,IND 28,0,0,Peyton Manning pass complete to Marvin Harrison for 22 yards (tackle by Omar Stoutmire),0.260,2.260
1,13:47,1,10,,0,0,Peyton Manning pass incomplete intended for Edgerrin James,2.260,1.710
1,13:40,2,10,,0,0,Edgerrin James left tackle for no gain (tackle by Omar Stoutmire),1.710,1.030
1,12:56,3,10,,0,0,Peyton Manning pass complete to Edgerrin James for -4 yards (tackle by Cornelius Griffin),1.030,-0.320
1,12:20,4,14,IND 46,0,0,"Hunter Smith punts, blocked by Marcellus Rivers, recovered by Derek Dorris",-0.320,-3.910
1,12:09,1,10,IND 25,0,0,Kerry Collins pass complete to Jeremy Shockey for 15 yards (tackle by Idrees Bashir and Rob Morris),3.910,4.910
1,11:34,1,10,IND 10,0,0,Tiki Barber left tackle for -1 yards (tackle by Mike Peterson),4.910,4.020
1,10:58,2,11,IND 11,0,0,Kerry Collins pass complete to Tiki Barber for 4 yards (tackle by David Thornton),4.020,3.810
1,10:14,3,7,IND 7,0,0,"Penalty on Chad Bratzke: Encroachment, 4 yards (no play)",3.810,4.720
1,10:02,3,3,IND 3,0,0,Kerry Collins middle for 1 yard (tackle by Nick Harper and Mike Peterson),4.720,3.250
1,9:28,4,2,IND 2,3,0,Matt Bryant 20 yard field goal good,3.250,3.000
1,9:28,,,NYG 30,3,0,"Matt Bryant kicks off 60 yards, returned by Troy Walters for 27 yards (tackle by Kevin Lewis)",0.000,1.400
1,9:19,1,10,IND 37,3,0,Edgerrin James left tackle for no gain (tackle by Micheal Barrow and Kenny Holmes),1.400,0.860
1,8:35,2,10,IND 37,3,0,Edgerrin James middle for -1 yards (tackle by Cornelius Griffin),0.860,0.040
1,7:52,3,11,IND 36,3,0,Peyton Manning pass complete to Joe Davenport for 7 yards (tackle by Brandon Short and Cornelius Griffin),0.040,-0.520
1,7:11,4,4,IND 43,3,0,"Hunter Smith punts 57 yards, touchback",-0.520,-0.280
1,6:59,1,10,NYG 20,3,0,Kerry Collins pass complete to Tiki Barber for 1 yard (tackle by Walt Harris),0.280,-0.130
1,6:23,2,9,NYG 21,3,0,Kerry Collins pass incomplete intended for Tiki Barber,-0.130,-0.820
1,6:19,3,9,NYG 21,3,0,Kerry Collins pass complete to Jeremy Shockey for 5 yards (tackle by Rob Morris),-0.820,-1.630
1,5:43,4,4,NYG 26,3,0,"Matt Allen punts 33 yards, fair catch by Troy Walters",-1.630,-1.660
1,5:36,1,10,IND 41,3,0,Peyton Manning pass complete to Marvin Harrison for 11 yards (tackle by Will Allen),1.660,2.390
1,5:13,1,10,NYG 48,3,0,Edgerrin James middle for 3 yards (tackle by Micheal Barrow),2.390,2.250
1,4:35,2,7,NYG 45,3,0,Peyton Manning pass complete to Marvin Harrison for 3 yards (tackle by Brandon Short),2.250,1.950
1,3:54,3,4,NYG 42,3,0,"Penalty on Adam Meadows: False Start, 5 yards (no play)",1.950,1.290
1,3:30,3,9,NYG 47,3,0,Peyton Manning pass incomplete intended for Marvin Harrison,1.290,0.130
1,3:25,4,9,NYG 47,3,0,"Hunter Smith punts 32 yards, fair catch by Delvin Joyce",0.130,0.220
1,3:18,1,10,NYG 15,3,0,"Tiki Barber left end for 10 yards (tackle by David Macklin). Penalty on Rich Seubert: Offensive Holding, 7 yards (no play)",-0.220,-0.650
1,3:03,1,17,NYG 8,3,0,Kerry Collins pass complete to Amani Toomer for 8 yards (tackle by Idrees Bashir),-0.650,-0.580
1,2:29,2,9,NYG 16,3,0,Kerry Collins pass incomplete intended for Amani Toomer,-0.580,-1.250
1,2:24,3,9,NYG 16,3,0,Kerry Collins pass incomplete intended for Daryl Jones,-1.250,-2.390
1,2:20,4,9,NYG 16,3,0,"Matt Allen punts 34 yards, fair catch by Troy Walters",-2.390,-2.260
1,2:14,1,10,,3,0,Peyton Manning pass incomplete intended for Marvin Harrison is intercepted by Dhani Jones at NYG-36 and returned for 1 yard,2.260,-1.400
1,2:05,1,10,NYG 37,3,0,Tiki Barber middle for 15 yards (tackle by Josh Williams and Idrees Bashir),1.400,2.390
1,1:35,1,10,NYG 37,,,Timeout #1 by Indianapolis Colts,1.400,2.390
1,1:35,1,10,IND 48,3,0,Tiki Barber middle for 3 yards (tackle by Mike Peterson),2.390,2.250
1,1:01,2,7,IND 45,3,0,Kerry Collins pass incomplete intended for Jeremy Shockey (defended by David Gibson),2.250,1.550
1,0:56,3,7,IND 45,3,0,Kerry Collins pass complete to Amani Toomer for 13 yards (tackle by David Macklin),1.550,3.450
1,0:37,1,10,IND 32,3,0,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",3.450,3.120
1,0:23,1,15,IND 37,3,0,Tiki Barber middle for -1 yards (tackle by Rob Morris),3.120,2.090
Quarter,Time,Down,ToGo,Location,NYG,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,16,IND 38,3,0,Kerry Collins pass complete to Jeremy Shockey for 24 yards (tackle by Mike Peterson),2.090,4.650
