Unnamed: 0,NYG,IND
First Downs,24,20
Rush-Yds-TDs,36-103-2,19-50-0
Cmp-Att-Yd-TD-INT,23-29-366-4-0,30-46-365-3-2
Sacked-Yards,0-0,2-16
Net Pass Yards,366,349
Total Yards,469,399
Fumbles-Lost,3-3,0-0
Turnovers,3,2
Penalties-Yards,5-33,7-59
Third Down Conv.,8-13,4-14
Fourth Down Conv.,0-1,1-2
Time of Possession,32:36,27:24
