Unnamed: 0,TAM,ATL
First Downs,12,22
Rush-Yds-TDs,20-86-0,35-174-1
Cmp-Att-Yd-TD-INT,22-34-136-2-0,19-30-224-2-0
Sacked-Yards,0-0,2-16
Net Pass Yards,136,208
Total Yards,222,382
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,3-30,2-18
Third Down Conv.,6-13,6-15
Fourth Down Conv.,0-1,3-3
Time of Possession,25:11,34:49
