Quarter,Time,Tm,Detail,TAM,ATL
1.0,9:47,Buccaneers,Kyle Rudolph 8 yard pass from Tom Brady (Ryan Succop kick),7,0
,3:22,Falcons,MyCole Pruitt 2 yard pass from Desmond Ridder (Younghoe Koo kick),7,7
,0:54,Falcons,Younghoe Koo 49 yard field goal,7,10
2.0,8:15,Buccaneers,Ryan Succop 41 yard field goal,10,10
,1:46,Buccaneers,Russell Gage 3 yard pass from Blaine Gabbert (Ryan Succop kick),17,10
3.0,10:27,Falcons,Younghoe Koo 24 yard field goal,17,13
,0:51,Falcons,Olamide Zaccheaus 3 yard pass from Desmond Ridder (Younghoe Koo kick),17,20
4.0,8:07,Falcons,Cordarrelle Patterson 2 yard rush (Younghoe Koo kick),17,27
,4:00,Falcons,Younghoe Koo 51 yard field goal,17,30
