Unnamed: 0,TAM,CAR
First Downs,17,14
Rush-Yds-TDs,36-114-2,20-82-0
Cmp-Att-Yd-TD-INT,20-27-138-0-0,21-33-220-1-1
Sacked-Yards,1-5,2-26
Net Pass Yards,133,194
Total Yards,247,276
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,7-50,5-35
Third Down Conv.,10-17,2-11
Fourth Down Conv.,0-0,0-2
Time of Possession,32:04,27:56
