Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 55 yards, returned by Donovan Peoples-Jones for 15 yards (tackle by Jordan Glasgow)",0.000,0.610
1,14:56,1,10,CLE 25,0,0,Kareem Hunt left tackle for 4 yards (tackle by Grover Stewart and Kenny Moore),0.610,0.600
1,14:17,2,6,CLE 29,0,0,Baker Mayfield pass complete short right to Austin Hooper for 8 yards (tackle by Bobby Okereke),0.600,1.400
1,13:41,1,10,CLE 37,0,0,Baker Mayfield pass complete deep right to Jarvis Landry for 32 yards (tackle by Xavier Rhodes and Zaire Franklin),1.400,3.510
1,13:03,1,10,IND 31,0,0,Kareem Hunt left guard for 4 yards (tackle by Zaire Franklin and DeForest Buckner),3.510,3.510
1,12:28,2,6,IND 27,0,0,Kareem Hunt right tackle for 2 yards (tackle by Denico Autry and Grover Stewart),3.510,3.070
1,11:53,3,4,IND 25,0,0,Baker Mayfield pass complete short right to Austin Hooper for 17 yards (tackle by Anthony Walker),3.070,5.370
1,11:11,1,8,IND 8,0,0,Andy Janovich left guard for 2 yards (tackle by Zaire Franklin),5.370,4.950
1,10:34,2,6,IND 6,0,0,Baker Mayfield pass incomplete short middle intended for Kareem Hunt,4.950,4.040
1,10:30,3,6,IND 6,0,0,Baker Mayfield pass incomplete short left intended for Odell Beckham,4.040,2.990
1,10:27,4,6,IND 6,0,3,Cody Parkey 24 yard field goal good,2.990,3.000
1,10:24,,,CLE 35,0,3,"Cody Parkey kicks off 64 yards, returned by Isaiah Rodgers for 27 yards (tackle by Kevin Johnson and Jovante Moffatt)",0.000,0.810
1,10:18,1,10,IND 28,0,3,Philip Rivers pass complete short right to T.Y. Hilton for 7 yards (tackle by B.J. Goodson),0.810,1.210
1,9:55,2,3,IND 35,0,3,Philip Rivers pass complete short right to Jonathan Taylor for 13 yards (tackle by B.J. Goodson and Denzel Ward),1.210,2.130
1,9:21,1,10,IND 48,0,3,Jonathan Taylor left tackle for 1 yard (tackle by Sione Takitaki),2.130,1.720
1,8:40,2,9,IND 49,0,3,Jonathan Taylor left tackle for 3 yards (tackle by B.J. Goodson),1.720,1.420
1,7:53,,,,,,Timeout #2 by Indianapolis Colts,,
1,7:53,3,6,CLE 48,0,3,Philip Rivers pass complete deep left to Marcus Johnson for 36 yards (tackle by Andrew Sendejo),1.420,4.780
1,7:08,1,10,CLE 12,0,3,Philip Rivers sacked by Myles Garrett for -3 yards,4.780,3.660
1,6:25,2,13,CLE 15,0,3,Philip Rivers pass incomplete short left intended for Nyheim Hines (defended by Malcolm Smith),3.660,3.000
1,6:20,3,13,CLE 15,0,3,Philip Rivers pass complete short right to T.Y. Hilton for 11 yards (tackle by Ronnie Harrison),3.000,3.040
1,6:04,4,2,CLE 4,6,3,"Jonathan Taylor left end for 4 yards, touchdown",3.040,7.000
1,6:00,,,CLE 15,7,3,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,6:00,,,IND 35,7,3,"Rigoberto Sanchez kicks off 62 yards, returned by Donovan Peoples-Jones for 16 yards (tackle by George Odum)",0.000,0.150
1,5:55,1,10,CLE 19,7,3,Baker Mayfield pass complete short right to Kareem Hunt for 6 yards (tackle by Anthony Walker and Julian Blackmon),0.150,0.480
1,5:12,2,4,CLE 25,7,3,Baker Mayfield pass complete short left to Jarvis Landry for 18 yards (tackle by Bobby Okereke),0.480,1.800
1,4:28,1,10,CLE 43,7,3,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,1.800,1.250
1,4:20,2,10,CLE 43,7,3,Baker Mayfield pass incomplete short right intended for Odell Beckham,1.250,0.560
1,4:16,3,10,CLE 43,7,3,Baker Mayfield pass complete short middle to Austin Hooper for 11 yards (tackle by Bobby Okereke),0.560,2.520
1,3:39,1,10,IND 46,7,3,Kareem Hunt right tackle for 2 yards (tackle by Grover Stewart),2.520,2.250
1,2:58,2,8,IND 44,7,3,Baker Mayfield pass complete deep left to Jarvis Landry for 30 yards (tackle by Kenny Moore),2.250,4.650
1,2:13,1,10,IND 14,7,3,Kareem Hunt right guard for 1 yard (tackle by Bobby Okereke),4.650,4.160
1,1:33,2,9,IND 13,7,3,Baker Mayfield pass complete short right to Odell Beckham for 7 yards (tackle by Zaire Franklin),4.160,4.730
1,0:54,3,2,IND 6,7,3,Baker Mayfield right end for 1 yard (tackle by Julian Blackmon),4.730,3.030
1,0:12,4,1,IND 5,7,3,Baker Mayfield pass complete short right to Odell Beckham for 3 yards (tackle by Anthony Walker),3.030,6.740
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,2,IND 2,7,3,Kareem Hunt right guard for no gain (tackle by Bobby Okereke),6.740,5.720
2,14:19,2,2,IND 2,7,3,Baker Mayfield pass incomplete short middle intended for Odell Beckham,5.720,4.950
2,14:13,3,2,IND 2,7,9,"Baker Mayfield pass complete short right to Kareem Hunt for 2 yards, touchdown",4.950,7.000
2,14:06,,,IND 15,7,10,Cody Parkey kicks extra point good,0.000,0.000
2,14:06,,,CLE 35,7,10,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,14:06,1,10,IND 25,7,10,"Philip Rivers pass incomplete deep left intended for T.Y. Hilton (defended by Terrance Mitchell). Penalty on Terrance Mitchell: Defensive Holding, 5 yards (no play)",0.610,0.940
2,14:01,1,10,IND 30,7,10,Philip Rivers pass complete short right to Zach Pascal for 14 yards (tackle by B.J. Goodson and Ronnie Harrison),0.940,1.860
2,13:18,1,10,IND 44,7,10,Philip Rivers pass complete short left to Zach Pascal for 1 yard (tackle by Terrance Mitchell),1.860,1.450
2,12:34,2,9,IND 45,7,10,Philip Rivers pass complete deep middle to Ashton Dulin for 34 yards (tackle by Andrew Sendejo),1.450,4.170
2,11:51,1,10,CLE 21,7,10,Philip Rivers pass complete short left to Jonathan Taylor for 4 yards (tackle by Sione Takitaki),4.170,4.200
2,11:08,2,6,CLE 17,7,10,Nyheim Hines right tackle for 3 yards (tackle by Myles Garrett),4.200,4.020
2,10:22,3,3,CLE 14,7,10,Philip Rivers pass incomplete short left intended for Jonathan Taylor,4.020,2.610
2,10:18,4,3,CLE 14,10,10,Rodrigo Blankenship 32 yard field goal good,2.610,3.000
2,10:15,,,IND 35,10,10,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,10:15,1,10,CLE 25,10,10,D'Ernest Johnson left tackle for no gain (tackle by Denico Autry),0.610,0.060
2,9:39,2,10,CLE 25,10,10,Baker Mayfield pass complete short middle to Odell Beckham for 9 yards (tackle by Rock Ya-Sin),0.060,0.560
2,9:05,3,1,CLE 34,10,10,Kareem Hunt right end for 3 yards (tackle by Zaire Franklin),0.560,1.400
2,8:31,1,10,CLE 37,10,10,Baker Mayfield pass complete deep left to Odell Beckham for 26 yards (tackle by Tavon Wilson),1.400,3.120
2,8:00,1,10,IND 37,10,10,Baker Mayfield pass incomplete deep right intended for Austin Hooper,3.120,2.570
2,7:56,2,10,IND 37,10,10,Baker Mayfield pass complete short middle to Rashard Higgins for 6 yards (tackle by Bobby Okereke),2.570,2.680
2,7:16,3,4,IND 31,10,10,Baker Mayfield left end for 16 yards (tackle by Xavier Rhodes),2.680,4.580
2,6:42,1,10,IND 15,10,10,Kareem Hunt right guard for no gain (tackle by Kenny Moore),4.580,3.950
2,6:03,2,10,IND 15,10,16,"Baker Mayfield pass complete short right to Rashard Higgins for 15 yards, touchdown",3.950,7.000
2,5:58,,,IND 15,10,17,Cody Parkey kicks extra point good,0.000,0.000
2,5:58,,,CLE 35,10,17,"Cody Parkey kicks off 66 yards, returned by Isaiah Rodgers for 26 yards (tackle by Stephen Carlson and Andy Janovich)",0.000,0.610
2,5:51,1,10,IND 25,10,17,Ashton Dulin left end for 3 yards (tackle by Jacob Phillips),0.610,0.470
2,5:15,2,7,IND 28,10,17,Jonathan Taylor right guard for 5 yards (tackle by Sione Takitaki and Sheldon Richardson),0.470,0.430
2,4:28,3,2,IND 33,10,17,Philip Rivers pass incomplete short left intended for Jack Doyle (defended by Ronnie Harrison),0.430,-1.180
2,4:24,4,2,IND 33,10,17,"Rigoberto Sanchez punts 54 yards, returned by Donovan Peoples-Jones for 5 yards (tackle by Ashton Dulin)",-1.180,-0.040
2,4:13,1,10,CLE 18,10,17,Baker Mayfield pass complete short middle to Austin Hooper for 3 yards (tackle by Bobby Okereke),0.040,0.010
2,3:29,2,7,CLE 21,10,17,Baker Mayfield pass complete short right to Rashard Higgins for 10 yards,0.010,1.000
2,2:57,1,10,CLE 31,10,17,D'Ernest Johnson left tackle for 1 yard (tackle by Zaire Franklin and Denico Autry),1.000,0.600
2,2:18,2,9,CLE 32,10,17,Baker Mayfield pass complete short right to Kareem Hunt for 13 yards (tackle by Denico Autry and Rock Ya-Sin),0.600,1.930
2,2:00,1,10,CLE 45,10,17,Odell Beckham pass complete deep right to Austin Hooper for 18 yards (tackle by Julian Blackmon),1.930,3.120
2,1:15,1,10,IND 37,10,17,Baker Mayfield pass incomplete deep left intended for Harrison Bryant,3.120,2.570
2,1:10,2,10,IND 37,10,17,Baker Mayfield pass complete short left to D'Ernest Johnson for 4 yards (tackle by DeForest Buckner),2.570,2.410
2,0:41,3,6,IND 33,10,17,"Penalty on Al-Quadin Muhammad: Neutral Zone Infraction, 5 yards (no play)",2.410,3.070
2,0:40,3,1,IND 28,10,17,Andy Janovich left guard for 2 yards (tackle by Khari Willis and Bobby Okereke),3.070,3.840
2,0:32,,,,,,Timeout #1 by Cleveland Browns,,
2,0:32,1,10,IND 26,10,17,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Anthony Walker),3.840,3.300
2,0:26,2,10,IND 26,10,17,Baker Mayfield pass incomplete short left intended for Austin Hooper,3.300,2.610
2,0:22,3,10,IND 26,10,17,Baker Mayfield pass complete short right to Jarvis Landry for 8 yards (tackle by Rock Ya-Sin),2.610,2.370
2,0:17,,,,,,Timeout #2 by Cleveland Browns,,
2,0:17,4,2,IND 18,10,20,Cody Parkey 36 yard field goal good,2.370,3.000
2,0:13,,,CLE 35,10,20,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,0:13,1,10,IND 25,10,20,Philip Rivers kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,10,20,"Cody Parkey kicks off 66 yards, returned by Isaiah Rodgers for 27 yards (tackle by Sione Takitaki and Sheldrick Redwine)",0.000,0.670
3,14:53,1,10,IND 26,10,20,Philip Rivers pass complete short right to T.Y. Hilton for 9 yards (tackle by Kevin Johnson),0.670,1.350
3,14:14,2,1,IND 35,10,20,Jonathan Taylor left guard for 6 yards (tackle by Sheldon Richardson and Mack Wilson),1.350,1.660
3,13:31,1,10,IND 41,10,20,"Philip Rivers pass complete short left to Trey Burton for no gain (tackle by Sione Takitaki). Penalty on Olivier Vernon: Defensive Offside, 5 yards (no play)",1.660,2.390
3,13:14,1,5,IND 46,10,20,Philip Rivers pass incomplete short left intended for T.Y. Hilton,2.390,1.800
3,13:09,2,5,IND 46,10,20,Jordan Wilkins left guard for 1 yard (tackle by Myles Garrett),1.800,1.220
3,12:26,3,4,IND 47,10,26,"Philip Rivers pass short left intended for T.Y. Hilton is intercepted by Ronnie Harrison at IND-47 and returned for 47 yards, touchdown",1.220,-7.000
3,12:15,,,IND 15,10,27,Cody Parkey kicks extra point good,0.000,0.000
3,12:15,,,CLE 35,16,27,"Cody Parkey kicks off 66 yards, returned by Isaiah Rodgers for 101 yards, touchdown",0.000,7.000
3,12:00,,,CLE 15,17,27,Rodrigo Blankenship kicks extra point good,0.000,0.000
3,12:00,,,IND 35,17,27,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
3,12:00,1,10,CLE 25,17,27,Kareem Hunt left guard for 3 yards (tackle by Al-Quadin Muhammad and Anthony Walker),0.610,0.470
3,11:22,2,7,CLE 28,17,27,Kareem Hunt left guard for 6 yards (tackle by Khari Willis and Xavier Rhodes),0.470,0.560
3,10:48,3,1,CLE 34,17,27,Kareem Hunt right tackle for 8 yards (tackle by DeForest Buckner and Justin Houston),0.560,1.730
3,10:07,1,10,CLE 42,17,27,"Baker Mayfield sacked by Al-Quadin Muhammad for -4 yards. Baker Mayfield fumbles (forced by Al-Quadin Muhammad), recovered by Baker Mayfield at CLE-38",1.730,0.650
3,9:23,2,14,CLE 38,17,27,Baker Mayfield pass deep middle intended for Austin Hooper is intercepted by Bobby Okereke at IND-45 and returned for 7 yards,0.650,-2.390
3,9:13,1,10,CLE 48,17,27,Nyheim Hines left tackle for 5 yards (tackle by Andrew Sendejo),2.390,2.520
3,8:46,2,5,CLE 43,17,27,Nyheim Hines left guard for no gain (tackle by Malcolm Smith),2.520,1.820
3,8:05,3,5,CLE 43,17,27,Jonathan Taylor right guard for 9 yards (tackle by Malcolm Smith),1.820,3.310
3,7:25,1,10,CLE 34,17,27,Jonathan Taylor left guard for 7 yards (tackle by Mack Wilson and Vincent Taylor),3.310,3.720
3,6:47,2,3,CLE 27,17,27,Jonathan Taylor right guard for 2 yards (tackle by Myles Garrett and B.J. Goodson),3.720,3.270
3,6:24,3,1,CLE 25,17,27,Jonathan Taylor right guard for 2 yards (tackle by Sheldon Richardson),3.270,4.040
3,5:43,1,10,CLE 23,17,27,"Jonathan Taylor right tackle for 6 yards (tackle by Malcolm Smith). Penalty on Jack Doyle: Offensive Holding, 10 yards (no play)",4.040,3.380
3,5:31,1,20,CLE 33,17,27,Jonathan Taylor left guard for 10 yards (tackle by Malcolm Smith and B.J. Goodson),3.380,3.500
3,4:53,2,10,CLE 23,17,27,Philip Rivers pass complete short left to Nyheim Hines for 4 yards (tackle by Malcolm Smith),3.500,3.340
3,4:09,3,6,CLE 19,17,27,Philip Rivers pass incomplete short right intended for Nyheim Hines,3.340,2.210
3,4:02,4,6,CLE 19,20,27,Rodrigo Blankenship 37 yard field goal good,2.210,3.000
3,3:58,,,IND 35,20,27,"Rigoberto Sanchez kicks off 66 yards, returned by Donovan Peoples-Jones for 23 yards (tackle by E.J. Speed and Ben Banogu)",0.000,0.410
3,3:53,1,10,CLE 22,20,27,Kareem Hunt right tackle for 6 yards (tackle by Rock Ya-Sin),0.410,0.680
3,3:09,2,4,CLE 28,20,27,Kareem Hunt right tackle for 2 yards (tackle by Bobby Okereke),0.680,0.230
3,2:32,3,2,CLE 30,20,27,Baker Mayfield pass complete short right to David Njoku for 6 yards (tackle by Rock Ya-Sin),0.230,1.330
3,1:56,1,10,CLE 36,20,27,Odell Beckham left end for -1 yards (tackle by Denico Autry),1.330,0.660
3,1:11,2,11,CLE 35,20,27,Baker Mayfield pass complete short right to Odell Beckham for 13 yards (tackle by Rock Ya-Sin),0.660,2.130
3,0:29,1,10,CLE 48,20,27,Kareem Hunt left guard for 6 yards (tackle by Denico Autry and Anthony Walker),2.130,2.390
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,IND 46,20,27,Baker Mayfield pass incomplete short left intended for Jarvis Landry,2.390,1.680
4,14:55,3,4,IND 46,20,27,Baker Mayfield pass incomplete short right intended for Odell Beckham (defended by Rock Ya-Sin),1.680,0.200
4,14:51,4,4,IND 46,20,27,"Jamie Gillan punts 42 yards, fair catch by Nyheim Hines at IND-4",0.200,0.380
4,14:44,1,10,IND 4,20,29,"Philip Rivers pass incomplete short left. Penalty on Philip Rivers: Intentional Grounding, 4 yards",-0.380,-2.000
4,14:39,,,IND 20,20,29,"Rigoberto Sanchez kicks off 57 yards, returned by Donovan Peoples-Jones for 17 yards (tackle by Jordan Glasgow)",0.000,1.600
4,14:33,1,10,CLE 40,20,29,Kareem Hunt left guard for 3 yards (tackle by DeForest Buckner),1.600,1.460
4,13:51,2,7,CLE 43,20,29,Baker Mayfield pass incomplete deep right intended for Austin Hooper,1.460,0.760
4,13:46,3,7,CLE 43,20,29,Baker Mayfield pass incomplete short right intended for Jarvis Landry,0.760,-0.520
4,13:41,4,7,CLE 43,20,29,"Jamie Gillan punts 51 yards, returned by Nyheim Hines for 7 yards (tackle by Sione Takitaki)",-0.520,0.320
4,13:30,1,10,IND 13,20,29,Jonathan Taylor right guard for 4 yards (tackle by Olivier Vernon),-0.320,-0.300
4,12:54,2,6,IND 17,20,29,Philip Rivers pass complete deep right to T.Y. Hilton for 18 yards (tackle by Denzel Ward),-0.300,1.270
4,12:21,1,10,IND 35,20,29,Jonathan Taylor left guard for 4 yards (tackle by Sione Takitaki),1.270,1.260
4,11:39,2,6,IND 39,20,29,Philip Rivers pass incomplete short left intended for Jack Doyle,1.260,0.560
4,11:35,3,6,IND 39,20,29,Philip Rivers pass deep middle intended for Mo Alie-Cox is intercepted by Sheldrick Redwine at CLE-43 and returned for 8 yards,0.560,-2.320
4,11:24,1,10,IND 49,20,29,Kareem Hunt left tackle for 6 yards (tackle by Al-Quadin Muhammad),2.320,2.590
4,10:41,2,4,IND 43,20,29,Kareem Hunt left end for 3 yards (tackle by Grover Stewart),2.590,2.280
4,9:56,3,1,IND 40,20,29,Kareem Hunt right guard for 2 yards (tackle by Rock Ya-Sin),2.280,3.050
4,9:13,1,10,IND 38,20,29,D'Ernest Johnson left guard for 1 yard (tackle by Grover Stewart),3.050,2.640
4,8:28,2,9,IND 37,20,29,D'Ernest Johnson left guard for 1 yard (tackle by Anthony Walker and Rock Ya-Sin),2.640,2.080
4,7:44,3,8,IND 36,20,29,"Baker Mayfield sacked by Bobby Okereke for no gain. Penalty on Bobby Okereke: Defensive Offside, 5 yards (no play)",2.080,2.740
4,7:16,3,3,IND 31,20,29,Baker Mayfield pass short middle intended for Jarvis Landry is intercepted by Anthony Walker at IND-19 and returned for 11 yards,2.740,-0.940
