Quarter,Time,Tm,Detail,IND,CLE
1.0,10:24,Browns,Cody Parkey 24 yard field goal,0,3
,6:00,Colts,Jonathan Taylor 4 yard rush (Rodrigo Blankenship kick),7,3
2.0,14:06,Browns,Kareem Hunt 2 yard pass from Baker Mayfield (Cody Parkey kick),7,10
,10:15,Colts,Rodrigo Blankenship 32 yard field goal,10,10
,5:58,Browns,Rashard Higgins 15 yard pass from Baker Mayfield (Cody Parkey kick),10,17
,0:13,Browns,Cody Parkey 36 yard field goal,10,20
3.0,12:15,Browns,Ronnie Harrison 47 yard interception return (Cody Parkey kick),10,27
,12:00,Colts,Isaiah Rodgers 101 yard kickoff return (Rodrigo Blankenship kick),17,27
,3:58,Colts,Rodrigo Blankenship 37 yard field goal,20,27
4.0,14:39,Browns,"Safety, Philip Rivers Intentional Grounding in end zone",20,29
,2:50,Colts,Rodrigo Blankenship 25 yard field goal,23,29
,0:21,Browns,Cody Parkey 46 yard field goal,23,32
