Unnamed: 0,IND,CLE
First Downs,15,22
Rush-Yds-TDs,18-68-1,33-124-0
Cmp-Att-Yd-TD-INT,21-33-243-0-2,22-38-265-2-2
Sacked-Yards,1-3,1-4
Net Pass Yards,240,261
Total Yards,308,385
Fumbles-Lost,0-0,1-0
Turnovers,2,2
Penalties-Yards,5-34,2-10
Third Down Conv.,4-11,10-17
Fourth Down Conv.,1-1,1-1
Time of Possession,25:15,34:45
