Unnamed: 0,PHI,CAR
First Downs,17,14
Rush-Yds-TDs,32-185-1,30-86-1
Cmp-Att-Yd-TD-INT,17-29-102-2-1,14-34-138-0-5
Sacked-Yards,2-20,5-55
Net Pass Yards,82,83
Total Yards,267,169
Fumbles-Lost,2-1,2-2
Turnovers,2,7
Penalties-Yards,9-76,5-30
Third Down Conv.,5-13,3-16
Fourth Down Conv.,1-2,2-3
Time of Possession,31:37,28:23
