#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:58,PHI 44,4,1:59,56,Touchdown
2,1,9:07,PHI 23,10,5:26,77,Touchdown
3,1,3:13,PHI 32,1,0:09,68,Touchdown
4,1,1:47,PHI 22,7,4:02,78,Touchdown
5,2,11:40,DET 43,1,0:08,43,Touchdown
6,2,8:45,PHI 22,5,3:11,69,Fumble
7,2,5:01,PHI 12,6,3:12,88,Touchdown
8,2,0:33,PHI 20,1,0:33,-1,End of Half
9,3,15:00,PHI 21,3,2:14,5,Punt
10,3,8:35,PHI 37,11,6:11,63,Touchdown
11,3,0:05,PHI 23,3,0:21,5,Punt
12,4,10:28,PHI 7,3,1:39,8,Punt
13,4,8:13,DET 17,2,0:46,17,Touchdown
14,4,3:00,PHI 21,3,0:48,-13,Fumble
15,4,1:51,PHI 11,3,1:51,3,End of Game
