Quarter,Time,Down,ToGo,Location,DET,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 68 yards, returned by Brian Calhoun for 22 yards (tackle by J.R. Reed)",0.000,0.540
1,14:55,1,10,DET 24,0,0,Jon Kitna sacked by Brodrick Bunkley for -7 yards,0.540,-1.080
1,14:24,2,17,DET 17,0,0,Jon Kitna pass incomplete short left intended for Roy E. Williams,-1.080,-1.850
1,14:16,3,17,DET 17,0,0,Jon Kitna pass incomplete (defended by Darren Howard),-1.850,-2.320
1,14:10,4,17,DET 17,0,0,"Nick Harris punts 49 yards, returned by Reno Mahe for 10 yards (tackle by Alex Lewis)",-2.320,-1.860
1,13:58,1,10,PHI 44,0,0,Donovan McNabb pass complete short left to Kevin Curtis for 10 yards (tackle by Idrees Bashir),1.860,2.520
1,13:23,1,10,DET 46,0,0,Brian Westbrook left tackle for 4 yards (tackle by Ernie Sims),2.520,2.520
1,12:45,2,6,DET 42,0,0,Donovan McNabb pass complete deep left to Kevin Curtis for 17 yards (tackle by Kenoy Kennedy),2.520,3.910
1,12:07,1,10,DET 25,0,6,"Brian Westbrook left end for 25 yards, touchdown",3.910,7.000
1,,,,DET 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,,,"David Akers kicks off 65 yards, returned by Brian Calhoun for 21 yards",,
1,11:52,1,10,DET 26,0,7,Tatum Bell right end for -1 yards (tackle by Trent Cole),0.670,-0.010
1,11:18,2,11,DET 25,0,7,Tatum Bell left end for -2 yards (tackle by Chris Gocong and Sheldon Brown),-0.010,-0.960
1,10:39,3,13,DET 23,0,7,Jon Kitna pass complete short right to Roy E. Williams for 54 yards (tackle by Joselio Hanson),-0.960,4.040
1,9:49,1,10,PHI 23,0,7,Jon Kitna pass complete short middle to Shaun McDonald for 21 yards (tackle by Will James),4.040,6.740
