Unnamed: 0,DET,PHI
First Downs,20,29
Rush-Yds-TDs,11-39-1,34-173-4
Cmp-Att-Yd-TD-INT,29-46-446-2-1,21-26-381-4-0
Sacked-Yards,10-53,3-18
Net Pass Yards,393,363
Total Yards,432,536
Fumbles-Lost,3-2,2-2
Turnovers,3,2
Penalties-Yards,9-65,5-35
Third Down Conv.,4-14,3-8
Fourth Down Conv.,0-2,0-0
Time of Possession,27:30,32:30
