Unnamed: 0,NYG,GNB
First Downs,24,22
Rush-Yds-TDs,31-125-3,20-94-0
Cmp-Att-Yd-TD-INT,21-27-217-0-0,25-39-222-2-0
Sacked-Yards,1-4,2-15
Net Pass Yards,213,207
Total Yards,338,301
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,6-63,7-37
Third Down Conv.,6-11,4-10
Fourth Down Conv.,0-1,0-1
Time of Possession,32:11,27:49
