Unnamed: 0,HOU,IND
First Downs,22,27
Rush-Yds-TDs,26-81-1,18-72-1
Cmp-Att-Yd-TD-INT,32-43-311-1-2,34-51-318-1-2
Sacked-Yards,2-10,2-12
Net Pass Yards,301,306
Total Yards,382,378
Fumbles-Lost,1-1,1-0
Turnovers,3,2
Penalties-Yards,13-103,4-40
Third Down Conv.,10-16,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,34:33,25:27
