Unnamed: 0,NWE,CHI
First Downs,27,12
Rush-Yds-TDs,35-124-1,14-47-1
Cmp-Att-Yd-TD-INT,27-40-369-2-0,12-26-152-0-2
Sacked-Yards,3-18,2-14
Net Pass Yards,351,138
Total Yards,475,185
Fumbles-Lost,0-0,4-2
Turnovers,0,4
Penalties-Yards,4-43,4-30
Third Down Conv.,12-19,3-8
Fourth Down Conv.,0-1,0-0
Time of Possession,39:41,20:19
