Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
1,7:51,3,12,,0,0,Tom Brady pass complete short left to Deion Branch for 16 yards (tackle by Chris Harris),0.890,3.310
1,7:10,1,10,CHI 34,0,0,Tom Brady pass complete short middle to Wes Welker for 24 yards (tackle by Zackary Bowman and Nick Roach),3.310,4.910
1,6:31,1,10,CHI 10,0,0,Danny Woodhead left guard for 3 yards (tackle by Corey Wootton and Henry Melton),4.910,4.760
1,5:58,2,7,CHI 7,0,0,Tom Brady pass incomplete short middle intended for Deion Branch (defended by Brian Urlacher),4.760,3.810
1,5:52,3,7,CHI 7,6,0,"Tom Brady pass complete short middle to Rob Gronkowski for 7 yards, touchdown",3.810,7.000
1,,,,CHI 2,7,0,Shayne Graham kicks extra point good,0.000,0.000
1,,,,NWE 30,7,0,"Shayne Graham kicks off 46 yards, returned by Rashied Davis for 2 yards. Rashied Davis fumbles, recovered by Earl Bennett at CHI-20 and returned for 2 yards",0.000,0.410
1,5:40,1,10,CHI 22,7,0,Jay Cutler pass complete short left to Greg Olsen for 6 yards (tackle by Rob Ninkovich),0.410,0.680
1,5:07,2,4,CHI 28,7,0,"Matt Forte left end for 3 yards (tackle by Gary Guyton). Penalty on Roberto Garza: Offensive Holding, 10 yards (no play)",0.680,-0.770
1,4:36,2,14,CHI 18,7,0,Jay Cutler sacked by Gerard Warren for -4 yards,-0.770,-2.240
1,3:56,3,18,CHI 14,7,0,Jay Cutler pass complete deep right to Johnny Knox for 19 yards (tackle by Devin McCourty),-2.240,1.140
1,3:05,1,10,CHI 33,7,0,Jay Cutler right end for 7 yards (tackle by Ron Brace),1.140,1.540
1,2:17,2,3,CHI 40,7,0,Matt Forte left tackle for 5 yards (tackle by Jerod Mayo and James Sanders),1.540,1.930
1,1:36,1,10,CHI 45,7,0,Matt Forte left tackle for 4 yards (tackle by Kyle Arrington),1.930,1.920
1,0:54,2,6,CHI 49,7,0,Matt Forte left guard for 2 yards (tackle by Jerod Mayo),1.920,1.490
1,0:11,3,4,NWE 49,7,0,Jay Cutler pass incomplete short right intended for Earl Bennett (defended by Devin McCourty),1.490,0.000
1,0:07,4,4,NWE 49,7,0,Brad Maynard punts 36 yards,0.000,0.320
Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 13,7,0,Tom Brady pass complete short middle to Wes Welker for 12 yards (tackle by Rod Wilson),-0.320,0.610
2,14:26,1,10,NWE 25,7,0,BenJarvus Green-Ellis left tackle for 11 yards (tackle by Charles Tillman),0.610,1.330
2,13:51,1,10,NWE 36,7,0,BenJarvus Green-Ellis left guard for 1 yard (tackle by Israel Idonije),1.330,0.930
2,13:19,2,9,NWE 37,7,0,Tom Brady pass complete short left to Deion Branch for 8 yards (tackle by Charles Tillman),0.930,1.290
2,13:12,,,,7,0,Timeout #1 by New England Patriots,0.000,1.290
2,13:12,3,1,NWE 45,7,0,Sammy Morris left guard for 2 yards (tackle by Julius Peppers),1.290,2.060
2,12:42,1,10,NWE 47,7,0,Tom Brady pass incomplete short right intended for Brandon Tate (defended by Julius Peppers),2.060,1.520
2,12:37,2,10,NWE 47,7,0,Tom Brady pass complete short left to Wes Welker for 19 yards (tackle by Major Wright),1.520,3.310
2,12:03,1,10,CHI 34,7,0,BenJarvus Green-Ellis right tackle for 9 yards (tackle by Major Wright),3.310,3.990
2,11:27,2,1,CHI 25,7,0,Danny Woodhead left tackle for 5 yards (tackle by D.J. Moore and Brian Urlacher),3.990,4.240
2,10:55,1,10,CHI 20,7,0,BenJarvus Green-Ellis right end for 17 yards (tackle by Chris Harris),4.240,6.510
2,10:22,1,3,CHI 3,13,0,"Danny Woodhead right guard for 3 yards, touchdown",6.510,7.000
2,,,,CHI 2,14,0,Shayne Graham kicks extra point good,0.000,0.000
2,,,,NWE 30,14,0,"Shayne Graham kicks off 65 yards, returned by Danieal Manning for 33 yards (tackle by Kyle Arrington)",0.000,1.470
2,10:09,1,10,CHI 38,20,0,"Jay Cutler pass complete short left to Johnny Knox for -3 yards (tackle by Devin McCourty). Johnny Knox fumbles (forced by Devin McCourty), recovered by Gary Guyton at CHI-35 and returned for 35 yards, touchdown",1.470,-7.000
,,,,,,,"CHI challenged the fumble ruling, and the play was upheld.",,
2,,,,CHI 2,21,0,Shayne Graham kicks extra point good,0.000,0.000
2,,,,NWE 30,21,0,"Shayne Graham kicks off 65 yards, returned by Danieal Manning for 40 yards (tackle by Matt Slater)",0.000,1.930
2,9:45,1,10,CHI 45,21,0,Chester Taylor left end for -1 yards (tackle by Patrick Chung),1.930,1.250
2,9:05,2,11,CHI 44,21,0,"Jay Cutler for 15 yards (tackle by Devin McCourty). Penalty on Brandon Manumaleuna: Offensive Holding, 10 yards (no play)",1.250,-0.100
2,8:38,2,21,CHI 34,21,0,Jay Cutler pass incomplete short left intended for Chester Taylor,-0.100,-0.760
2,8:33,3,21,CHI 34,21,0,Jay Cutler pass incomplete short left intended for Johnny Knox,-0.760,-1.110
2,8:26,4,21,CHI 34,21,0,"Brad Maynard punts 38 yards, returned by Julian Edelman for 42 yards (tackle by Rashied Davis)",-1.110,-3.580
2,8:09,1,10,CHI 30,21,0,BenJarvus Green-Ellis right guard for 5 yards (tackle by Matt Toeaina),3.580,3.710
2,7:37,2,5,CHI 25,21,0,BenJarvus Green-Ellis right guard for 4 yards (tackle by Anthony Adams),3.710,3.530
2,7:02,3,1,CHI 21,21,0,BenJarvus Green-Ellis right guard for 1 yard (tackle by Israel Idonije),3.530,4.240
2,6:14,1,10,CHI 20,21,0,Tom Brady pass incomplete short right intended for Wes Welker (defended by Nick Roach),4.240,3.690
2,6:09,2,10,CHI 20,21,0,Danny Woodhead right guard for 3 yards (tackle by Anthony Adams and Israel Idonije),3.690,3.360
2,5:27,3,7,CHI 17,21,0,Tom Brady pass complete short middle to Danny Woodhead for 5 yards (tackle by Julius Peppers),3.360,2.760
2,4:43,4,2,CHI 12,24,0,Shayne Graham 30 yard field goal good,2.760,3.000
2,,,,NWE 30,24,0,"Shayne Graham kicks off 66 yards, returned by Devin Hester for 13 yards (tackle by Tracy White)",0.000,-0.060
2,4:30,1,10,CHI 17,24,0,"Jay Cutler sacked by Eric Moore for -10 yards. Jay Cutler fumbles (forced by Eric Moore), recovered by Jerod Mayo at CHI-7 (tackle by Roberto Garza)",-0.060,-5.140
2,4:21,1,9,CHI 9,24,0,Danny Woodhead left tackle for 2 yards (tackle by Julius Peppers),5.140,4.760
2,3:36,2,7,CHI 7,24,0,Tom Brady pass incomplete short right intended for Wes Welker,4.760,3.810
2,3:32,3,7,CHI 7,24,0,Tom Brady pass incomplete short middle intended for Wes Welker,3.810,2.970
2,3:25,,,,24,0,Timeout #2 by New England Patriots,0.000,2.970
2,3:25,4,7,CHI 7,27,0,Shayne Graham 25 yard field goal good,2.970,3.000
2,,,,NWE 30,27,0,"Shayne Graham kicks off 62 yards, returned by Danieal Manning for 26 yards (tackle by Tracy White)",0.000,1.200
2,3:13,1,10,CHI 34,27,0,Matt Forte right end for -5 yards (tackle by Eric Moore),1.200,-0.020
2,2:34,2,15,CHI 29,27,0,Jay Cutler pass complete short right to Matt Forte for 6 yards (tackle by Jerod Mayo),-0.020,0.100
2,2:01,3,9,CHI 35,27,0,Jay Cutler pass incomplete short right intended for Matt Forte,0.100,-1.040
2,1:57,4,9,CHI 35,27,0,"Brad Maynard punts 36 yards, returned by Julian Edelman for 71 yards. Penalty on Dane Fletcher: Offensive Holding, 10 yards",-1.040,-0.280
2,1:38,1,10,NWE 20,27,0,BenJarvus Green-Ellis left tackle for 1 yard (tackle by Lance Briggs),0.280,-0.130
2,0:53,2,9,NWE 21,27,0,Tom Brady pass complete short left to Deion Branch for 19 yards (tackle by Brian Urlacher),-0.130,1.600
2,0:30,1,10,NWE 40,27,0,Tom Brady pass incomplete short middle intended for Rob Gronkowski (defended by Brian Urlacher),1.600,1.050
2,0:26,2,10,NWE 40,27,0,Danny Woodhead right guard for 1 yard (tackle by Brian Urlacher),1.050,0.500
2,0:05,3,9,NWE 41,33,0,"Tom Brady pass complete deep left to Deion Branch for 59 yards, touchdown",0.500,7.000
2,,,,CHI 2,33,0,Shayne Graham kicks extra point no good,0.000,-1.000
Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 30,33,0,"Shayne Graham kicks off 60 yards, returned by Danieal Manning for 25 yards (tackle by Kyle Arrington)",0.000,1.270
3,14:54,1,10,CHI 35,33,0,Jay Cutler pass incomplete short left intended for Matt Forte (defended by Rob Ninkovich),1.270,0.720
3,14:50,2,10,CHI 35,33,0,Matt Forte right tackle for 9 yards (tackle by Eric Moore and Patrick Chung),0.720,1.220
3,14:06,3,1,CHI 44,33,0,Jay Cutler pass incomplete short left intended for Johnny Knox (defended by Kyle Arrington),1.220,-0.460
3,14:01,4,1,CHI 44,33,0,"Brad Maynard fumbles, recovered by Brad Maynard at CHI-35.",-0.460,-1.400
3,13:51,1,10,NWE 37,33,0,Tom Brady pass complete deep left to Deion Branch for 20 yards (tackle by Chris Harris),1.400,2.720
3,13:21,1,10,CHI 43,33,0,BenJarvus Green-Ellis left end for 13 yards (tackle by Julius Peppers),2.720,3.580
3,12:45,1,10,CHI 30,33,0,Tom Brady pass complete short left to Rob Gronkowski for 15 yards (tackle by Danieal Manning),3.580,4.580
3,12:23,1,10,CHI 15,33,0,Tom Brady pass complete short right to Rob Gronkowski for 4 yards (tackle by Brian Urlacher and Danieal Manning),4.580,4.640
3,11:44,2,6,CHI 11,33,0,BenJarvus Green-Ellis left guard for no gain (tackle by Matt Toeaina and Lance Briggs),4.640,3.780
3,11:06,3,6,CHI 11,33,0,Tom Brady pass incomplete short left intended for BenJarvus Green-Ellis,3.780,2.720
3,11:01,4,6,CHI 11,36,0,Shayne Graham 29 yard field goal good,2.720,3.000
3,,,,NWE 30,36,0,"Shayne Graham kicks off 66 yards, returned by Devin Hester for 61 yards (tackle by Rob Ninkovich)",0.000,3.250
3,10:44,1,10,NWE 35,36,0,Jay Cutler pass incomplete short left intended for Earl Bennett,3.250,2.700
3,10:38,2,10,NWE 35,36,0,Matt Forte right tackle for 3 yards (tackle by Gary Guyton),2.700,2.410
3,10:00,3,7,NWE 32,36,0,Jay Cutler pass complete short left to Matt Forte for 30 yards (tackle by Kyle Arrington),2.410,6.740
3,9:31,1,2,NWE 2,36,0,Jay Cutler pass incomplete short right intended for Brandon Manumaleuna,6.740,5.720
3,9:25,2,2,NWE 2,36,0,Chester Taylor right tackle for 1 yard (tackle by Eric Moore),5.720,5.170
3,8:48,3,1,NWE 1,36,6,"Chester Taylor left end for 1 yard, touchdown",5.170,7.000
3,,,,NWE 2,36,7,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,36,7,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
3,8:43,1,10,NWE 20,36,7,Tom Brady pass complete short right to Deion Branch for 8 yards (tackle by Tim Jennings),0.280,0.810
3,8:03,2,2,NWE 28,36,7,Tom Brady pass incomplete short right intended for Deion Branch,0.810,0.100
3,7:59,3,2,NWE 28,36,7,Tom Brady pass complete short middle to Deion Branch for 13 yards (tackle by Major Wright),0.100,1.660
3,7:24,1,10,NWE 41,36,7,BenJarvus Green-Ellis left end for -2 yards (tackle by Anthony Adams),1.660,0.850
3,6:49,2,12,NWE 39,36,7,"Tom Brady pass complete short right to BenJarvus Green-Ellis for 7 yards (tackle by Brian Urlacher). Penalty on Sebastian Vollmer: Offensive Holding, 10 yards (no play)",0.850,-0.500
3,6:23,2,22,NWE 29,36,7,Tom Brady pass complete short left to Wes Welker for 18 yards (tackle by Major Wright),-0.500,1.220
3,5:44,3,4,NWE 47,36,7,Tom Brady pass complete short left to Deion Branch for 8 yards (tackle by Nick Roach),1.220,2.590
3,5:00,1,10,CHI 45,36,7,"Penalty on Anthony Adams: Encroachment, 5 yards (no play)",2.590,3.320
3,4:41,1,5,CHI 40,36,7,Tom Brady pass complete short left to Rob Gronkowski for 13 yards (tackle by Corey Wootton and Lance Briggs),3.320,3.780
3,4:02,1,10,CHI 27,36,7,BenJarvus Green-Ellis left end for 2 yards (tackle by Brian Urlacher),3.780,3.500
3,3:33,2,8,CHI 25,36,7,BenJarvus Green-Ellis left tackle for -3 yards (tackle by Julius Peppers),3.500,2.410
3,2:53,3,11,CHI 28,36,7,Tom Brady pass incomplete short right intended for Wes Welker,2.410,1.590
3,2:50,4,11,CHI 28,36,7,Tom Brady pass complete short left to Aaron Hernandez for 5 yards (tackle by Charles Tillman),1.590,-0.480
3,2:40,1,10,CHI 23,36,7,Jay Cutler pass complete short left to Devin Hester for 12 yards (tackle by Patrick Chung),0.480,1.270
3,2:12,1,10,CHI 35,36,7,Jay Cutler pass incomplete short right intended for Matt Forte,1.270,0.720
3,2:07,2,10,CHI 35,36,7,Jay Cutler pass complete short middle to Earl Bennett for 10 yards (tackle by Gary Guyton and Jerod Mayo),0.720,1.930
3,1:23,1,10,CHI 45,36,7,Jay Cutler pass complete short middle to Devin Aromashodu for 16 yards (tackle by Kyle Arrington),1.930,2.980
3,0:38,1,10,NWE 39,36,7,"Jay Cutler pass incomplete short right intended for Johnny Knox. Penalty on Darius Butler: Defensive Pass Interfere, 13 yards (no play)",2.980,3.840
3,0:32,1,10,NWE 26,36,7,Jay Cutler pass incomplete deep right intended for Devin Hester (defended by Darius Butler),3.840,3.300
3,0:25,2,10,NWE 26,36,7,Jay Cutler pass incomplete short right intended for Matt Forte is intercepted by Gary Guyton at NWE-16 and returned for 13 yards,3.300,-0.870
3,0:16,1,10,NWE 29,36,7,Tom Brady pass incomplete short right intended for Aaron Hernandez (defended by Brian Urlacher),0.870,0.330
3,0:06,2,10,NWE 29,36,7,Tom Brady pass incomplete short right intended for Wes Welker,0.330,-0.360
3,0:03,3,10,NWE 29,36,7,Tom Brady pass complete short left to Aaron Hernandez for 14 yards (tackle by Danieal Manning),-0.360,1.800
Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 43,36,7,BenJarvus Green-Ellis right tackle for 2 yards (tackle by Brian Urlacher),1.800,1.520
4,14:27,2,8,NWE 45,36,7,Tom Brady pass complete short middle to Wes Welker for 12 yards (tackle by Chris Harris),1.520,2.720
4,13:44,1,10,CHI 43,36,7,BenJarvus Green-Ellis right end for 4 yards (tackle by Charles Tillman),2.720,2.720
4,13:06,2,6,CHI 39,36,7,BenJarvus Green-Ellis right tackle for 5 yards (tackle by Rod Wilson and Chris Harris),2.720,2.680
4,12:16,3,1,CHI 34,36,7,BenJarvus Green-Ellis left guard for 3 yards (tackle by Tim Jennings),2.680,3.510
4,11:38,1,10,CHI 31,36,7,"Tom Brady pass incomplete deep left intended for Rob Gronkowski. Penalty on Alge Crumpler: Offensive Holding, 10 yards (no play)",3.510,2.850
4,11:31,1,20,CHI 41,36,7,Tom Brady pass complete short left to Brandon Tate for 12 yards (tackle by Charles Tillman),2.850,3.240
4,10:45,2,8,CHI 29,36,7,Tom Brady pass complete short left to Rob Gronkowski for 4 yards (tackle by Danieal Manning),3.240,3.070
4,10:01,3,4,CHI 25,36,7,Tom Brady sacked by Julius Peppers for -8 yards,3.070,1.150
4,9:20,4,12,CHI 33,36,7,"Zoltan Mesko punts 33 yards, touchback",1.150,-0.280
4,9:12,1,10,CHI 20,36,7,Jay Cutler pass complete short middle to Devin Hester for 5 yards,0.280,0.410
4,8:52,2,5,CHI 25,36,7,Jay Cutler pass complete short middle to Chester Taylor for 8 yards (tackle by Jarrad Page),0.410,1.140
4,8:23,1,10,CHI 33,36,7,Jay Cutler pass incomplete deep right intended for Devin Hester,1.140,0.590
4,8:17,2,10,CHI 33,36,7,Jay Cutler pass complete short right to Earl Bennett for 10 yards (tackle by Patrick Chung),0.590,1.800
4,7:47,1,10,CHI 43,36,7,Jay Cutler left end for 14 yards (tackle by Kyle Arrington),1.800,2.720
4,7:20,1,10,NWE 43,36,7,Jay Cutler pass complete deep left to Earl Bennett for 33 yards (tackle by Brandon Meriweather),2.720,4.910
4,6:48,1,10,NWE 10,36,7,Jay Cutler pass incomplete short right intended for Earl Bennett (defended by James Sanders),4.910,4.190
4,6:43,2,10,NWE 10,36,7,Jay Cutler pass incomplete deep left intended for Earl Bennett is intercepted by Brandon Meriweather,4.190,-0.280
4,6:31,1,10,NWE 20,36,7,BenJarvus Green-Ellis left guard for 2 yards (tackle by Lance Briggs),0.280,0.000
4,5:47,2,8,NWE 22,36,7,Tom Brady sacked by Anthony Adams for -8 yards,0.000,-2.030
4,5:15,3,16,NWE 14,36,7,Tom Brady pass complete deep left to Brandon Tate for 28 yards,-2.030,1.730
4,4:46,1,10,NWE 42,36,7,"Fred Taylor right tackle for no gain (tackle by Israel Idonije). Penalty on Julius Peppers: Defensive Offside, 5 yards (no play)",1.730,2.460
4,4:34,1,5,NWE 47,36,7,Fred Taylor right end for 10 yards (tackle by Major Wright),2.460,2.720
4,3:48,1,10,CHI 43,36,7,Fred Taylor right tackle for 3 yards (tackle by Nick Roach),2.720,2.580
4,3:06,2,7,CHI 40,36,7,Fred Taylor left end for 3 yards (tackle by Israel Idonije and Brian Urlacher),2.580,2.280
4,2:23,3,4,CHI 37,36,7,Danny Woodhead left tackle for 4 yards (tackle by Danieal Manning),2.280,3.380
4,2:00,1,10,CHI 33,36,7,Brian Hoyer kneels for -1 yards,3.380,2.700
4,1:19,2,11,CHI 34,36,7,Brian Hoyer kneels for no gain,2.700,2.010
4,0:39,3,11,CHI 34,36,7,Brian Hoyer kneels for -1 yards,2.010,0.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
