Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BUF 25,0,0,James Cook up the middle for 8 yards (tackle by Jevon Holland),0.610,1.140
1,14:23,2,2,BUF 33,0,0,Josh Allen pass complete short left to Deonte Harty for 3 yards (tackle by Bradley Chubb),1.140,1.330
1,13:46,1,10,BUF 36,0,0,Latavius Murray up the middle for 2 yards (tackle by Zach Sieler and Justin Bethel),1.330,1.060
1,13:06,2,8,BUF 38,0,0,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Jerome Baker and David Long),1.060,1.290
1,12:25,3,1,BUF 45,0,0,Latavius Murray right guard for 3 yards (tackle by David Long),1.290,2.130
1,11:52,1,10,BUF 48,0,0,James Cook right end for 2 yards (tackle by David Long and Da'Shawn Hand),2.130,1.850
1,11:10,2,8,BUF 50,0,0,"Josh Allen pass complete deep left to Stefon Diggs for 17 yards. Penalty on Kader Kohou: Unnecessary Roughness / Defense, 15 yards (accepted)",1.850,4.370
1,10:46,1,10,MIA 18,0,6,"Josh Allen pass complete deep right to Gabriel Davis for 18 yards, touchdown",4.370,7.000
1,10:41,,,MIA 15,0,7,Tyler Bass kicks extra point good,0.000,0.000
1,10:41,,,BUF 35,0,7,"Tyler Bass kicks off 65 yards, returned by Braxton Berrios for 23 yards (tackle by Dorian Williams)",0.000,0.480
1,10:36,1,10,MIA 23,0,7,Tua Tagovailoa pass complete short left to Durham Smythe for 8 yards (tackle by Tre'Davious White),0.480,1.010
1,9:52,2,2,MIA 31,0,7,Tua Tagovailoa pass complete short left to Durham Smythe for 22 yards (tackle by Taylor Rapp),1.010,2.460
1,9:16,1,10,BUF 47,0,7,Raheem Mostert left end for 2 yards (tackle by Leonard Floyd),2.460,2.180
1,8:33,2,8,BUF 45,0,7,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 11 yards (tackle by Matt Milano),2.180,3.310
1,7:56,1,10,BUF 34,0,7,Tua Tagovailoa pass complete short left to Tyreek Hill for 19 yards (tackle by Taron Johnson),3.310,4.580
1,7:20,1,10,BUF 15,0,7,"Tua Tagovailoa pass incomplete short left. Penalty on Tre'Davious White: Defensive Offside, 5 yards (accepted) (no play)",4.580,5.740
1,7:17,1,5,BUF 10,0,7,Tua Tagovailoa pass complete short middle to De'Von Achane for 7 yards (tackle by Micah Hyde),5.740,6.510
1,6:35,1,3,BUF 3,6,7,"De'Von Achane right guard for 3 yards, touchdown",6.510,7.000
1,6:30,,,BUF 15,7,7,Jason Sanders kicks extra point good,0.000,0.000
1,6:30,,,MIA 35,7,7,"Jason Sanders kicks off 69 yards, returned by Khalil Shakir for 24 yards (tackle by Elijah Campbell and Chase Winovich)",0.000,0.280
1,6:24,1,10,BUF 20,7,7,James Cook up the middle for 3 yards (tackle by Zach Sieler),0.280,0.140
1,5:48,2,7,BUF 23,7,7,Josh Allen pass complete short right to Dalton Kincaid for 5 yards (tackle by Jerome Baker),0.140,0.100
1,5:17,3,2,BUF 28,7,7,Josh Allen pass complete short left to Trent Sherfield for 9 yards (tackle by Justin Bethel and Bradley Chubb),0.100,1.400
1,4:33,,,,,,Timeout #1 by Buffalo Bills,,
1,4:33,1,10,BUF 37,7,7,Josh Allen pass complete short left to Dawson Knox for 12 yards (tackle by Jevon Holland and David Long),1.400,2.190
1,3:56,1,10,BUF 49,7,7,Josh Allen pass complete short middle to Dalton Kincaid for 9 yards (tackle by Raekwon Davis),2.190,2.860
1,3:27,2,1,MIA 42,7,7,Latavius Murray left guard for 29 yards (tackle by Jerome Baker),2.860,4.710
1,2:46,,,,,,Timeout #2 by Buffalo Bills,,
1,2:46,1,10,MIA 13,7,7,Josh Allen scrambles right guard for 3 yards (tackle by Brandon Jones),4.710,4.580
1,2:11,2,7,MIA 10,7,7,James Cook up the middle for 5 yards (tackle by Jerome Baker and Jevon Holland),4.580,4.780
1,1:47,3,2,MIA 5,7,7,James Cook up the middle for 4 yards (tackle by Da'Shawn Hand and David Long),4.780,6.970
1,1:15,1,1,MIA 1,7,13,"James Cook up the middle for 1 yard, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",6.970,7.000
1,1:10,,,MIA 15,7,14,Tyler Bass kicks extra point good,0.000,0.000
1,1:10,,,BUF 35,7,14,"Tyler Bass kicks off 56 yards, returned by Braxton Berrios for 21 yards (tackle by Tyrel Dodson)",0.000,0.940
