Unnamed: 0,MIA,BUF
First Downs,20,24
Rush-Yds-TDs,19-142-2,29-104-2
Cmp-Att-Yd-TD-INT,25-35-282-1-1,21-25-320-4-0
Sacked-Yards,4-31,2-10
Net Pass Yards,251,310
Total Yards,393,414
Fumbles-Lost,4-1,0-0
Turnovers,2,0
Penalties-Yards,8-98,4-20
Third Down Conv.,3-10,5-10
Fourth Down Conv.,0-3,0-0
Time of Possession,29:38,30:22
