Unnamed: 0,IND,JAX
First Downs,25,18
Rush-Yds-TDs,34-99-0,23-74-1
Cmp-Att-Yd-TD-INT,24-37-324-2-0,26-35-250-1-0
Sacked-Yards,3-24,0-0
Net Pass Yards,300,250
Total Yards,399,324
Fumbles-Lost,0-0,4-3
Turnovers,0,3
Penalties-Yards,5-47,7-65
Third Down Conv.,6-14,3-11
Fourth Down Conv.,1-2,1-1
Time of Possession,33:58,26:02
