Unnamed: 0,TAM,NOR
First Downs,16,16
Rush-Yds-TDs,26-81-0,29-145-0
Cmp-Att-Yd-TD-INT,21-27-262-1-0,11-23-106-2-1
Sacked-Yards,4-24,0-0
Net Pass Yards,238,106
Total Yards,319,251
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,11-65,8-60
Third Down Conv.,7-14,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,32:13,27:47
