Quarter,Time,Tm,Detail,JAX,TAM
1.0,7:22,Buccaneers,Chase McLaughlin 24 yard field goal,0,3
2.0,12:53,Buccaneers,Mike Evans 3 yard pass from Baker Mayfield (Chase McLaughlin kick),0,10
,2:27,Buccaneers,Chase McLaughlin 31 yard field goal,0,13
,0:45,Buccaneers,Mike Evans 22 yard pass from Baker Mayfield (Chase McLaughlin kick),0,20
3.0,11:30,Buccaneers,Rachaad White 2 yard rush (Chase McLaughlin kick),0,27
,3:49,Buccaneers,Chase McLaughlin 51 yard field goal,0,30
,0:50,Jaguars,Calvin Ridley 18 yard pass from Trevor Lawrence (pass failed),6,30
4.0,4:36,Jaguars,Calvin Ridley 1 yard pass from C.J. Beathard (pass failed),12,30
