Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Baker Mayfield pass complete short left to Trey Palmer for 8 yards (tackle by Foyesade Oluokun),0.610,1.140
1,14:27,2,2,TAM 33,0,0,Baker Mayfield sacked by Roy Robertson-Harris for -5 yards,1.140,-0.230
1,13:45,3,7,TAM 28,0,0,Baker Mayfield pass complete short middle to Trey Palmer for 18 yards (tackle by Andre Cisco),-0.230,1.990
1,13:14,1,10,TAM 46,0,0,Rachaad White right guard for 4 yards (tackle by Jeremiah Ledbetter and Tyson Campbell),1.990,1.990
1,12:37,2,6,JAX 50,0,0,Chris Godwin left end for 1 yard (tackle by Tyson Campbell),1.990,1.420
1,11:54,3,5,JAX 49,0,0,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Tre Herndon and Foyesade Oluokun),1.420,2.650
1,11:25,1,10,JAX 44,0,0,Rachaad White up the middle for 1 yard (tackle by Foyesade Oluokun and K'Lavon Chaisson),2.650,2.250
1,10:49,2,9,JAX 43,0,0,Rachaad White up the middle for 2 yards (tackle by Tyler Lacy),2.250,1.820
1,10:13,3,7,JAX 41,0,0,Baker Mayfield pass complete deep right to Chris Godwin for 22 yards (tackle by Tre Herndon),1.820,4.310
1,9:30,1,10,JAX 19,0,0,Rachaad White right tackle for 11 yards (tackle by Rayshawn Jenkins),4.310,5.370
1,8:41,1,8,JAX 8,0,0,Rachaad White up the middle for -4 yards (tackle by DaVon Hamilton),5.370,3.860
1,8:09,2,12,JAX 12,0,0,Baker Mayfield pass complete short right to Rachaad White for 6 yards (tackle by Foyesade Oluokun),3.860,4.040
1,7:36,3,6,JAX 6,0,0,Baker Mayfield pass incomplete short middle intended for Chris Godwin (defended by Adam Gotsis),4.040,2.990
1,7:25,4,6,JAX 6,0,3,Chase McLaughlin 24 yard field goal good,2.990,3.000
1,7:22,,,TAM 35,0,3,"Jake Camarda kicks off 64 yards, returned by Jamal Agnew for 31 yards (tackle by Ko Kieft and Dee Delaney)",0.000,1.070
1,7:17,1,10,JAX 32,0,3,Travis Etienne left end for no gain (tackle by Shaquil Barrett),1.070,0.530
1,6:40,2,10,JAX 32,0,3,Travis Etienne left guard for 4 yards (tackle by Antoine Winfield),0.530,0.370
1,6:01,3,6,JAX 36,0,3,Trevor Lawrence pass complete short left to Evan Engram for 11 yards (tackle by Jamel Dean),0.370,2.060
1,5:25,1,10,JAX 47,0,3,Trevor Lawrence pass complete short middle to Travis Etienne for 11 yards (tackle by Christian Izien),2.060,2.790
1,4:53,1,10,TAM 42,0,3,"Trevor Lawrence aborted snap, recovered by D'Ernest Johnson at TB-47 (tackle by Calijah Kancey)",2.790,1.570
1,4:17,2,15,TAM 47,0,3,Trevor Lawrence pass incomplete deep left intended for Tim Jones,1.570,0.890
1,4:09,3,15,TAM 47,0,3,Trevor Lawrence pass short right intended for Parker Washington is intercepted by Devin White at TB-34 and returned for 10 yards (tackle by Evan Engram),0.890,-1.860
1,4:00,1,10,TAM 44,0,3,Chase Edmonds right end for 6 yards (tackle by Travon Walker and Foyesade Oluokun),1.860,2.130
1,3:26,2,4,JAX 50,0,3,Baker Mayfield pass complete short middle to Mike Evans for 5 yards (tackle by Devin Lloyd),2.130,2.590
1,2:48,1,10,JAX 45,0,3,Baker Mayfield pass complete deep middle to Mike Evans for 19 yards (tackle by Tyson Campbell),2.590,3.840
1,2:05,1,10,JAX 26,0,3,Baker Mayfield pass complete short right to David Moore for 7 yards,3.840,4.270
1,1:35,2,3,JAX 19,0,3,Chase Edmonds right end for no gain (tackle by Adam Gotsis),4.270,3.570
1,0:51,3,3,JAX 19,0,3,Baker Mayfield scrambles left end for 1 yard (tackle by Tyson Campbell and Rayshawn Jenkins),3.570,2.370
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,JAX 18,0,3,Rachaad White left end for 4 yards (tackle by Foyesade Oluokun),2.370,4.650
2,14:24,1,10,JAX 14,0,3,Rachaad White left guard for 4 yards (tackle by Josh Allen),4.650,4.710
2,13:45,2,6,JAX 10,0,3,Baker Mayfield pass incomplete short left intended for Chris Godwin,4.710,3.820
2,13:40,3,6,JAX 10,0,3,Baker Mayfield scrambles up the middle for 7 yards (tackle by Rayshawn Jenkins and Tre Herndon),3.820,6.510
2,12:58,1,3,JAX 3,0,9,"Baker Mayfield pass complete short left to Mike Evans for 3 yards, touchdown",6.510,7.000
2,12:53,,,JAX 15,0,10,Chase McLaughlin kicks extra point good,0.000,0.000
2,12:53,,,TAM 35,0,10,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
2,12:53,1,10,JAX 25,0,10,Trevor Lawrence pass complete short right to Jamal Agnew for 12 yards (tackle by Carlton Davis),0.610,1.400
2,12:15,1,10,JAX 37,0,10,Trevor Lawrence sacked by Lavonte David for -8 yards,1.400,-0.220
2,11:37,2,18,JAX 29,0,10,Trevor Lawrence pass complete short right to Travis Etienne for 6 yards (tackle by Carlton Davis),-0.220,-0.100
2,11:06,3,12,JAX 35,0,10,Trevor Lawrence pass complete deep middle to Elijah Cooks for 23 yards (tackle by Kaevon Merriweather),-0.100,2.790
2,10:29,1,10,TAM 42,0,10,Travis Etienne up the middle for 3 yards (tackle by K.J. Britt),2.790,2.650
2,9:53,2,7,TAM 39,0,10,Travis Etienne up the middle for no gain (tackle by Lavonte David),2.650,1.950
2,9:11,3,7,TAM 39,0,10,Trevor Lawrence pass complete short left to Elijah Cooks for 13 yards (tackle by Jamel Dean),1.950,3.840
2,8:35,1,10,TAM 26,0,10,Calvin Ridley right end for -12 yards (tackle by YaYa Diaby),3.840,1.680
2,7:51,2,22,TAM 38,0,10,Travis Etienne right guard for 2 yards (tackle by YaYa Diaby),1.680,1.290
2,7:08,3,20,TAM 36,0,10,Trevor Lawrence pass complete short left to Elijah Cooks for 2 yards (tackle by Christian Izien),1.290,1.060
2,6:25,4,18,TAM 34,0,10,Brandon McManus 52 yard field goal no good,1.060,-1.730
2,6:20,1,10,TAM 42,0,10,Baker Mayfield pass complete short middle to Rachaad White for 3 yards (tackle by Foyesade Oluokun),1.730,1.590
2,6:01,2,7,TAM 45,0,10,Baker Mayfield pass complete short left to Rachaad White for 16 yards (tackle by Darious Williams),1.590,2.980
2,5:35,1,10,JAX 39,0,10,Baker Mayfield pass incomplete short left intended for Mike Evans (defended by Adam Gotsis),2.980,2.440
2,5:29,2,10,JAX 39,0,10,Chase Edmonds left end for 5 yards (tackle by Rayshawn Jenkins and Devin Lloyd),2.440,2.410
2,5:14,3,5,JAX 34,0,10,Baker Mayfield pass incomplete short middle intended for Trey Palmer (defended by Tre Herndon),2.410,1.070
2,4:55,4,5,JAX 34,0,10,"Baker Mayfield pass incomplete intended for Mike Evans. Penalty on Andre Cisco: Roughing the Passer, 15 yards (accepted) (no play)",1.070,4.310
2,4:45,1,10,JAX 19,0,10,Rachaad White up the middle for 1 yard (tackle by DaVon Hamilton),4.310,3.880
2,4:07,2,9,JAX 18,0,10,Rachaad White left end for -2 yards (tackle by Devin Lloyd),3.880,2.940
2,3:22,3,11,JAX 20,0,10,Baker Mayfield pass complete short right to Cade Otton for 7 yards (tackle by Foyesade Oluokun and Tre Herndon),2.940,2.640
2,2:30,4,4,JAX 13,0,13,Chase McLaughlin 31 yard field goal good,2.640,3.000
2,2:27,,,TAM 35,0,13,"Jake Camarda kicks off 50 yards, returned by Jamal Agnew for 8 yards (tackle by Josh Hayes)",0.000,0.480
2,2:23,1,10,JAX 23,0,13,Trevor Lawrence pass incomplete short left intended for Parker Washington,0.480,-0.070
2,2:19,2,10,JAX 23,0,13,Trevor Lawrence pass complete short middle to Evan Engram for 13 yards (tackle by Lavonte David),-0.070,1.330
2,2:00,1,10,JAX 36,0,13,Trevor Lawrence pass complete short left to Evan Engram for 5 yards (tackle by Shaquil Barrett),1.330,1.470
2,1:41,2,5,JAX 41,0,13,Trevor Lawrence pass deep middle intended for Evan Engram is intercepted by Antoine Winfield at TB-35 and returned for no gain (tackle by Evan Engram),1.470,-1.270
2,1:34,1,10,TAM 35,0,13,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Foyesade Oluokun),1.270,1.400
2,1:28,2,5,TAM 40,0,13,Baker Mayfield pass complete short right to Chris Godwin for 6 yards (tackle by Darious Williams),1.400,1.990
2,1:25,1,10,TAM 46,0,13,Baker Mayfield pass complete short left to Mike Evans for 11 yards (tackle by Tyson Campbell),1.990,2.720
2,1:17,1,10,JAX 43,0,13,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",2.720,2.390
2,1:17,1,15,JAX 48,0,13,Baker Mayfield pass incomplete short middle intended for Chris Godwin,2.390,1.500
2,1:15,2,15,JAX 48,0,13,Baker Mayfield pass complete short left to Trey Palmer for 10 yards,1.500,2.150
2,1:12,3,5,JAX 38,0,13,Baker Mayfield pass complete short left to Mike Evans for 16 yards (tackle by Tyson Campbell),2.150,4.110
2,0:51,1,10,JAX 22,0,19,"Baker Mayfield pass complete deep left to Mike Evans for 22 yards, touchdown",4.110,7.000
2,0:45,,,JAX 15,0,20,Chase McLaughlin kicks extra point good,0.000,0.000
2,0:45,,,TAM 35,0,20,"Jake Camarda kicks off 61 yards, returned by Jamal Agnew for 16 yards (tackle by David Moore)",0.000,0.280
2,0:40,1,10,JAX 20,0,20,Trevor Lawrence pass incomplete short middle intended for Calvin Ridley,0.280,-0.270
2,0:37,2,10,JAX 20,0,20,Trevor Lawrence pass complete short right to Evan Engram for 7 yards,-0.270,-0.030
2,0:32,3,3,JAX 27,0,20,Trevor Lawrence sacked by Antoine Winfield for -8 yards,-0.030,-2.140
2,0:24,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
