Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Travis Etienne,JAX,6,12,0,0,5,0.8,7,1.2,0,
Trevor Lawrence,JAX,4,29,0,3,27,6.8,2,0.5,0,
C.J. Beathard,JAX,1,6,0,1,6,6.0,0,0.0,0,
D'Ernest Johnson,JAX,1,2,0,,0,0.0,2,2.0,0,
Calvin Ridley,JAX,1,-12,0,0,-12,-12.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Rachaad White,TAM,20,39,1,3,10,0.5,29,1.5,1,20.0
Chase Edmonds,TAM,10,25,0,,13,1.3,12,1.2,1,10.0
Baker Mayfield,TAM,5,5,0,1,3,0.6,2,0.4,1,5.0
Chris Godwin,TAM,1,1,0,0,0,0.0,1,1.0,0,
