Unnamed: 0,JAX,TAM
First Downs,23,22
Rush-Yds-TDs,13-37-0,36-70-1
Cmp-Att-Yd-TD-INT,28-44-305-2-2,26-35-283-2-0
Sacked-Yards,4-37,2-18
Net Pass Yards,268,265
Total Yards,305,335
Fumbles-Lost,3-2,0-0
Turnovers,4,0
Penalties-Yards,2-20,6-44
Third Down Conv.,3-9,10-19
Fourth Down Conv.,1-3,1-2
Time of Possession,22:53,37:07
