Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
1,7:25,4,3,GNB 47,0,3,"Jon Ryan punts 53 yards, touchback",-0.260,-0.280
1,7:17,1,10,BUF 20,0,3,Anthony Thomas left guard for 6 yards (tackle by Aaron Kampman and Brady Poppinga),0.280,0.540
1,6:45,2,4,BUF 26,0,3,Anthony Thomas left tackle for 5 yards (tackle by Aaron Kampman),0.540,1.000
1,6:07,1,10,BUF 31,0,3,J.P. Losman pass complete short right to Daimon Shelton for 14 yards (tackle by Charles Woodson),1.000,1.930
1,5:26,1,10,BUF 45,0,3,Anthony Thomas right tackle for 1 yard (tackle by Colin Cole and Ryan Pickett),1.930,1.520
1,4:51,2,9,BUF 46,0,3,J.P. Losman sacked by Aaron Kampman for -11 yards,1.520,-0.630
1,4:20,3,20,BUF 35,0,3,J.P. Losman pass complete short left to Lee Evans for 15 yards (tackle by Charles Woodson),-0.630,-0.060
1,3:43,4,5,BUF 50,0,3,Brian Moorman punts 44 yards,-0.060,0.380
1,3:34,1,10,GNB 6,0,3,Ahman Green left tackle for 2 yards (tackle by Takeo Spikes and Tim Anderson),-0.380,-0.630
1,3:04,2,8,GNB 8,0,3,"Penalty on Chad Clifton: False Start, 4 yards (no play)",-0.630,-0.930
1,2:43,2,12,GNB 4,0,3,Brett Favre pass incomplete short middle intended for Ahman Green,-0.930,-1.650
1,2:37,3,12,GNB 4,0,3,Noah Herron left guard for 6 yards,-1.650,-2.490
1,2:07,4,6,GNB 10,0,3,"Jon Ryan punts 42 yards, returned by Jim Leonhard for 10 yards (tackle by Rob Davis). Jim Leonhard fumbles, recovered by Coy Wire at GNB-40. Penalty on Ryan Neufeld: Illegal Block Above the , 10 yards",-2.490,-1.660
1,1:55,1,10,BUF 41,0,3,J.P. Losman pass incomplete deep left intended for Robert Royal,1.660,1.120
1,1:49,2,10,BUF 41,0,3,J.P. Losman pass complete short right to Anthony Thomas for 6 yards (tackle by Brady Poppinga),1.120,1.220
1,1:08,3,4,BUF 47,0,3,J.P. Losman sacked by Corey Williams for -8 yards,1.220,-0.780
1,0:53,4,12,BUF 39,0,3,"Brian Moorman punts 46 yards, returned by Shaun Bodiford for -1 yards (tackle by Shaud Williams). Penalty on Jarrett Bush: Offensive Holding, 7 yards",-0.780,0.380
1,0:40,1,10,GNB 7,0,3,Ahman Green left tackle for 3 yards (tackle by Kyle Williams),-0.380,-0.560
Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,GNB 10,0,3,Ahman Green left tackle for 1 yard (tackle by Tim Anderson and Kyle Williams),-0.560,-0.950
2,14:18,3,6,GNB 11,0,9,"Brett Favre pass incomplete short right intended for Donald Driver is intercepted by London Fletcher at GNB-17 and returned for 17 yards, touchdown",-0.950,-7.000
2,,,,GNB 2,0,10,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,0,10,"Rian Lindell kicks off 62 yards, returned by Shaun Bodiford for 13 yards (tackle by Andre' Davis)",0.000,0.340
2,14:05,1,10,GNB 21,0,10,"Penalty on Donald Driver: False Start, 5 yards (no play)",0.340,-0.220
2,14:01,1,15,GNB 16,0,10,Ahman Green middle for 6 yards (tackle by Donte Whitner and Takeo Spikes),-0.220,-0.070
2,13:28,2,9,GNB 22,0,10,Brett Favre pass complete short right to Greg Jennings for 12 yards (tackle by Terrence McGee),-0.070,1.200
2,12:48,1,10,GNB 34,0,10,Brett Favre pass complete short left to Noah Herron for 5 yards,1.200,1.330
2,12:13,2,5,GNB 39,0,10,Noah Herron left tackle for 3 yards (tackle by Tim Anderson and Ryan Denney),1.330,1.030
2,11:37,3,2,GNB 42,0,10,Brett Favre pass complete short left to Greg Jennings for 9 yards (tackle by Terrence McGee),1.030,2.320
2,10:59,1,10,BUF 49,0,10,"Brett Favre for no gain. Brett Favre fumbles, recovered by Larry Tripplett at GNB-49",2.320,-2.320
2,10:54,1,10,GNB 49,0,10,Anthony Thomas left end for 3 yards (tackle by Kabeer Gbaja-Biamila and Nick Barnett),2.320,2.190
2,10:21,2,7,GNB 46,0,10,"Penalty on Josh Reed: False Start, 5 yards (no play)",2.190,1.510
2,10:08,2,12,BUF 49,0,10,J.P. Losman pass complete short right to Josh Reed for 6 yards (tackle by Corey Williams and A.J. Hawk),1.510,1.620
2,9:26,3,6,GNB 45,0,10,J.P. Losman middle for 4 yards (tackle by A.J. Hawk),1.620,0.530
2,8:53,4,2,GNB 41,0,10,"Penalty on Mike Schneck: False Start, 5 yards (no play)",0.530,0.200
2,8:37,4,7,GNB 46,0,10,Brian Moorman punts 34 yards,0.200,0.350
2,8:30,1,10,GNB 12,0,10,Brett Favre pass complete short right to Donald Driver for 9 yards (tackle by Terrence McGee),-0.350,0.420
2,7:54,2,1,GNB 21,0,10,Ahman Green left guard for 7 yards,0.420,0.810
2,7:11,1,10,GNB 28,0,10,Brett Favre pass incomplete short right intended for Donald Driver,0.810,0.260
2,7:05,2,10,GNB 28,0,10,Brett Favre pass complete short middle to Donald Driver for 12 yards (tackle by Kiwaukee Thomas),0.260,1.600
2,6:26,1,10,GNB 40,0,10,Brett Favre pass incomplete deep middle intended for Donald Driver (defended by Nate Clements),1.600,1.050
2,6:17,2,10,GNB 40,0,10,Brett Favre pass complete short left to Greg Jennings for 25 yards,1.050,3.250
2,5:38,1,10,BUF 35,0,10,Brett Favre pass incomplete short middle intended for Bubba Franks,3.250,2.700
2,5:33,2,10,BUF 35,0,10,Ahman Green left guard for 1 yard (tackle by Aaron Schobel and Larry Tripplett),2.700,2.150
2,4:56,3,9,BUF 34,0,10,Brett Favre sacked by Aaron Schobel and Chris Kelsay for -6 yards,2.150,0.590
2,4:36,4,15,BUF 40,0,10,Jon Ryan punts 29 yards,0.590,0.370
2,4:24,1,10,BUF 11,0,10,Anthony Thomas left end for 4 yards (tackle by Nick Barnett),-0.370,-0.430
2,3:59,2,6,BUF 15,0,10,Anthony Thomas left tackle for 2 yards (tackle by Ryan Pickett and Nick Collins),-0.430,-0.720
2,3:17,3,4,BUF 17,0,10,J.P. Losman pass incomplete deep left intended for Lee Evans (defended by Al Harris),-0.720,-2.320
2,3:10,4,4,BUF 17,0,10,"Brian Moorman punts 55 yards, returned by Shaun Bodiford for 5 yards (tackle by Shaud Williams). Penalty on Shaud Williams: Ineligible Downfield Kic, 5 yards (no play)",-2.320,-2.490
2,2:56,4,9,BUF 12,0,10,"Brian Moorman punts 65 yards, returned by Shaun Bodiford for -3 yards (tackle by Andre' Davis)",-2.490,-0.280
2,2:42,1,10,GNB 20,0,10,Ahman Green middle for 1 yard (tackle by Ryan Denney and Donte Whitner),0.280,-0.130
2,2:06,2,9,GNB 21,0,10,Brett Favre pass complete short middle to Greg Jennings for 7 yards (tackle by Takeo Spikes),-0.130,0.100
2,2:00,3,2,GNB 28,0,10,Brett Favre pass complete short middle to Noah Herron for 11 yards,0.100,1.530
2,1:28,1,10,GNB 39,0,10,Noah Herron middle for 2 yards (tackle by Angelo Crowell and Chris Kelsay),1.530,1.260
2,0:55,2,8,GNB 41,0,10,Brett Favre pass complete deep middle to David Martin for 19 yards (tackle by Ko Simpson),1.260,2.920
2,0:48,,,,0,10,Timeout #1 by Green Bay Packers,0.000,2.920
2,0:48,1,10,BUF 40,0,10,Ahman Green middle for 14 yards (tackle by Kiwaukee Thomas and Ko Simpson),2.920,3.840
2,0:32,1,10,BUF 26,0,10,Ahman Green left tackle for 6 yards,3.840,4.110
2,0:28,,,,0,10,Timeout #2 by Green Bay Packers,0.000,4.110
2,0:28,2,4,BUF 20,0,10,Brett Favre sacked by Aaron Schobel for -1 yards,4.110,3.270
2,0:19,,,,0,10,Timeout #3 by Green Bay Packers,0.000,3.270
2,0:19,3,5,BUF 21,0,10,Brett Favre pass complete short right to Greg Jennings for 16 yards,3.270,6.060
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:14,1,5,BUF 5,0,10,"Brett Favre for no gain. Brett Favre fumbles, recovered by Aaron Schobel at BUF-10",6.060,0.380
2,0:10,1,10,BUF 10,0,10,J.P. Losman kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,0,10,"Rian Lindell kicks off 71 yards, returned by Shaun Bodiford for 22 yards (tackle by John DiGiorgio)",0.000,0.340
3,14:54,1,10,GNB 21,0,10,Ahman Green right guard for 20 yards (tackle by Nate Clements),0.340,1.660
3,14:24,1,10,GNB 41,0,10,Ahman Green middle for 4 yards (tackle by Chris Kelsay),1.660,1.660
3,13:54,2,6,GNB 45,0,10,Brett Favre pass complete deep middle to David Martin for 18 yards (tackle by Ko Simpson),1.660,3.120
3,13:18,1,10,BUF 37,0,10,Brett Favre pass incomplete short right intended for Bubba Franks,3.120,2.570
3,13:14,2,10,BUF 37,0,10,Brett Favre pass complete short left to Noah Herron for 1 yard (tackle by Angelo Crowell),2.570,2.010
3,12:36,3,9,BUF 36,0,10,Brett Favre pass incomplete short middle intended for Donald Driver,2.010,0.880
3,12:31,4,9,BUF 36,0,10,Jon Ryan punts 33 yards,0.880,0.380
3,12:21,1,10,BUF 3,0,10,Anthony Thomas middle for 5 yards (tackle by Brady Poppinga and Marquand Manuel),-0.380,-0.420
3,11:53,2,5,BUF 8,0,10,Anthony Thomas left tackle for 7 yards (tackle by Nick Collins),-0.420,-0.220
3,11:16,1,10,BUF 15,0,10,Anthony Thomas left tackle for 3 yards (tackle by Aaron Kampman and Colin Cole),-0.220,-0.280
3,10:39,2,7,BUF 18,0,10,J.P. Losman pass complete short right to Peerless Price for 6 yards (tackle by Charles Woodson),-0.280,-0.270
3,10:00,3,1,BUF 24,0,10,Anthony Thomas left tackle for -1 yards (tackle by Brady Poppinga and Nick Barnett),-0.270,-1.830
3,9:29,4,2,BUF 23,0,10,"Brian Moorman punts 44 yards, returned by Shaun Bodiford for 2 yards (tackle by Jabari Greer)",-1.830,-1.270
3,9:18,1,10,GNB 35,0,10,Brett Favre pass complete deep middle to Donald Driver for 23 yards (tackle by Nate Clements),1.270,2.790
3,8:42,1,10,BUF 42,0,10,Ahman Green left guard for 4 yards (tackle by Ryan Denney and Takeo Spikes),2.790,2.780
3,8:04,2,6,BUF 38,0,10,Ahman Green right tackle for 4 yards (tackle by Tim Anderson),2.780,2.610
3,7:28,3,2,BUF 34,0,10,Noah Herron left tackle for 4 yards (tackle by Takeo Spikes),2.610,3.580
3,6:46,1,10,BUF 30,0,10,Brett Favre pass complete short middle to William Henderson for 11 yards (tackle by Takeo Spikes),3.580,4.310
3,6:10,1,10,BUF 19,0,10,Ahman Green left guard for 3 yards (tackle by Donte Whitner),4.310,4.180
3,5:35,2,7,BUF 16,0,10,Brett Favre pass complete short left to Donald Driver for 10 yards (tackle by Nate Clements),4.180,5.830
3,5:01,1,6,BUF 6,0,10,Brett Favre pass incomplete short middle intended for William Henderson (defended by Takeo Spikes),5.830,4.950
3,4:49,2,6,BUF 6,0,10,Ahman Green left end for 5 yards (tackle by Ko Simpson),4.950,5.170
3,4:22,3,1,BUF 1,6,10,"Brett Favre pass complete short left to Donald Driver for 1 yard, touchdown",5.170,7.000
3,,,,BUF 2,7,10,Dave Rayner kicks extra point good,0.000,0.000
3,,,,GNB 30,7,10,"Dave Rayner kicks off 67 yards, returned by Terrence McGee for 17 yards (tackle by Shaun Bodiford)",0.000,0.280
3,4:09,1,10,BUF 20,7,10,J.P. Losman sacked by Cullen Jenkins and Kabeer Gbaja-Biamila for -10 yards,0.280,-1.510
3,3:42,2,20,BUF 10,7,10,"Penalty on Jason Peters: False Start, 5 yards (no play)",-1.510,-1.880
3,3:32,2,25,BUF 5,7,10,J.P. Losman pass incomplete short right intended for Robert Royal (defended by Tyrone Culver),-1.880,-3.180
3,3:26,3,25,BUF 5,7,10,J.P. Losman sacked by Corey Williams for -2 yards,-3.180,-2.490
3,3:11,4,27,BUF 3,7,10,"Brian Moorman punts 58 yards, returned by Shaun Bodiford for 9 yards (tackle by Jabari Greer)",-2.490,-2.130
3,2:56,1,10,GNB 48,7,10,Ahman Green right end for 3 yards,2.130,1.990
3,2:11,2,7,BUF 49,7,10,Brett Favre pass complete short right to Donald Driver for 4 yards,1.990,1.820
3,1:29,3,3,BUF 45,7,10,Brett Favre pass incomplete short right intended for David Martin (defended by Angelo Crowell),1.820,0.270
3,1:24,4,3,BUF 45,7,10,"Jon Ryan punts 37 yards, returned by Roscoe Parrish for 13 yards (tackle by Ben Taylor). Penalty on Kiwaukee Thomas: Illegal Block Above the , 5 yards",0.270,0.380
3,1:14,1,10,BUF 6,7,10,Anthony Thomas left guard for 4 yards (tackle by Aaron Kampman),-0.380,-0.490
3,0:38,2,6,BUF 10,7,10,Anthony Thomas right guard for no gain (tackle by Aaron Kampman),-0.490,-0.950
Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,BUF 10,7,10,J.P. Losman pass incomplete short left intended for Andre' Davis,-0.950,-2.490
4,14:56,4,6,BUF 10,7,10,"Brian Moorman punts 46 yards, returned by Shaun Bodiford for 1 yard (tackle by Jabari Greer)",-2.490,-1.930
4,14:42,1,10,GNB 45,7,10,Brett Favre pass complete short right to Donald Driver for 12 yards (tackle by Nate Clements),1.930,2.720
,,,,,,,"BUF challenged the ruling, and the play was upheld.",,
4,14:11,1,10,BUF 43,7,10,Ahman Green right guard for 11 yards (tackle by Ko Simpson and Nate Clements),2.720,3.450
4,13:37,1,10,BUF 32,7,10,Ahman Green right end for 1 yard,3.450,3.040
4,12:54,2,9,BUF 31,7,10,Brett Favre pass incomplete short left intended for Noah Herron (defended by Larry Tripplett),3.040,2.340
4,12:50,3,9,BUF 31,7,10,Brett Favre pass incomplete deep left intended for Donald Driver,2.340,1.320
4,12:46,4,9,BUF 31,10,10,Dave Rayner 49 yard field goal good,1.320,3.000
4,,,,GNB 30,10,10,"Dave Rayner kicks off 66 yards, returned by Terrence McGee for 22 yards (tackle by Ben Taylor)",0.000,0.670
4,12:34,1,10,BUF 26,10,10,Anthony Thomas right end for 13 yards (tackle by Al Harris),0.670,1.530
4,11:59,1,10,BUF 39,10,10,J.P. Losman pass complete short left to Daimon Shelton for 3 yards (tackle by Charles Woodson),1.530,1.390
4,11:23,2,7,BUF 42,10,10,Peerless Price for 8 yards,1.390,2.260
4,11:01,1,10,BUF 50,10,10,Anthony Thomas left end for 5 yards (tackle by Aaron Kampman and Ryan Pickett),2.260,2.390
4,10:22,2,5,GNB 45,10,10,J.P. Losman sacked by Corey Williams for -7 yards,2.390,0.760
4,9:51,3,12,BUF 48,10,10,J.P. Losman pass incomplete short right intended for Roscoe Parrish (defended by Nick Barnett),0.760,-0.190
4,9:45,4,12,BUF 48,10,10,"Brian Moorman punts 42 yards, fair catch by Shaun Bodiford",-0.190,0.380
4,9:38,1,10,GNB 10,10,10,Ahman Green right end for -2 yards (tackle by Tim Anderson). Penalty on Shaun Bodiford: Illegal Crackback (Declined),-0.380,-0.930
4,9:22,2,12,GNB 8,10,10,Brett Favre pass incomplete short middle intended for Bubba Franks (defended by Angelo Crowell),-0.930,-1.650
4,9:17,3,12,GNB 8,10,10,Brett Favre pass complete short left to Ahman Green for 8 yards (tackle by Nate Clements),-1.650,-2.390
4,8:42,4,4,GNB 16,10,10,"Jon Ryan punts 39 yards, returned by Roscoe Parrish for 17 yards (tackle by Donald Lee). Penalty on Jason Hunter: Illegal Formation, 5 yards",-2.390,-3.380
4,8:28,1,10,GNB 33,10,10,"Anthony Thomas left end for 2 yards (tackle by Nick Barnett). Penalty on Lee Evans: Offensive Holding, 10 yards (no play)",3.380,2.720
4,8:12,1,20,GNB 43,10,10,J.P. Losman pass incomplete short right intended for Robert Royal,2.720,1.490
4,8:08,2,20,GNB 43,10,16,"J.P. Losman pass complete deep left to Lee Evans for 43 yards, touchdown",1.490,7.000
4,,,,GNB 2,10,17,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,10,17,"Rian Lindell kicks off 45 yards, returned by Mike Montgomery for 14 yards (tackle by Andre' Davis)",0.000,1.530
4,7:50,1,10,GNB 39,10,17,Brett Favre pass complete short right to Donald Driver for 12 yards (tackle by Angelo Crowell),1.530,2.320
4,7:15,1,10,BUF 49,10,17,Brett Favre pass incomplete short left intended for Ruvell Martin,2.320,1.780
4,7:09,2,10,BUF 49,10,17,Ahman Green right guard for 9 yards (tackle by Takeo Spikes and Nate Clements),1.780,2.280
4,6:36,,,,10,17,Timeout #2 by Buffalo Bills,0.000,2.280
4,6:36,3,1,BUF 40,10,17,Ahman Green left tackle for 16 yards (tackle by Ko Simpson),2.280,3.970
4,5:56,1,10,BUF 24,10,17,Brett Favre pass complete short middle to Donald Driver for 13 yards (tackle by Terrence McGee),3.970,4.840
4,5:22,1,10,BUF 11,10,17,Noah Herron middle for 10 yards (tackle by Nate Clements),4.840,6.970
4,4:47,1,1,BUF 1,10,17,Brett Favre pass incomplete short middle intended for Donald Driver is intercepted by Ko Simpson and returned for 76 yards,6.970,-3.780
4,4:33,1,10,GNB 27,10,17,Anthony Thomas left tackle for 6 yards (tackle by A.J. Hawk),3.780,4.040
4,3:51,2,4,GNB 21,10,17,Anthony Thomas left end for 7 yards (tackle by Nick Barnett and Ryan Pickett),4.040,4.650
4,3:08,1,10,GNB 14,10,23,"Anthony Thomas left end for 14 yards, touchdown",4.650,7.000
4,,,,GNB 2,10,24,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,10,24,"Rian Lindell kicks off 53 yards, returned by Shaun Bodiford for 12 yards (tackle by Mario Haggan)",0.000,0.870
4,2:54,1,10,GNB 29,10,24,Brett Favre pass complete short middle to Noah Herron for 11 yards,0.870,1.600
4,2:30,1,10,GNB 40,10,24,Brett Favre pass complete short middle to Noah Herron for 10 yards (tackle by Kiwaukee Thomas and Angelo Crowell),1.600,2.260
4,2:02,1,10,BUF 50,10,24,Brett Favre pass complete short right to David Martin for 4 yards (tackle by Terrence McGee),2.260,2.250
4,1:55,2,6,BUF 46,10,24,Brett Favre pass complete short left to Noah Herron for 7 yards (tackle by Nate Clements and Kiwaukee Thomas),2.250,2.980
4,1:47,,,,10,24,Timeout #1 by Green Bay Packers,0.000,2.980
4,1:47,1,10,BUF 39,10,24,Brett Favre pass incomplete short middle intended for David Martin,2.980,2.440
4,1:42,2,10,BUF 39,10,24,Brett Favre pass incomplete short middle intended for Noah Herron,2.440,1.750
4,1:37,3,10,BUF 39,10,24,Brett Favre pass incomplete deep right intended for Donald Driver,1.750,0.660
4,1:32,4,10,BUF 39,10,24,Brett Favre pass incomplete deep middle intended for Donald Driver,0.660,-1.600
4,1:26,1,10,BUF 40,10,24,Anthony Thomas for 3 yards (tackle by Ryan Pickett),1.600,1.460
4,1:21,,,,10,24,Timeout #2 by Green Bay Packers,0.000,1.460
4,1:21,2,7,BUF 43,10,24,Anthony Thomas left guard for 2 yards (tackle by Ryan Pickett and Aaron Kampman),1.460,1.030
4,1:18,,,,10,24,Timeout #3 by Green Bay Packers,0.000,1.030
4,1:18,3,5,BUF 45,10,24,Anthony Thomas left tackle for 6 yards (tackle by Tyrone Culver and A.J. Hawk),1.030,2.320
4,0:32,1,10,GNB 49,10,24,"J.P. Losman kneels for -1 yards. Penalty on Nick Barnett: Personal Foul, 15 yards",2.320,1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
