Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 60 yards, returned by Ellis Hobbs for 18 yards (tackle by Tony Gilbert)",0.000,0.810
1,14:54,1,10,NWE 28,0,0,"Tom Brady pass complete to Kevin Faulk for 6 yards (tackle by Mike Peterson). Penalty on Steve Neal: Offensive Holding, 10 yards (no play)",0.810,-0.040
1,14:37,1,20,NWE 18,0,0,"Penalty on Marcus Stroud: Neutral Zone Infraction, 5 yards (no play)",-0.040,0.480
1,14:21,1,15,NWE 23,0,0,Tom Brady pass incomplete intended for Ben Watson,0.480,-0.410
1,14:16,2,15,NWE 23,0,0,Tom Brady pass incomplete intended for Ben Watson,-0.410,-1.090
1,14:10,3,15,NWE 23,0,0,Tom Brady up the middle for 7 yards (tackle by Daryl Smith),-1.090,-1.370
1,13:35,4,8,NWE 30,0,0,"Josh Miller punts 46 yards, returned by Alvin Pearman for 9 yards (tackle by Lonie Paxton)",-1.370,-1.140
1,13:23,1,10,JAX 33,0,0,Fred Taylor up the middle for 1 yard (tackle by Vince Wilfork and Rosevelt Colvin),1.140,0.730
1,12:39,2,9,JAX 34,0,0,Byron Leftwich pass complete to Jimmy Smith for no gain,0.730,0.040
1,11:57,3,9,JAX 34,0,0,Byron Leftwich pass incomplete intended for Ernest Wilford (defended by Asante Samuel),0.040,-1.110
1,11:50,4,9,JAX 34,0,0,Chris Hanson punts 44 yards,-1.110,-0.410
1,11:41,1,10,NWE 22,0,0,Tom Brady pass complete to Kevin Faulk for 12 yards (tackle by Rashean Mathis),0.410,1.200
1,11:13,1,10,NWE 34,0,0,Kevin Faulk left guard for 19 yards (tackle by Deon Grant),1.200,2.460
1,10:43,1,10,JAX 47,0,0,Tom Brady pass complete to Ben Watson for -3 yards (tackle by John Henderson),2.460,1.510
1,10:03,2,13,NWE 50,0,0,Tom Brady pass incomplete intended for Patrick Pass (defended by John Henderson),1.510,0.830
1,9:58,3,13,NWE 50,0,0,Tom Brady pass complete to Deion Branch for 20 yards (tackle by Gerald Sensabaugh),0.830,3.580
1,9:17,1,10,JAX 30,0,0,"Tom Brady pass incomplete intended for Deion Branch. Penalty on Deon Grant: Illegal Contact, 5 yards (no play)",3.580,3.910
1,9:11,1,10,JAX 25,0,0,Kevin Faulk right guard for 1 yard (tackle by Deon Grant),3.910,3.500
1,8:33,2,9,JAX 24,0,0,Tom Brady sacked by Rob Meier for -4 yards,3.500,2.280
1,8:16,,,,0,0,Timeout #1 by Jacksonville Jaguars,0.000,2.280
1,8:16,3,13,JAX 28,0,0,Tom Brady pass incomplete intended for Ben Watson,2.280,1.590
1,8:09,4,13,JAX 28,0,0,Adam Vinatieri punts 24 yards,1.590,0.380
1,7:59,1,10,JAX 4,0,0,Greg Jones right end for 4 yards (tackle by Monty Beisel),-0.380,-0.490
1,7:21,2,6,JAX 8,0,0,Fred Taylor left guard for 3 yards (tackle by Richard Seymour and Vince Wilfork),-0.490,-0.600
1,6:40,3,3,JAX 11,0,0,Byron Leftwich pass complete to Fred Taylor for 2 yards (tackle by Mike Vrabel),-0.600,-2.490
1,6:00,4,1,JAX 13,0,0,Chris Hanson punts 30 yards,-2.490,-2.720
1,5:51,1,10,JAX 43,0,0,Corey Dillon up the middle for 5 yards (tackle by Marcus Stroud),2.720,2.850
1,5:18,2,5,JAX 38,0,0,Corey Dillon right end for no gain (tackle by Akin Ayodele),2.850,2.150
1,4:33,3,5,JAX 38,0,0,Tom Brady pass complete to Ben Watson for 8 yards (tackle by Daryl Smith),2.150,3.580
1,3:57,1,10,JAX 30,0,0,Corey Dillon right guard for 1 yard (tackle by Marcellus Wiley and Marcus Stroud),3.580,3.170
1,3:15,2,9,JAX 29,0,0,Tom Brady left end for 2 yards (tackle by Marcus Stroud),3.170,2.740
1,2:28,3,7,JAX 27,0,0,Tom Brady sacked by Mike Peterson for -3 yards,2.740,1.410
1,1:47,,,,0,0,Timeout #1 by New England Patriots,0.000,1.410
1,1:47,4,10,JAX 30,0,0,"Tom Brady pass incomplete intended for Ben Watson. Tom Brady fumbles, recovered by Tom Brady at JAX-37",1.410,-0.940
1,1:41,1,10,JAX 30,0,0,"Byron Leftwich for no gain. Byron Leftwich fumbles, recovered by Fred Taylor at JAX-22",0.940,-0.690
1,0:57,2,18,JAX 22,0,0,"Byron Leftwich pass incomplete intended for Matt Jones. Penalty on Byron Leftwich: Delay of Game, 5 yards (no play)",-0.690,-1.500
1,0:38,2,23,JAX 17,0,0,Byron Leftwich pass complete to Matt Jones for 8 yards (tackle by Willie McGinest),-1.500,-0.960
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,15,JAX 25,0,0,Byron Leftwich sacked by Willie McGinest for -7 yards,-0.960,-2.240
2,14:26,4,22,JAX 18,0,0,Chris Hanson punts 46 yards,-2.240,-3.120
2,14:13,1,10,JAX 37,0,0,Tom Brady pass incomplete intended for David Givens,3.120,2.570
2,14:08,2,10,JAX 37,0,0,Corey Dillon left tackle for 4 yards (tackle by Kenny Wright),2.570,2.410
2,13:28,3,6,JAX 33,0,0,Kevin Faulk left tackle for 18 yards (tackle by Kenny Wright),2.410,4.580
2,12:58,1,10,JAX 15,0,0,Tom Brady pass incomplete intended for Troy Brown,4.580,3.950
2,12:51,2,10,JAX 15,0,0,Corey Dillon right guard for 4 yards (tackle by Mike Peterson),3.950,3.780
2,12:14,3,6,JAX 11,0,6,"Tom Brady pass complete to Troy Brown for 11 yards, touchdown",3.780,7.000
2,,,,JAX 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,NWE 30,0,7,"Adam Vinatieri kicks off 64 yards, returned by Derrick Wimbush for 21 yards (tackle by Don Davis)",0.000,0.740
2,12:02,1,10,JAX 27,0,7,Byron Leftwich sacked by Rosevelt Colvin for -3 yards,0.740,-0.210
2,11:28,2,13,JAX 24,0,7,Byron Leftwich pass complete to Ernest Wilford for 14 yards (tackle by Mike Vrabel),-0.210,1.470
2,10:47,1,10,JAX 38,0,7,Fred Taylor up the middle for 4 yards (tackle by Ty Warren and Vince Wilfork),1.470,1.460
2,10:02,2,6,JAX 42,0,7,"Penalty on Byron Leftwich: Delay of Game, 5 yards (no play)",1.460,0.790
2,9:42,2,11,JAX 37,0,7,Byron Leftwich pass complete to Jimmy Smith for 19 yards (tackle by Eugene Wilson),0.790,2.650
2,9:04,1,10,NWE 44,0,7,"Alvin Pearman left end for 4 yards (tackle by Eugene Wilson). Alvin Pearman fumbles (forced by Eugene Wilson), recovered by Richard Seymour at NWE-40 (tackle by Maurice Williams)",2.650,-1.600
2,8:56,1,10,NWE 40,0,7,"Corey Dillon for 6 yards. Penalty on Nick Kaczur: Offensive Holding, 10 yards (no play)",1.600,0.940
2,8:29,1,20,NWE 30,0,7,Kevin Faulk up the middle for 2 yards (tackle by Marcus Stroud and Reggie Hayward),0.940,-0.030
2,7:51,2,18,NWE 32,0,7,Tom Brady pass complete to Kevin Faulk for 5 yards (tackle by Daryl Smith),-0.030,-0.030
2,7:05,3,13,NWE 37,0,7,Tom Brady pass incomplete intended for David Givens,-0.030,-0.910
2,6:59,4,13,NWE 37,0,7,"Josh Miller punts 37 yards, returned by Alvin Pearman for no gain",-0.910,-0.670
2,6:50,1,10,JAX 26,0,7,Byron Leftwich pass complete to Fred Taylor for -1 yards (tackle by Vince Wilfork and Rosevelt Colvin),0.670,-0.010
2,6:08,2,11,JAX 25,0,7,Byron Leftwich pass complete to Jimmy Smith for 11 yards (tackle by Asante Samuel),-0.010,1.330
2,5:02,1,10,JAX 36,0,7,Byron Leftwich pass complete to Ernest Wilford for 17 yards (tackle by Asante Samuel),1.330,2.460
2,4:45,1,10,NWE 47,0,7,Fred Taylor up the middle for 7 yards (tackle by Willie McGinest),2.460,2.860
2,4:08,2,3,NWE 40,0,7,"Penalty on Khalif Barnes: False Start, 5 yards (no play)",2.860,2.180
2,3:51,2,8,NWE 45,0,7,Byron Leftwich pass complete to Matt Jones for 9 yards (tackle by Ellis Hobbs),2.180,3.180
2,3:32,1,10,NWE 36,0,7,Fred Taylor right guard for 1 yard (tackle by Rosevelt Colvin and Willie McGinest),3.180,2.770
2,2:33,,,,0,7,Timeout #2 by New England Patriots,0.000,2.770
2,2:33,2,9,NWE 35,0,7,Byron Leftwich pass incomplete intended for Matt Jones,2.770,2.080
2,2:29,3,9,NWE 35,0,7,Byron Leftwich pass complete to Ernest Wilford for 11 yards (tackle by Troy Brown),2.080,3.970
2,2:00,1,10,NWE 24,0,7,Byron Leftwich pass incomplete intended for Jimmy Smith,3.970,3.430
2,1:55,2,10,NWE 24,0,7,"Penalty on Khalif Barnes: False Start, 5 yards (no play)",3.430,2.760
2,1:55,2,15,NWE 29,0,7,Byron Leftwich pass complete to Reggie Williams for 11 yards (tackle by Artrell Hawkins),2.760,3.570
2,1:13,3,4,NWE 18,0,7,Byron Leftwich pass incomplete intended for Ernest Wilford,3.570,2.320
2,1:08,4,4,NWE 18,3,7,Josh Scobee 36 yard field goal good,2.320,3.000
2,,,,JAX 30,3,7,"Josh Scobee kicks off 59 yards, returned by Ellis Hobbs for 18 yards (tackle by Rashean Mathis)",0.000,0.870
2,0:58,1,10,NWE 29,3,7,Tom Brady pass incomplete intended for Deion Branch,0.870,0.330
2,0:54,2,10,NWE 29,3,7,Tom Brady pass complete to Kevin Faulk for 21 yards (tackle by Terry Cousin and Deon Grant),0.330,2.260
