Unnamed: 0,JAX,NWE
First Downs,15,17
Rush-Yds-TDs,17-87-0,28-118-0
Cmp-Att-Yd-TD-INT,21-39-247-0-1,15-27-201-3-0
Sacked-Yards,6-42,4-12
Net Pass Yards,205,189
Total Yards,292,307
Fumbles-Lost,2-1,4-0
Turnovers,2,0
Penalties-Yards,8-40,4-32
Third Down Conv.,1-12,7-14
Fourth Down Conv.,1-4,0-1
Time of Possession,29:34,30:26
