Quarter,Time,Tm,Detail,JAX,NWE
2.0,12:08,Patriots,Troy Brown 11 yard pass from Tom Brady (Adam Vinatieri kick),0,7
,1:05,Jaguars,Josh Scobee 36 yard field goal,3,7
3.0,7:13,Patriots,David Givens 3 yard pass from Tom Brady (Adam Vinatieri kick),3,14
,3:03,Patriots,Ben Watson 63 yard pass from Tom Brady (Adam Vinatieri kick),3,21
4.0,14:46,Patriots,Asante Samuel 73 yard interception return (Adam Vinatieri kick),3,28
