Quarter,Time,Down,ToGo,Location,LVR,BUF,Detail,EPB,EPA
1,3:16,1,10,BUF 16,7,7,Latavius Murray right guard for 3 yards (tackle by Tre'von Moehrig and Adam Butler),-0.140,-0.180
1,2:40,2,7,BUF 19,7,7,Josh Allen pass complete short right to Dawson Knox for 1 yard (tackle by Nate Hobbs and Marcus Peters),-0.180,-0.820
1,1:58,3,6,BUF 20,7,7,Josh Allen pass complete short middle to Dawson Knox for 7 yards (tackle by David Long),-0.820,0.740
1,1:22,1,10,BUF 27,7,7,Josh Allen pass complete short right to Reggie Gilliam for 3 yards (tackle by Marcus Peters),0.740,0.600
1,0:40,2,7,BUF 30,7,7,Josh Allen pass complete short right to Gabriel Davis for 7 yards (tackle by Nate Hobbs and Jakorian Bennett),0.600,1.400
1,0:05,1,10,BUF 37,7,7,"Josh Allen pass complete deep left to Gabriel Davis for 19 yards (tackle by Robert Spillane). Penalty on Bilal Nichols: Defensive Offside, 5 yards (declined)",1.400,2.650
Quarter,Time,Down,ToGo,Location,LVR,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LVR 44,7,7,James Cook left guard for 2 yards (tackle by Robert Spillane),2.650,2.380
2,14:22,2,8,LVR 42,7,7,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Marcus Epps),2.380,2.350
2,13:43,3,3,LVR 37,7,7,Damien Harris right end for 11 yards (tackle by Nate Hobbs),2.350,3.840
2,13:01,1,10,LVR 26,7,7,"Josh Allen pass incomplete deep left intended for Stefon Diggs. Penalty on Nate Hobbs: Defensive Pass Interference, 25 yards (accepted) (no play)",3.840,6.970
2,12:54,1,1,LVR 1,7,7,Damien Harris up the middle for -1 yards (tackle by Isaac Rochell and Robert Spillane),6.970,5.720
2,12:16,2,2,LVR 2,7,13,"Josh Allen pass complete short left to Dawson Knox for 2 yards, touchdown",5.720,7.000
2,12:10,,,LVR 15,7,14,Tyler Bass kicks extra point good,0.000,0.000
2,12:10,,,BUF 35,7,14,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,12:10,1,10,LVR 25,7,14,Jimmy Garoppolo pass incomplete deep right intended for Tre Tucker (defended by Christian Benford),0.610,0.060
2,12:03,2,10,LVR 25,7,14,Josh Jacobs left end for -1 yards (tackle by Gregory Rousseau),0.060,-0.760
2,11:24,3,11,LVR 24,7,14,Jimmy Garoppolo pass complete deep right to Davante Adams for 18 yards (tackle by Christian Benford and Micah Hyde),-0.760,1.730
2,10:42,1,10,LVR 42,7,14,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 10 yards (tackle by Terrel Bernard and Taron Johnson),1.730,2.390
2,9:46,1,10,BUF 48,7,14,Josh Jacobs right guard for no gain (tackle by Jordan Poyer),2.390,1.850
2,9:03,2,10,BUF 48,7,14,Jimmy Garoppolo pass complete deep right to Davante Adams for 21 yards,1.850,3.780
2,8:26,1,10,BUF 27,7,14,Josh Jacobs up the middle for -3 yards (tackle by DaQuan Jones),3.780,2.830
2,7:26,2,13,BUF 30,7,14,Jimmy Garoppolo scrambles up the middle for 1 yard (tackle by Gregory Rousseau),2.830,2.280
2,6:59,3,12,BUF 29,7,14,Jimmy Garoppolo pass incomplete short left intended for DeAndre Carter,2.280,1.500
2,6:53,4,12,BUF 29,10,14,Daniel Carlson 47 yard field goal good,1.500,3.000
2,6:48,,,LVR 35,10,14,"Daniel Carlson kicks off 59 yards, returned by Damien Harris for 41 yards (tackle by Daniel Carlson)",0.000,2.060
2,6:40,1,10,BUF 47,10,14,Josh Allen pass complete short left to Dalton Kincaid for 10 yards (tackle by Nate Hobbs),2.060,2.720
2,6:10,1,10,LVR 43,10,14,James Cook up the middle for 9 yards (tackle by Nate Hobbs),2.720,3.390
2,5:34,2,1,LVR 34,10,14,Josh Allen pass complete short left to James Cook for 26 yards (tackle by Tre'von Moehrig),3.390,5.370
2,4:53,1,8,LVR 8,10,14,James Cook up the middle for 4 yards (tackle by John Jenkins and Divine Deablo),5.370,5.340
2,4:14,2,4,LVR 4,10,14,Josh Allen right guard for 3 yards (tackle by Marcus Epps and Maxx Crosby),5.340,5.170
2,3:31,3,1,LVR 1,10,14,Latavius Murray for no gain (tackle by Tre'von Moehrig),5.170,3.550
2,3:01,,,,,,Timeout #1 by Las Vegas Raiders,,
2,3:01,4,1,LVR 1,10,14,Josh Allen pass incomplete short left intended for Dawson Knox (defended by Nate Hobbs),3.550,0.380
2,2:56,1,10,LVR 2,10,14,Jimmy Garoppolo pass complete short right to Davante Adams for 7 yards (tackle by Tre'Davious White),-0.380,-0.200
2,2:23,2,2,LVR 9,10,14,Josh Jacobs right end for no gain (tackle by Christian Benford and Ed Oliver),-0.200,-0.600
2,2:00,3,3,LVR 9,10,14,Jimmy Garoppolo pass incomplete short right,-0.600,-2.490
2,1:55,4,3,LVR 9,10,14,"AJ Cole punts 48 yards, fair catch by Deonte Harty at BUF-43",-2.490,-1.800
2,1:47,1,10,BUF 43,10,14,Josh Allen pass incomplete short middle intended for Gabriel Davis,1.800,1.250
2,1:42,2,10,BUF 43,10,14,Josh Allen pass complete short left to James Cook for 2 yards (tackle by Robert Spillane),1.250,0.830
2,1:02,3,8,BUF 45,10,14,Josh Allen pass complete deep left to Stefon Diggs for 17 yards (tackle by Jakorian Bennett),0.830,3.050
2,0:46,,,,,,Timeout #1 by Buffalo Bills,,
2,0:46,1,10,LVR 38,10,14,"James Cook left end for 10 yards (tackle by Robert Spillane) Replay Assistant challenged the first down ruling, and the original play was overturned. James Cook for 9 yards and Robert Spillane and Marcus Epps)",3.050,3.720
2,0:46,2,1,LVR 29,10,14,Josh Allen pass complete short left to James Cook for 3 yards (tackle by Divine Deablo),3.720,3.840
2,0:41,1,10,LVR 26,10,14,"Josh Allen scrambles for no gain. Penalty on O'Cyrus Torrence: Offensive Holding, 10 yards (offset) . Penalty on Tre'von Moehrig: Unnecessary Roughness / Defense, 15 yards (offset) (no play)",3.840,3.840
2,0:34,1,10,LVR 26,10,14,Josh Allen pass complete short right to Gabriel Davis for 15 yards (tackle by Marcus Peters),3.840,4.840
2,0:28,1,10,LVR 11,10,14,Josh Allen pass incomplete short middle intended for Dalton Kincaid (defended by Tre'von Moehrig),4.840,4.140
2,0:24,2,10,LVR 11,10,20,"Josh Allen pass complete short middle to Khalil Shakir for 11 yards, touchdown",4.140,7.000
2,0:18,,,LVR 15,10,21,Tyler Bass kicks extra point good,0.000,0.000
2,0:18,,,BUF 35,10,21,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,0:18,1,10,LVR 25,10,21,"Jimmy Garoppolo pass complete short left to Josh Jacobs for 11 yards (tackle by Terrel Bernard and Gregory Rousseau). Penalty on Christian Benford: Illegal Use of Hands / Defense, 5 yards (declined)",0.610,1.330
2,0:10,1,10,LVR 36,10,21,Jimmy Garoppolo pass complete short left to Michael Mayer for 2 yards (tackle by Matt Milano),1.330,1.060
Quarter,Time,Down,ToGo,Location,LVR,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,10,21,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BUF 25,10,21,Josh Allen pass complete short left to Deonte Harty for 8 yards (tackle by Jakorian Bennett and Nate Hobbs),0.610,1.140
3,14:21,2,2,BUF 33,10,21,James Cook left end for 16 yards (tackle by Robert Spillane),1.140,2.190
3,13:39,1,10,BUF 49,10,21,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Nate Hobbs),2.190,2.730
3,13:01,2,2,LVR 43,10,21,James Cook left end for 4 yards (tackle by Maxx Crosby),2.730,2.980
3,12:20,1,10,LVR 39,10,21,Josh Allen pass complete short right to James Cook for 5 yards (tackle by Tre'von Moehrig),2.980,3.120
3,11:37,2,5,LVR 34,10,21,James Cook up the middle for 3 yards (tackle by Jerry Tillery and Bilal Nichols),3.120,2.810
3,10:54,3,2,LVR 31,10,21,Josh Allen pass complete short right to Stefon Diggs for 10 yards (tackle by Divine Deablo),2.810,4.170
3,10:14,1,10,LVR 21,10,21,Josh Allen pass incomplete deep right intended for Deonte Harty,4.170,3.630
3,10:05,2,10,LVR 21,10,21,James Cook right end for 6 yards (tackle by Robert Spillane),3.630,3.810
3,9:22,3,4,LVR 15,10,21,Josh Allen pass complete short right to Dalton Kincaid for 3 yards (tackle by David Long),3.810,2.780
3,8:42,4,1,LVR 12,10,21,Josh Allen left guard for 2 yards (tackle by Maxx Crosby),2.780,4.910
3,8:03,1,10,LVR 10,10,21,Latavius Murray left guard for 2 yards (tackle by Jakorian Bennett and Robert Spillane),4.910,4.700
3,7:20,2,7,LVR 8,10,21,Latavius Murray left guard for 5 yards (tackle by Jerry Tillery and Divine Deablo),4.700,4.720
3,6:35,3,3,LVR 3,10,21,Josh Allen pass complete short left to Latavius Murray for 1 yard (tackle by Jakorian Bennett),4.720,3.250
3,6:06,,,,,,Timeout #1 by Buffalo Bills,,
3,6:06,4,2,LVR 2,10,27,"Josh Allen pass complete short right to Gabriel Davis for 2 yards, touchdown",3.250,7.000
3,5:59,,,LVR 15,10,28,Tyler Bass kicks extra point good,0.000,0.000
3,5:59,,,BUF 35,10,28,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,5:59,1,10,LVR 25,10,28,Josh Jacobs right guard for 3 yards (tackle by Matt Milano and Jordan Poyer),0.610,0.470
3,5:23,2,7,LVR 28,10,28,Jimmy Garoppolo pass complete short right to Austin Hooper for 5 yards (tackle by Jordan Poyer),0.470,0.430
3,4:42,3,2,LVR 33,10,28,Jimmy Garoppolo pass complete short right to Austin Hooper for 15 yards (tackle by Matt Milano),0.430,2.130
3,3:59,1,10,LVR 48,10,28,Jimmy Garoppolo pass short right intended for Josh Jacobs is intercepted by Matt Milano at BUF-49 and returned for 3 yards (tackle by Josh Jacobs),2.130,-2.390
3,3:49,1,10,LVR 48,10,28,Josh Allen pass incomplete short left,2.390,1.850
3,3:46,2,10,LVR 48,10,28,Josh Allen pass complete short right to Dalton Kincaid for 8 yards,1.850,2.210
3,3:02,3,2,LVR 40,10,28,Josh Allen pass complete short right to Latavius Murray for 8 yards (tackle by Marcus Epps),2.210,3.450
3,2:25,1,10,LVR 32,10,28,James Cook up the middle for 5 yards (tackle by Bilal Nichols),3.450,3.580
3,1:50,2,5,LVR 27,10,28,Josh Allen pass complete short middle to Dalton Kincaid for 14 yards (tackle by Robert Spillane and Tre'von Moehrig),3.580,4.710
3,1:02,1,10,LVR 13,10,28,Josh Allen pass incomplete short left intended for Dawson Knox,4.710,4.050
3,0:57,2,10,LVR 13,10,28,Josh Allen sacked by Divine Deablo for -7 yards,4.050,2.540
3,0:14,,,,,,Timeout #2 by Buffalo Bills,,
3,0:14,3,17,LVR 20,10,28,"Penalty on Dalton Kincaid: False Start, 5 yards (accepted) (no play)",2.540,1.880
3,0:14,3,22,LVR 25,10,28,James Cook left end for 14 yards (tackle by Maxx Crosby),1.880,2.700
Quarter,Time,Down,ToGo,Location,LVR,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,8,LVR 11,10,31,Tyler Bass 29 yard field goal good,2.700,3.000
4,14:56,,,BUF 35,10,31,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
4,14:56,1,10,LVR 25,10,31,"Penalty on A.J. Epenesa: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.610,1.340
4,14:56,1,5,LVR 30,10,31,Jimmy Garoppolo pass complete short right to Davante Adams for 5 yards (tackle by Tre'Davious White),1.340,1.270
4,14:20,1,10,LVR 35,10,31,Josh Jacobs up the middle for 1 yard (tackle by Terrel Bernard),1.270,0.860
4,13:33,2,9,LVR 36,10,31,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 6 yards (tackle by Micah Hyde and Terrel Bernard),0.860,0.960
4,12:58,3,3,LVR 42,10,31,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams,0.960,-0.590
4,12:53,4,3,LVR 42,10,31,AJ Cole punts 53 yards downed by Isaiah Pola-Mao,-0.590,0.380
4,12:40,1,10,BUF 5,10,31,Damien Harris left guard for 9 yards (tackle by Divine Deablo),-0.380,-0.100
4,12:05,2,1,BUF 14,10,31,Damien Harris up the middle for 7 yards (tackle by Malcolm Koonce),-0.100,0.340
4,11:23,1,10,BUF 21,10,31,Damien Harris left end for 2 yards (tackle by Robert Spillane),0.340,0.070
4,10:41,2,8,BUF 23,10,31,Josh Allen pass complete short right to Gabriel Davis for 9 yards (tackle by Roderic Teamer),0.070,1.070
4,9:54,1,10,BUF 32,10,31,"James Cook left end for no gain (tackle by Jakorian Bennett). Penalty on Reggie Gilliam: Illegal Motion, 5 yards (accepted) (no play)",1.070,0.740
4,9:27,1,15,BUF 27,10,31,"Josh Allen pass incomplete. Penalty on Nate Hobbs: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.740,1.070
4,9:18,1,10,BUF 32,10,31,Josh Allen pass complete short left to Stefon Diggs for 16 yards (tackle by Roderic Teamer),1.070,2.130
4,8:33,1,10,BUF 48,10,31,James Cook left end for 6 yards (tackle by Jakorian Bennett),2.130,2.390
4,8:01,2,4,LVR 46,10,31,James Cook left end for -2 yards (tackle by Robert Spillane),2.390,1.420
4,7:21,3,6,LVR 48,10,31,Josh Allen pass complete deep right to Gabriel Davis for 40 yards (tackle by Jakorian Bennett),1.420,5.370
4,6:39,1,8,LVR 8,10,31,James Cook left guard for 3 yards (tackle by Bilal Nichols),5.370,5.150
4,5:56,2,5,LVR 5,10,31,Damien Harris up the middle for 4 yards (tackle by Maxx Crosby and Divine Deablo),5.150,5.170
4,5:11,,,,,,Timeout #3 by Buffalo Bills,,
4,5:11,3,1,LVR 1,10,37,"Damien Harris up the middle for 1 yard, touchdown",5.170,7.000
4,5:04,,,LVR 15,10,38,Tyler Bass kicks extra point good,0.000,0.000
4,5:08,,,BUF 35,10,38,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
4,5:08,1,10,LVR 25,10,38,Zamir White up the middle for 8 yards (tackle by Shaq Lawson),0.610,1.140
4,4:31,2,2,LVR 33,10,38,Zamir White up the middle for 6 yards (tackle by Dorian Williams),1.140,1.530
4,3:49,1,10,LVR 39,10,38,Jimmy Garoppolo pass complete deep middle to Hunter Renfrow for 23 yards (tackle by Taylor Rapp),1.530,3.050
4,3:10,1,10,BUF 38,10,38,"Jimmy Garoppolo pass incomplete deep middle intended for Davante Adams. Penalty on Taylor Rapp: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",3.050,4.040
4,3:02,1,10,BUF 23,10,38,Zamir White up the middle for 8 yards (tackle by Dorian Williams),4.040,4.750
4,2:26,2,2,BUF 15,10,38,"Zamir White for no gain. Zamir White fumbles (forced by Dane Jackson), recovered by Taylor Rapp at BUF-13 and returned for 6 yards (tackle by Tre Tucker). Penalty on Michael Mayer: Offensive Holding, 10 yards (declined)",4.750,-0.150
4,2:19,1,10,BUF 19,10,38,James Cook up the middle for 3 yards (tackle by Tyree Wilson),0.150,0.070
4,2:00,2,7,BUF 22,10,38,James Cook up the middle for 36 yards (tackle by Divine Deablo and Tyree Wilson),0.070,2.790
4,1:12,1,10,LVR 42,10,38,Kyle Allen kneels for -1 yards,2.790,2.110
4,0:42,2,11,LVR 43,10,38,Kyle Allen kneels for -1 yards,2.110,1.290
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
