Unnamed: 0,LVR,BUF
First Downs,13,29
Rush-Yds-TDs,15-55-0,35-183-2
Cmp-Att-Yd-TD-INT,16-24-185-1-2,31-37-274-3-0
Sacked-Yards,0-0,2-7
Net Pass Yards,185,267
Total Yards,240,450
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,2-30,4-30
Third Down Conv.,3-7,7-13
Fourth Down Conv.,0-0,3-4
Time of Possession,19:56,40:04
