Quarter,Time,Tm,Detail,ARI,ATL
1.0,13:54,Cardinals,LaRod Stephens-Howling 3 yard rush (Jay Feely kick),7,0
,10:59,Cardinals,Jay Feely 48 yard field goal,10,0
,1:02,Cardinals,Jay Feely 28 yard field goal,13,0
2.0,9:39,Falcons,Matt Bryant 51 yard field goal,13,3
,8:37,Falcons,Jonathan Babineaux 15 yard defensive fumble return (Matt Bryant kick),13,10
,1:52,Falcons,Matt Bryant 28 yard field goal,13,13
,0:32,Cardinals,Jay Feely 38 yard field goal,16,13
,0:00,Falcons,Matt Bryant 48 yard field goal,16,16
4.0,14:56,Cardinals,Jay Feely 27 yard field goal,19,16
,6:40,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),19,23
