Quarter,Time,Down,ToGo,Location,ARI,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 68 yards, returned by Jacquizz Rodgers for 30 yards (tackle by Justin Bethel)",0.000,0.740
1,14:52,1,10,ATL 27,0,0,Matt Ryan pass incomplete deep left intended for Roddy White is intercepted by Rashad Johnson at ATL-43 and returned for 34 yards (tackle by Sam Baker),0.740,-5.140
1,14:41,1,9,ATL 9,0,0,LaRod Stephens-Howling right guard for 6 yards (tackle by Thomas DeCoud),5.140,5.530
1,13:59,2,3,ATL 3,6,0,"LaRod Stephens-Howling right tackle for 3 yards, touchdown",5.530,7.000
1,13:59,,,ATL 2,7,0,Jay Feely kicks extra point good,0.000,0.000
1,13:54,,,ARI 35,7,0,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
1,13:54,1,10,ATL 20,7,0,Michael Turner right end for no gain (tackle by Darnell Dockett),0.280,-0.270
1,13:21,2,10,ATL 20,7,0,Matt Ryan pass incomplete short right intended for Michael Turner,-0.270,-0.960
1,13:17,3,10,ATL 20,7,0,Matt Ryan pass incomplete short middle intended for Tony Gonzalez,-0.960,-2.030
1,13:12,4,10,ATL 20,7,0,"Matt Bosher punts 47 yards, returned by Patrick Peterson for 22 yards (tackle by Josh Harris). Penalty on Reggie Walker: Illegal Block Above the Waist, 10 yards",-2.030,-0.940
1,12:59,1,10,ARI 30,7,0,LaRod Stephens-Howling right end for 40 yards (tackle by Robert McClain),0.940,3.580
1,12:29,1,10,ATL 30,7,0,William Powell right tackle for -1 yards (tackle by Akeem Dent),3.580,2.900
1,11:52,2,11,ATL 31,7,0,John Skelton pass complete short right to Michael Floyd for 1 yard (tackle by Robert McClain),2.900,2.340
1,11:08,3,10,ATL 30,7,0,John Skelton pass incomplete short right intended for Early Doucet,2.340,1.410
1,11:03,4,10,ATL 30,10,0,Jay Feely 48 yard field goal good,1.410,3.000
1,10:59,,,ARI 35,10,0,"Jay Feely kicks off 67 yards, returned by Jacquizz Rodgers for 23 yards (tackle by Stewart Bradley)",0.000,0.340
1,10:54,1,10,ATL 21,10,0,Matt Ryan pass complete short left to Tony Gonzalez for 12 yards (tackle by William Gay),0.340,1.140
1,10:27,1,10,ATL 33,10,0,Matt Ryan pass complete short left to Julio Jones for 8 yards (tackle by William Gay),1.140,1.670
1,9:45,2,2,ATL 41,10,0,Michael Turner right end for no gain (tackle by Daryl Washington),1.670,0.960
1,9:03,3,2,ATL 41,10,0,Matt Ryan pass complete short middle to Jacquizz Rodgers for 1 yard (tackle by Paris Lenon),0.960,-0.590
