Unnamed: 0,GNB,KAN
First Downs,19,20
Rush-Yds-TDs,27-78-0,22-61-1
Cmp-Att-Yd-TD-INT,24-34-360-2-2,19-32-213-2-2
Sacked-Yards,1-6,5-40
Net Pass Yards,354,173
Total Yards,432,234
Fumbles-Lost,2-0,0-0
Turnovers,2,2
Penalties-Yards,13-112,6-55
Third Down Conv.,6-14,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,32:07,27:53
