Quarter,Time,Tm,Detail,GNB,KAN
2.0,14:52,Packers,Mason Crosby 48 yard field goal,3,0
,1:19,Packers,Mason Crosby 36 yard field goal,6,0
,0:15,Chiefs,Larry Johnson 1 yard rush (Dave Rayner kick),6,7
3.0,0:11,Packers,Greg Jennings 13 yard pass from Brett Favre (Mason Crosby kick),13,7
4.0,11:11,Chiefs,Larry Johnson 30 yard pass from Damon Huard (Dave Rayner kick),13,14
,8:52,Packers,Mason Crosby 32 yard field goal,16,14
,5:18,Chiefs,Tony Gonzalez 17 yard pass from Damon Huard (two point pass successful),16,22
,3:05,Packers,Greg Jennings 60 yard pass from Brett Favre (Mason Crosby kick),23,22
,1:40,Packers,Mason Crosby 45 yard field goal,26,22
,0:59,Packers,Charles Woodson 46 yard interception return (Mason Crosby kick),33,22
