Quarter,Time,Down,ToGo,Location,GNB,KAN,Detail,EPB,EPA
2,,,,GNB 30,3,0,"Mason Crosby kicks off 72 yards, returned by Eddie Drummond for 31 yards (tackle by Mason Crosby)",0.000,0.870
2,14:45,1,10,KAN 29,3,0,Larry Johnson up the middle for 2 yards (tackle by Aaron Kampman),0.870,0.600
2,14:08,2,8,KAN 31,3,0,Larry Johnson right end for 2 yards (tackle by Charles Woodson),0.600,0.170
2,13:27,3,6,KAN 33,3,0,"Penalty on Chris Terry: False Start, 5 yards (no play)",0.170,-0.490
2,13:02,3,11,KAN 28,3,0,"Damon Huard pass complete short left to Tony Gonzalez for 8 yards (tackle by Charles Woodson). Penalty on Charles Woodson: Defensive Holding, 5 yards (no play)",-0.490,1.140
2,12:40,1,10,KAN 33,3,0,Damon Huard pass incomplete short left intended for Tony Gonzalez (defended by Nick Collins),1.140,0.590
2,12:33,2,10,KAN 33,3,0,"Larry Johnson right tackle for 5 yards (tackle by Nick Collins). Penalty on Kris Wilson: Illegal Block Above the Waist, 10 yards",0.590,-0.080
2,12:13,2,15,KAN 28,3,0,Priest Holmes left end for 2 yards (tackle by Johnny Jolly),-0.080,-0.490
2,11:33,3,13,KAN 30,3,0,Damon Huard pass incomplete short middle intended for Tony Gonzalez,-0.490,-1.370
2,11:27,4,13,KAN 30,3,0,"Dustin Colquitt punts 42 yards, returned by Charles Woodson for 1 yard (tackle by Jean-Phillipe Darche)",-1.370,-0.870
2,11:16,1,10,GNB 29,3,0,Ryan Grant up the middle for 2 yards (tackle by Jared Allen),0.870,0.600
2,10:33,2,8,GNB 31,3,0,"Brett Favre sacked by Tamba Hali and Jared Allen for 0 yards. Brett Favre fumbles (forced by Tamba Hali), recovered by Tony Moll at GNB-25",0.600,-0.890
2,9:46,3,14,GNB 25,3,0,Vernand Morency right end for 6 yards (tackle by Donnie Edwards),-0.890,-1.310
2,9:12,4,8,GNB 31,3,0,"Jon Ryan punts 59 yards, returned by Eddie Drummond for no gain. Penalty on KAN: Offensive Holding, 5 yards",-1.310,0.380
2,8:59,1,10,KAN 5,3,0,Damon Huard pass complete deep left to Tony Gonzalez for 25 yards (tackle by Atari Bigby),-0.380,0.940
2,8:17,1,10,KAN 30,3,0,Larry Johnson left tackle for 3 yards (tackle by Corey Williams),0.940,0.800
2,7:40,2,7,KAN 33,3,0,Damon Huard pass complete short right to Tony Gonzalez for 9 yards (tackle by Atari Bigby),0.800,1.730
2,7:01,1,10,KAN 42,3,0,Larry Johnson left end for 4 yards (tackle by Corey Williams),1.730,1.730
2,6:24,2,6,KAN 46,3,0,Damon Huard pass complete short right to Tony Gonzalez for 1 yard (tackle by Brady Poppinga),1.730,1.160
2,5:44,3,5,KAN 47,3,0,Damon Huard sacked by Corey Williams for -8 yards,1.160,-0.780
2,5:16,4,13,KAN 39,3,0,"Dustin Colquitt punts 45 yards, fair catch by Charles Woodson",-0.780,0.140
2,5:16,1,10,GNB 16,3,0,Brett Favre pass complete short right to Donald Driver for 12 yards (tackle by Patrick Surtain),-0.140,0.810
2,4:39,1,10,GNB 28,3,0,Ryan Grant right end for 4 yards (tackle by Alfonso Boone),0.810,0.800
2,4:11,2,6,GNB 32,3,0,"Ryan Grant right end for 1 yard. Penalty on Chad Clifton: Offensive Holding, 10 yards (no play)",0.800,-0.550
2,3:47,2,16,GNB 22,3,0,Brett Favre pass complete short right to Ryan Grant for 8 yards (tackle by Tyron Brackenridge),-0.550,-0.160
2,3:04,3,8,GNB 30,3,0,Brett Favre pass complete short middle to Donald Lee for 48 yards (tackle by Bernard Pollard),-0.160,4.110
2,2:32,1,10,KAN 22,3,0,Brett Favre pass incomplete intended for Vernand Morency,4.110,3.560
2,2:31,2,10,KAN 22,3,0,Ryan Grant right end for -3 yards (tackle by Derrick O. Johnson),3.560,2.480
2,2:00,3,13,KAN 25,3,0,Brett Favre pass complete short right to Koren Robinson for 7 yards (tackle by Greg Wesley),2.480,2.270
2,2:00,4,6,KAN 18,6,0,Mason Crosby 36 yard field goal good,2.270,3.000
2,,,,GNB 30,6,0,"Mason Crosby kicks off 71 yards, returned by Eddie Drummond for 23 yards (tackle by Tracy White)",0.000,0.410
2,1:16,1,10,KAN 22,6,0,Damon Huard pass complete short left to Larry Johnson for 3 yards,0.410,0.270
2,1:10,2,7,KAN 25,6,0,Damon Huard pass incomplete intended for Kris Wilson,0.270,-0.430
2,1:04,3,7,KAN 25,6,0,Damon Huard pass incomplete short left intended for Jeff Webb,-0.430,-1.700
2,0:58,4,7,KAN 25,6,0,"Dustin Colquitt punts 43 yards, returned by Charles Woodson for -2 yards (tackle by Bernard Pollard)",-1.700,-0.940
2,0:48,1,10,GNB 30,6,0,Brett Favre pass complete to James Jones for 8 yards (tackle by Donnie Edwards),0.940,1.470
2,0:40,,,,6,0,Timeout #1 by Green Bay Packers,0.000,1.470
2,0:37,2,2,GNB 38,6,0,"Brett Favre pass incomplete intended for Vernand Morency. Penalty on Vernand Morency: Delay of Game, 5 yards",1.470,0.100
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,0:35,3,7,GNB 33,6,0,Brett Favre pass incomplete short left intended for Koren Robinson is intercepted by Benny Sapp at GNB-45 and returned for 15 yards (tackle by Daryn Colledge),0.100,-3.580
2,0:25,1,10,GNB 30,6,0,"Damon Huard pass incomplete deep middle intended for Samie Parker. Penalty on Atari Bigby: Defensive Pass Interference, 29 yards (no play)",3.580,6.970
2,0:18,,,,6,0,Timeout #1 by Kansas City Chiefs,0.000,6.970
2,0:18,1,1,GNB 1,6,6,"Larry Johnson up the middle for 1 yard, touchdown",6.970,7.000
2,,,,GNB 2,6,7,Dave Rayner kicks extra point good,0.000,0.000
2,,,,KAN 30,6,7,"Dave Rayner kicks off 55 yards, returned by Koren Robinson for 10 yards (tackle by Jimmy Wilkerson)",0.000,0.610
2,0:07,1,10,GNB 25,6,7,Brett Favre kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,GNB,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,6,7,"Dave Rayner kicks off 70 yards, returned by Koren Robinson for 32 yards (tackle by Greg Wesley)",0.000,1.070
3,14:54,1,10,GNB 32,6,7,Ryan Grant left end for -1 yards (tackle by Alfonso Boone),1.070,0.390
3,14:17,2,11,GNB 31,6,7,Brett Favre pass complete short right to Ryan Krause for 5 yards (tackle by Derrick O. Johnson),0.390,0.370
3,13:38,3,6,GNB 36,6,7,Brett Favre pass complete short right to Donald Driver for 6 yards (tackle by Ty Law),0.370,1.730
3,13:08,1,10,GNB 42,6,7,Brett Favre pass incomplete short right intended for Koren Robinson,1.730,1.190
3,13:04,2,10,GNB 42,6,7,"Brett Favre pass incomplete short right intended for Donald Driver. Penalty on Mark Tauscher: Offensive Holding, 10 yards (no play)",1.190,-0.160
3,12:58,2,20,GNB 32,6,7,Ryan Grant up the middle for -2 yards (tackle by Alfonso Boone),-0.160,-1.090
3,12:17,3,22,GNB 30,6,7,Brandon Jackson right end for 11 yards (tackle by Ty Law),-1.090,-0.650
3,11:41,4,11,GNB 41,6,7,"Jon Ryan punts 56 yards, returned by Eddie Drummond for 14 yards (tackle by A.J. Hawk)",-0.650,0.060
3,11:27,1,10,KAN 17,6,7,Larry Johnson up the middle for 5 yards (tackle by Nick Barnett),-0.060,0.210
3,10:49,2,5,KAN 22,6,7,Damon Huard pass incomplete short middle intended for Priest Holmes,0.210,-0.620
3,10:45,3,5,KAN 22,6,7,Damon Huard pass complete short left to Samie Parker for 10 yards (tackle by Nick Collins),-0.620,1.070
3,10:26,1,10,KAN 32,6,7,Larry Johnson right end for -1 yards (tackle by Charles Woodson),1.070,0.390
3,9:49,2,11,KAN 31,6,7,Damon Huard pass complete short left to Samie Parker for 12 yards (tackle by Aaron Rouse),0.390,1.800
3,9:10,1,10,KAN 43,6,7,Larry Johnson up the middle for 2 yards (tackle by Aaron Kampman),1.800,1.520
3,8:32,2,8,KAN 45,6,7,Larry Johnson left end for no gain (tackle by Cullen Jenkins),1.520,0.830
3,7:50,3,8,KAN 45,6,7,Damon Huard pass incomplete deep left intended for Jeff Webb,0.830,-0.390
3,7:44,4,8,KAN 45,6,7,"Dustin Colquitt punts 44 yards, fair catch by Charles Woodson",-0.390,0.370
3,7:36,1,10,GNB 11,6,7,Ryan Grant right tackle for 5 yards (tackle by Napoleon Harris),-0.370,-0.300
3,6:54,2,5,GNB 16,6,7,Brett Favre pass complete deep middle to Donald Driver for 26 yards (tackle by Greg Wesley). Penalty on Derrick O. Johnson: Illegal Contact (Declined),-0.300,1.730
3,6:45,1,10,GNB 42,6,7,Brett Favre pass complete short left to Ryan Grant for 4 yards (tackle by Derrick O. Johnson),1.730,1.730
3,6:06,2,6,GNB 46,6,7,Brett Favre pass complete short right to James Jones for 12 yards (tackle by Napoleon Harris),1.730,2.790
3,5:21,1,10,KAN 42,6,7,Ryan Grant up the middle for 7 yards (tackle by Napoleon Harris),2.790,3.190
3,4:38,2,3,KAN 35,6,7,Ryan Grant left tackle for 1 yard (tackle by Turk McBride),3.190,2.610
3,4:07,3,2,KAN 34,6,7,Ryan Grant right tackle for no gain (tackle by Kendrell Bell),2.610,1.100
3,3:27,4,2,KAN 34,6,7,Mason Crosby 52 yard field goal no good,1.100,-1.730
3,3:22,1,10,KAN 42,6,7,"Samie Parker left end for 7 yards. Penalty on Tony Gonzalez: Offensive Holding, 10 yards (no play)",1.730,1.070
3,2:56,1,20,KAN 32,6,7,Larry Johnson up the middle for 1 yard (tackle by Mike Montgomery),1.070,-0.030
3,2:15,2,19,KAN 33,6,7,Damon Huard pass incomplete intended for Priest Holmes is intercepted by A.J. Hawk at KAN-40 and returned for 10 yards (tackle by Samie Parker),-0.030,-3.580
3,2:03,1,10,KAN 30,6,7,Brett Favre pass complete short right to Ryan Grant for 15 yards,3.580,4.580
3,1:34,1,10,KAN 15,6,7,"Brandon Jackson up the middle for 1 yard (tackle by Turk McBride). Penalty on Daryn Colledge: Offensive Holding, 10 yards (no play)",4.580,3.910
3,1:12,1,20,KAN 25,6,7,Ryan Grant right end for 12 yards (tackle by Bernard Pollard),3.910,4.280
3,0:24,,,,6,7,Timeout #1 by Green Bay Packers,0.000,4.280
3,0:24,2,8,KAN 13,6,7,Brett Favre pass incomplete short left intended for Donald Lee,4.280,3.400
3,0:19,3,8,KAN 13,12,7,"Brett Favre pass complete short middle to Greg Jennings for 13 yards, touchdown",3.400,7.000
3,,,,KAN 2,13,7,Mason Crosby kicks extra point good,0.000,0.000
3,,,,GNB 30,13,7,"Mason Crosby kicks off 65 yards, returned by Eddie Drummond for 21 yards (tackle by Mike Montgomery)",0.000,0.670
3,0:06,1,10,KAN 26,13,7,Damon Huard pass complete short middle to Tony Gonzalez for 17 yards (tackle by Aaron Rouse),0.670,1.800
Quarter,Time,Down,ToGo,Location,GNB,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 43,13,7,Larry Johnson right end for no gain (tackle by Aaron Kampman),1.800,1.250
4,14:28,2,10,KAN 43,13,7,Larry Johnson up the middle for 4 yards (tackle by Ryan Pickett),1.250,1.090
4,13:45,3,6,KAN 47,13,7,Damon Huard pass complete short right to Tony Gonzalez for 9 yards (tackle by Charles Woodson). Penalty on Charles Woodson: Illegal Contact (Declined),1.090,2.650
4,13:15,1,10,GNB 44,13,7,Damon Huard pass complete short right to Tony Gonzalez for 9 yards (tackle by Atari Bigby),2.650,3.330
4,12:37,2,1,GNB 35,13,7,Damon Huard pass incomplete short left intended for Samie Parker (defended by Ryan Pickett),3.330,2.610
4,12:34,3,1,GNB 35,13,7,Larry Johnson up the middle for 2 yards (tackle by Ryan Pickett),2.610,3.380
4,11:58,1,10,GNB 33,13,7,Larry Johnson up the middle for 3 yards (tackle by Ryan Pickett),3.380,3.240
4,11:21,2,7,GNB 30,13,13,"Damon Huard pass complete short left to Larry Johnson for 30 yards, touchdown",3.240,7.000
4,,,,GNB 2,13,14,Dave Rayner kicks extra point good,0.000,0.000
4,,,,KAN 30,13,14,Dave Rayner kicks off 68 yards,0.000,1.600
4,11:11,1,10,GNB 40,13,14,Brett Favre pass complete deep right to Donald Driver for 44 yards (tackle by Ty Law),1.600,4.510
4,10:27,1,10,KAN 16,13,14,Ryan Grant up the middle for 3 yards (tackle by Tamba Hali),4.510,4.390
4,9:48,2,7,KAN 13,13,14,Ryan Grant up the middle for -1 yards (tackle by Derrick O. Johnson),4.390,3.370
4,9:00,,,,13,14,Timeout #2 by Green Bay Packers,0.000,3.370
4,9:00,3,8,KAN 14,13,14,Brett Favre pass incomplete short right intended for Vernand Morency,3.370,2.510
4,8:55,4,8,KAN 14,16,14,Mason Crosby 32 yard field goal good,2.510,3.000
4,,,,GNB 30,16,14,"Mason Crosby kicks off 68 yards, returned by Eddie Drummond for 16 yards (tackle by Vernand Morency)",0.000,0.040
4,8:46,1,10,KAN 18,16,14,Larry Johnson up the middle for 10 yards (tackle by A.J. Hawk),0.040,0.810
4,8:09,1,10,KAN 28,16,14,Damon Huard pass complete short middle to Larry Johnson for 9 yards (tackle by A.J. Hawk),0.810,1.480
4,7:46,2,1,KAN 37,16,14,Priest Holmes right end for 3 yards (tackle by Aaron Rouse),1.480,1.600
4,7:10,1,10,KAN 40,16,14,Priest Holmes left end for 3 yards (tackle by Al Harris),1.600,1.460
4,6:29,2,7,KAN 43,16,14,Damon Huard pass complete short left to Tony Gonzalez for 10 yards (tackle by Al Harris),1.460,2.460
4,5:59,1,10,GNB 47,16,14,"Priest Holmes up the middle for 7 yards (tackle by Kabeer Gbaja-Biamila). Penalty on Kabeer Gbaja-Biamila: Defensive Offside, 5 yards (no play)",2.460,3.190
4,5:28,1,5,GNB 42,16,14,"Damon Huard pass incomplete deep middle intended for Samie Parker (defended by Charles Woodson). Penalty on Charles Woodson: Defensive Pass Interference, 25 yards (no play)",3.190,4.440
4,5:23,1,10,GNB 17,16,20,"Damon Huard pass complete deep left to Tony Gonzalez for 17 yards, touchdown",4.440,7.000
4,,,,,16,20,"Two Point Attempt: Damon Huard pass incomplete intended for Dwayne Bowe, conversion fails. Penalty on Jarrett Bush: Defensive Pass Interference, 1 yards (no play)",1.000,1.000
4,,,,,16,20,"Two Point Attempt: Priest Holmes up the middle, conversion fails. Penalty on GNB: Defensive 12 On-field (no play)",1.000,1.000
4,,,,,16,22,"Two Point Attempt: Priest Holmes up the middle, conversion succeeds",1.000,1.000
4,,,,KAN 30,16,22,"Dave Rayner kicks off 70 yards, returned by Koren Robinson for 18 yards (tackle by Dimitri Patterson)",0.000,0.040
4,5:10,1,10,GNB 18,16,22,Brett Favre pass complete short left to Donald Driver for 11 yards (tackle by Donnie Edwards),0.040,0.870
4,4:31,1,10,GNB 29,16,22,Brett Favre pass complete short left to Koren Robinson for 11 yards (tackle by Patrick Surtain),0.870,1.600
4,3:52,1,10,GNB 40,16,22,Brett Favre pass complete short left to Koren Robinson for no gain,1.600,1.050
4,3:13,2,10,GNB 40,22,22,"Brett Favre pass complete deep middle to Greg Jennings for 60 yards, touchdown",1.050,7.000
4,,,,KAN 2,23,22,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 30,23,22,"Mason Crosby kicks off 70 yards, returned by Eddie Drummond for 22 yards (tackle by Frank Walker)",0.000,0.410
4,2:58,1,10,KAN 22,23,22,Damon Huard pass incomplete deep left intended for Jeff Webb,0.410,-0.130
,,,,,,,"GNB challenged the pass completion ruling, and the original play was overturned.",,
4,2:52,2,10,KAN 22,23,22,Damon Huard sacked by Kabeer Gbaja-Biamila for -7 yards,-0.130,-2.050
4,2:18,3,17,KAN 15,23,22,Damon Huard pass incomplete short right intended for Samie Parker,-2.050,-2.440
4,2:14,4,17,KAN 15,23,22,"Dustin Colquitt punts 43 yards, returned by Charles Woodson for 27 yards (tackle by Kris Wilson)",-2.440,-3.510
4,1:59,1,10,KAN 31,23,22,Brandon Jackson right tackle for 4 yards (tackle by Jared Allen),3.510,3.510
4,1:53,,,,23,22,Timeout #1 by Kansas City Chiefs,0.000,3.510
4,1:53,2,6,KAN 27,23,22,"Penalty on Daryn Colledge: False Start, 5 yards (no play)",3.510,2.830
4,1:53,2,11,KAN 32,23,22,Brandon Jackson up the middle for 1 yard (tackle by Donnie Edwards),2.830,2.280
4,1:49,,,,23,22,Timeout #2 by Kansas City Chiefs,0.000,2.280
4,1:49,3,10,KAN 31,23,22,Brandon Jackson up the middle for 4 yards (tackle by Napoleon Harris),2.280,1.700
4,1:44,,,,23,22,Timeout #3 by Kansas City Chiefs,0.000,1.700
4,1:44,4,6,KAN 27,26,22,Mason Crosby 45 yard field goal good,1.700,3.000
4,,,,GNB 30,26,22,"Mason Crosby kicks off 42 yards, returned by Turk McBride for 6 yards (tackle by Mike Montgomery)",0.000,1.200
4,1:35,1,10,KAN 34,26,22,Damon Huard pass complete short middle to Priest Holmes for 8 yards (tackle by Nick Barnett),1.200,1.740
4,1:15,2,2,KAN 42,26,22,Damon Huard pass incomplete deep right intended for Tony Gonzalez (defended by A.J. Hawk),1.740,1.030
4,1:10,3,2,KAN 42,32,22,"Damon Huard pass incomplete intended for Priest Holmes is intercepted by Charles Woodson at KAN-46 and returned for 46 yards, touchdown",1.030,-7.000
4,,,,KAN 2,33,22,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 30,33,22,"Mason Crosby kicks off 60 yards, returned by Benny Sapp for 18 yards (tackle by Tracy White). Penalty on Dimitri Patterson: Illegal Block Above the Waist, 10 yards",0.000,-0.370
4,0:53,1,10,KAN 11,33,22,Damon Huard pass complete to Kris Wilson for 6 yards (tackle by A.J. Hawk),-0.370,-0.160
4,0:34,2,4,KAN 17,33,22,Damon Huard pass complete short middle to Priest Holmes for 4 yards (tackle by Nick Barnett). Penalty on Charles Woodson: Defensive Holding (no play),-0.160,-0.060
4,0:34,1,10,KAN 17,33,22,Damon Huard pass complete to Jeff Webb for 13 yards,-0.060,0.940
4,0:20,1,10,KAN 30,33,22,Damon Huard pass complete to Jeff Webb for 13 yards,0.940,1.800
4,0:14,1,10,KAN 43,33,22,Damon Huard sacked by Kabeer Gbaja-Biamila for -16 yards,1.800,-0.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
