Unnamed: 0,OAK,PIT
First Downs,24,27
Rush-Yds-TDs,25-139-1,30-195-2
Cmp-Att-Yd-TD-INT,24-44-301-4-1,28-50-413-2-1
Sacked-Yards,0-0,1-11
Net Pass Yards,301,402
Total Yards,440,597
Fumbles-Lost,5-3,1-1
Turnovers,4,2
Penalties-Yards,3-21,5-42
Third Down Conv.,6-14,6-17
Fourth Down Conv.,0-0,1-2
Time of Possession,27:56,32:04
