Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Saquon Barkley,NYG,18,164,1,7,46,2.6,118,6.6,0,
Daniel Jones,NYG,6,25,0,2,25,4.2,0,0.0,0,
Matt Breida,NYG,5,24,0,1,14,2.8,10,2.0,0,
Kadarius Toney,NYG,2,23,0,1,10,5.0,13,6.5,0,
Richie James,NYG,1,2,0,0,2,2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry,TEN,21,82,0,1,36,1.7,46,2.2,2,10.5
Dontrell Hilliard,TEN,2,8,0,0,8,4.0,0,0.0,0,
Ryan Tannehill,TEN,2,7,0,1,7,3.5,0,0.0,0,
Chigoziem Okonkwo,TEN,1,-4,0,0,-4,-4.0,0,0.0,0,
