Unnamed: 0,SEA,SDG
First Downs,34,24
Rush-Yds-TDs,34-163-2,20-88-0
Cmp-Att-Yd-TD-INT,36-53-449-2-2,28-50-352-3-1
Sacked-Yards,3-21,3-26
Net Pass Yards,428,326
Total Yards,591,414
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,7-58,5-22
Third Down Conv.,8-16,6-15
Fourth Down Conv.,1-2,0-1
Time of Possession,39:50,30:08
