Unnamed: 0,ARI,CHI
First Downs,16,22
Rush-Yds-TDs,20-93-0,39-250-2
Cmp-Att-Yd-TD-INT,24-38-230-2-0,15-27-170-1-1
Sacked-Yards,2-17,1-0
Net Pass Yards,213,170
Total Yards,306,420
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,2-8,5-35
Third Down Conv.,7-16,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,25:28,34:32
