Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
2,7:57,2,5,ARI 5,0,14,Roschon Johnson left guard for 4 yards (tackle by Kevin Strong and Budda Baker),5.150,5.170
2,7:19,3,1,ARI 1,0,20,"Justin Fields pass complete short right to Marcedes Lewis for 1 yard, touchdown",5.170,7.000
2,7:12,,,ARI 15,0,21,Cairo Santos kicks extra point good,0.000,0.000
2,7:12,,,CHI 35,0,21,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,7:12,1,10,ARI 25,0,21,Kyler Murray pass complete short middle to Elijah Higgins for 12 yards (tackle by Tremaine Edmunds),0.610,1.400
2,6:36,1,10,ARI 37,0,21,Kyler Murray left end for 12 yards (tackle by Eddie Jackson),1.400,2.190
2,6:00,1,10,ARI 49,0,21,Kyler Murray pass incomplete short middle intended for Trey McBride,2.190,1.650
2,5:56,2,10,ARI 49,0,21,James Conner left end for 4 yards (tackle by Terell Smith),1.650,1.490
2,5:20,3,6,CHI 47,0,21,Kyler Murray pass complete short middle to Rondale Moore for 8 yards (tackle by Tremaine Edmunds and Jaquan Brisker),1.490,2.980
2,4:40,1,10,CHI 39,0,21,James Conner right tackle for 16 yards (tackle by Jaylon Johnson),2.980,4.040
2,3:56,1,10,CHI 23,0,21,James Conner left end for 1 yard (tackle by Tremaine Edmunds),4.040,3.630
2,3:24,2,9,CHI 22,0,21,Rondale Moore right end for 6 yards (tackle by Jaquan Brisker and Andrew Billings),3.630,3.850
2,2:33,3,3,CHI 16,6,21,"Kyler Murray pass complete short left to James Conner for 16 yards, touchdown",3.850,7.000
2,2:27,,,CHI 15,7,21,Matt Prater kicks extra point good,0.000,0.000
2,2:27,,,ARI 35,7,21,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,2:27,1,10,CHI 25,7,21,Justin Fields pass incomplete short left intended for Darnell Mooney (defended by Jalen Thompson),0.610,0.060
2,2:22,2,10,CHI 25,7,21,Justin Fields pass incomplete deep left intended for D.J. Moore (defended by Antonio Hamilton),0.060,-0.620
2,2:14,3,10,CHI 25,7,21,Justin Fields pass complete short left to Roschon Johnson for 6 yards (tackle by Dennis Gardeck),-0.620,-1.310
2,2:00,4,4,CHI 31,7,21,"Trenton Gill punts downed by Jaylon Jones. Penalty on Jaylon Jones: Illegal Touch Kick, 5 yards (accepted) (no play)",-1.310,-1.630
2,1:49,4,9,CHI 26,7,21,Trenton Gill punts 40 yards downed by DeMarquis Gates,-1.630,-1.200
2,1:38,1,10,ARI 34,7,21,Kyler Murray pass complete short middle to Trey McBride for 4 yards (tackle by T.J. Edwards),1.200,1.200
2,1:20,2,6,ARI 38,7,21,Kyler Murray pass complete short right to Emari Demercado for 3 yards (tackle by Tyrique Stevenson),1.200,0.890
2,1:14,3,3,ARI 41,7,21,"Kyler Murray aborted snap, recovered by Kyler Murray at ARI-33 and returned for -8 yards",0.890,-1.180
2,1:08,4,11,ARI 33,7,21,"Blake Gillikin punts 54 yards, returned by Trent Taylor for 11 yards (tackle by Joey Blount and Dan Chisena)",-1.180,-0.540
2,0:59,1,10,CHI 24,7,21,Justin Fields pass incomplete short right,0.540,0.000
2,0:54,2,10,CHI 24,7,21,"Justin Fields pass complete short right to Roschon Johnson for no gain (tackle by Zaven Collins and Starling Thomas). Penalty on Braxton Jones: Offensive Holding, 10 yards (accepted) (no play)",0.000,-1.470
2,0:46,2,20,CHI 14,7,21,Justin Fields pass complete short middle to Roschon Johnson for 10 yards (tackle by Krys Barnes),-1.470,-0.690
2,0:35,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:35,3,10,CHI 24,7,21,"Justin Fields pass incomplete short left intended for D.J. Moore. Penalty on Nate Davis: Offensive Holding, 10 yards (declined)",-0.690,-1.770
2,0:27,4,10,CHI 24,7,21,"Trenton Gill punts 76 yards, touchback.",-1.770,-0.280
2,0:17,1,10,ARI 20,7,21,Kyler Murray pass complete deep left to Rondale Moore for 22 yards (tackle by Jaquan Brisker),0.280,1.730
2,0:09,,,,,,Timeout #1 by Chicago Bears,,
2,0:09,1,10,ARI 42,7,21,Kyler Murray pass incomplete deep left intended for Michael Wilson,1.730,1.190
2,0:04,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:04,2,10,ARI 42,7,21,Kyler Murray pass complete short left to Greg Dortch for 7 yards (tackle by Tyrique Stevenson),1.190,1.420
Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,7,21,"Cairo Santos kicks off 62 yards, returned by Greg Dortch for 40 yards (tackle by Elijah Hicks)",0.000,1.800
3,14:50,1,10,ARI 43,7,21,Kyler Murray pass complete short left to James Conner for 18 yards (tackle by Jaquan Brisker),1.800,2.980
3,14:08,1,10,CHI 39,7,21,James Conner left end for -2 yards (tackle by DeMarcus Walker),2.980,2.170
3,13:42,2,12,CHI 41,7,21,Kyler Murray pass complete short right to Trey McBride for 2 yards (tackle by Kyler Gordon),2.170,1.750
3,13:05,3,10,CHI 39,7,21,Kyler Murray pass complete short left to Emari Demercado for 2 yards (tackle by Kyler Gordon),1.750,0.790
3,12:17,4,8,CHI 37,10,21,Matt Prater 55 yard field goal good,0.790,3.000
3,12:12,,,ARI 35,10,21,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,12:12,1,10,CHI 25,10,21,Khalil Herbert left guard for 5 yards (tackle by Budda Baker),0.610,0.740
3,11:39,2,5,CHI 30,10,21,Khalil Herbert right tackle for 3 yards (tackle by Kevin Strong),0.740,0.430
3,11:01,3,2,CHI 33,10,21,Justin Fields right end for 11 yards (tackle by Krys Barnes),0.430,1.860
3,10:24,1,10,CHI 44,10,21,"Justin Fields scrambles left end for no gain (tackle by Krys Barnes). Penalty on Lucas Patrick: Offensive Holding, 10 yards (accepted) (no play)",1.860,1.200
3,9:48,1,20,CHI 34,10,21,Velus Jones left end for 4 yards (tackle by Andre Chachere and Antonio Hamilton),1.200,0.510
3,9:08,2,16,CHI 38,10,21,Justin Fields pass incomplete short right intended for Darnell Mooney (defended by Antonio Hamilton),0.510,-0.160
3,9:02,3,16,CHI 38,10,21,Justin Fields pass incomplete short right intended for D.J. Moore (defended by Andre Chachere),-0.160,-0.850
3,8:58,4,16,CHI 38,10,21,"Trenton Gill punts 43 yards, returned by Greg Dortch for 4 yards (tackle by Jaylon Jones)",-0.850,-0.480
3,8:48,1,10,ARI 23,10,21,James Conner left guard for no gain (tackle by Andrew Billings),0.480,-0.070
3,8:04,2,10,ARI 23,10,21,James Conner right tackle for no gain (tackle by Kyler Gordon),-0.070,-0.760
3,7:28,3,10,ARI 23,10,21,Kyler Murray pass complete short right to Emari Demercado for no gain (tackle by Tyrique Stevenson and T.J. Edwards),-0.760,-1.830
3,6:47,4,10,ARI 23,10,21,"Blake Gillikin punts 77 yards, touchback.",-1.830,-0.280
3,6:39,1,10,CHI 20,10,21,Khalil Herbert left guard for 1 yard (tackle by Krys Barnes),0.280,-0.130
3,6:00,2,9,CHI 21,10,21,Justin Fields pass complete short middle to Khalil Herbert for 9 yards (tackle by Starling Thomas),-0.130,0.940
3,5:23,1,10,CHI 30,10,21,Khalil Herbert right end for 8 yards (tackle by Antonio Hamilton and Naquan Jones),0.940,1.470
3,4:50,2,2,CHI 38,10,21,Khalil Herbert left guard for 3 yards (tackle by Budda Baker and Dante Stills),1.470,1.660
3,4:10,1,10,CHI 41,10,21,Justin Fields right end for 10 yards (tackle by Budda Baker),1.660,2.320
3,3:23,1,10,ARI 49,10,21,Justin Fields pass complete short left to Robert Tonyan for 14 yards (tackle by Antonio Hamilton),2.320,3.250
3,2:37,1,10,ARI 35,10,21,Khalil Herbert right guard for 4 yards (tackle by Roy Lopez and Krys Barnes),3.250,3.240
3,1:58,2,6,ARI 31,10,21,Justin Fields pass incomplete short right,3.240,2.540
3,1:51,3,6,ARI 31,10,21,Justin Fields pass complete short left to Roschon Johnson for no gain (tackle by BJ Ojulari),2.540,1.340
3,1:08,4,6,ARI 31,10,24,Cairo Santos 49 yard field goal good,1.340,3.000
3,1:04,,,CHI 35,10,24,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,1:04,1,10,ARI 25,10,24,Kyler Murray sacked by Kyler Gordon for -8 yards,0.610,-1.150
3,0:22,2,18,ARI 17,10,24,Kyler Murray pass incomplete deep right intended for Greg Dortch (defended by Jaquan Brisker),-1.150,-1.930
3,0:16,3,18,ARI 17,10,24,Kyler Murray pass complete short middle to Trey McBride for 9 yards (tackle by Eddie Jackson),-1.930,-1.630
Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,9,ARI 26,10,24,"Blake Gillikin punts 54 yards, fair catch by Trent Taylor at CHI-20",-1.630,-0.280
4,14:53,1,10,CHI 20,10,24,Roschon Johnson left end for 10 yards (tackle by Andre Chachere),0.280,0.940
4,14:34,1,10,CHI 30,10,24,Justin Fields pass incomplete deep left intended for Velus Jones,0.940,0.390
4,14:23,2,10,CHI 30,10,24,Roschon Johnson left end for 5 yards (tackle by Dante Stills and Kevin Strong),0.390,0.370
4,13:45,3,5,CHI 35,10,24,Khalil Herbert left guard for 12 yards (tackle by Owen Pappoe),0.370,2.060
4,13:02,1,10,CHI 47,10,24,Justin Fields left end for 4 yards (tackle by Starling Thomas),2.060,2.060
4,12:21,2,6,ARI 49,10,24,Justin Fields scrambles left end for 1 yard (tackle by Starling Thomas),2.060,1.490
4,11:22,,,,,,Timeout #1 by Chicago Bears,,
4,11:22,3,5,ARI 48,10,24,"Penalty on Nate Davis: False Start, 5 yards (accepted) (no play)",1.490,0.830
4,11:22,3,10,CHI 47,10,24,Justin Fields scrambles right end for 39 yards (tackle by Budda Baker),0.830,4.650
4,10:33,1,10,ARI 14,10,24,Justin Fields pass deep left intended for Khalil Herbert is intercepted by Jalen Thompson in end zone and returned for no gain,4.650,-0.280
4,10:22,1,10,ARI 20,10,24,James Conner left tackle for 4 yards (tackle by DeMarcus Walker),0.280,0.270
4,9:55,2,6,ARI 24,10,24,Kyler Murray pass complete short middle to James Conner for 20 yards (tackle by T.J. Edwards),0.270,1.860
4,9:35,1,10,ARI 44,10,24,James Conner right end for -1 yards (tackle by Jaquan Brisker),1.860,1.180
4,8:57,2,11,ARI 43,10,24,Kyler Murray pass complete short left to James Conner for 6 yards (tackle by Jaylon Johnson),1.180,1.290
4,8:19,3,5,ARI 49,10,24,Kyler Murray scrambles left end for 3 yards (tackle by T.J. Edwards),1.290,0.070
4,7:37,4,2,CHI 48,10,24,"Kyler Murray pass incomplete short middle intended for Trey McBride. Penalty on Jaquan Brisker: Defensive Holding, 5 yards (accepted) (no play)",0.070,2.720
4,7:32,1,10,CHI 43,10,24,Kyler Murray pass complete short middle to Trey McBride for 5 yards (tackle by T.J. Edwards),2.720,2.850
4,6:56,2,5,CHI 38,10,24,Kyler Murray pass incomplete deep left intended for Michael Wilson (defended by Terell Smith),2.850,2.150
4,6:48,3,5,CHI 38,16,24,"Kyler Murray pass complete short right to Greg Dortch for 38 yards, touchdown",2.150,7.000
4,6:37,,,CHI 2,16,24,Two Point Attempt: Kyler Murray pass incomplete intended for Rondale Moore,1.000,-1.000
4,6:37,,,ARI 35,16,24,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
4,6:37,1,10,CHI 25,16,24,Khalil Herbert right end for 4 yards (tackle by Cameron Thomas),0.610,0.600
4,5:58,2,6,CHI 29,16,24,Justin Fields pass complete short right to D.J. Moore for 5 yards (tackle by Zaven Collins and Starling Thomas),0.600,0.560
4,5:20,3,1,CHI 34,16,24,Roschon Johnson right guard for no gain (tackle by Jalen Thompson and Naquan Jones),0.560,-1.110
4,4:35,4,1,CHI 34,16,24,Trenton Gill punts 57 yards downed by Travis Homer,-1.110,0.380
4,4:21,1,10,ARI 9,16,24,Kyler Murray pass complete short middle to James Conner for 7 yards (tackle by Justin Jones),-0.380,-0.160
4,3:56,2,3,ARI 16,16,24,Kyler Murray pass incomplete short left intended for Greg Dortch,-0.160,-0.600
4,3:52,3,3,ARI 16,16,24,Emari Demercado right end for 7 yards (tackle by Tremaine Edmunds),-0.600,0.480
4,3:34,1,10,ARI 23,16,24,Kyler Murray pass complete short middle to Emari Demercado for 4 yards (tackle by T.J. Edwards),0.480,0.470
4,3:13,2,6,ARI 27,16,24,Kyler Murray pass incomplete short middle intended for Emari Demercado,0.470,-0.230
4,3:07,3,6,ARI 27,16,24,Kyler Murray pass incomplete short right intended for Michael Wilson (defended by Terell Smith),-0.230,-1.570
4,3:03,4,6,ARI 27,16,24,Kyler Murray pass incomplete deep right intended for Greg Dortch,-1.570,-3.780
4,2:57,1,10,ARI 27,16,24,Khalil Herbert left end for 5 yards (tackle by Zaven Collins),3.780,3.910
4,2:51,,,,,,Timeout #1 by Arizona Cardinals,,
4,2:51,2,5,ARI 22,16,24,Khalil Herbert right tackle for 1 yard (tackle by Kevin Strong and Owen Pappoe),3.910,3.340
4,2:08,3,4,ARI 21,16,24,Justin Fields pass complete short right to D.J. Moore for 7 yards (tackle by Starling Thomas),3.340,4.650
4,2:00,1,10,ARI 14,16,24,Roschon Johnson left end for -1 yards (tackle by Roy Lopez),4.650,3.850
4,1:55,,,,,,Timeout #2 by Arizona Cardinals,,
4,1:55,2,11,ARI 15,16,24,Khalil Herbert right tackle for 1 yard (tackle by Roy Lopez),3.850,3.110
4,1:50,,,,,,Timeout #3 by Arizona Cardinals,,
4,1:50,3,10,ARI 14,16,24,Khalil Herbert left guard for 3 yards (tackle by Cameron Thomas),3.110,2.700
4,1:05,,,,,,Timeout #2 by Chicago Bears,,
4,1:05,4,7,ARI 11,16,27,Cairo Santos 29 yard field goal good,2.700,3.000
4,1:02,,,CHI 35,16,27,"Cairo Santos kicks off 63 yards, returned by Greg Dortch for 29 yards (tackle by Roschon Johnson and Elijah Hicks)",0.000,1.000
4,0:55,1,10,ARI 31,16,27,Kyler Murray scrambles right tackle for 11 yards (tackle by Jaquan Brisker),1.000,1.730
4,0:35,1,10,ARI 42,16,27,Kyler Murray pass complete short middle to Emari Demercado for 11 yards (tackle by Tremaine Edmunds and Kyler Gordon),1.730,2.460
4,0:17,1,10,CHI 47,16,27,Kyler Murray spiked the ball,2.460,1.910
4,0:16,2,10,CHI 47,16,27,Kyler Murray pass complete short right to Trey McBride for 1 yard (tackle by Terell Smith),1.910,1.350
4,0:01,3,9,CHI 46,16,27,Kyler Murray pass complete short left to Emari Demercado for 22 yards (tackle by Tremaine Edmunds),1.350,1.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
