Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Emari Demercado,ARI,8,7,40,0,2,-2,-0.3,42,6.0,0.1,0,,0,0.0,0,87.5
Trey McBride,ARI,8,6,31,0,1,19,3.2,12,2.0,5.0,0,,1,12.5,0,80.7
James Conner,ARI,5,5,67,1,3,-4,-0.8,71,14.2,-0.8,3,1.7,0,0.0,0,158.3
Greg Dortch,ARI,5,2,45,1,1,6,3.0,39,19.5,12.2,0,,0,0.0,0,112.5
Elijah Higgins,ARI,3,2,17,0,1,6,3.0,11,5.5,0.3,0,,0,0.0,0,81.2
Rondale Moore,ARI,3,2,30,0,2,26,13.0,4,2.0,16.0,0,,0,0.0,0,99.3
Michael Carter,ARI,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
Michael Wilson,ARI,4,0,0,0,,0,,0,,17.8,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Cole Kmet,CHI,5,4,107,0,3,101,25.3,6,1.5,20.8,0,,0,0.0,0,118.7
Roschon Johnson,CHI,3,3,16,0,0,-2,-0.7,18,6.0,-0.7,1,3.0,0,0.0,0,88.9
D.J. Moore,CHI,6,3,18,0,1,15,5.0,3,1.0,11.2,0,,1,16.7,0,56.2
Darnell Mooney,CHI,4,2,5,0,1,4,2.0,1,0.5,3.8,0,,0,0.0,0,56.2
Khalil Herbert,CHI,2,1,9,0,1,2,2.0,7,7.0,9.0,0,,0,0.0,1,22.9
Marcedes Lewis,CHI,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
Robert Tonyan,CHI,1,1,14,0,1,14,14.0,0,0.0,14.0,0,,0,0.0,0,118.7
Velus Jones Jr.,CHI,1,0,0,0,,0,,0,,45.0,0,,0,0.0,0,39.6
