Quarter,Time,Tm,Detail,KAN,IND
1.0,10:20,Chiefs,Cairo Santos 33 yard field goal,3,0
2.0,12:58,Chiefs,Travis Kelce 14 yard pass from Nick Foles (Cairo Santos kick),10,0
,10:07,Colts,Frank Gore 18 yard pass from Andrew Luck (Adam Vinatieri kick),10,7
,0:19,Chiefs,Jeremy Maclin 13 yard pass from Alex Smith (Cairo Santos kick),17,7
3.0,7:34,Chiefs,Tyreek Hill 34 yard pass from Nick Foles (Cairo Santos kick),24,7
,2:05,Colts,Donte Moncrief 3 yard pass from Andrew Luck (Adam Vinatieri kick),24,14
4.0,8:00,Chiefs,Cairo Santos 22 yard field goal,27,14
,3:35,Chiefs,Cairo Santos 44 yard field goal,30,14
