Unnamed: 0,MIN,PIT
First Downs,21,14
Rush-Yds-TDs,23-89-1,19-107-0
Cmp-Att-Yd-TD-INT,33-50-334-0-1,14-26-175-1-0
Sacked-Yards,4-37,4-23
Net Pass Yards,297,152
Total Yards,386,259
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,11-78,3-15
Third Down Conv.,9-18,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,36:58,23:02
