Quarter,Time,Tm,Detail,MIN,PIT
1.0,0:04,Steelers,Jeff Reed 39 yard field goal,0,3
2.0,5:12,Vikings,Adrian Peterson 2 yard rush (Ryan Longwell kick),7,3
,0:24,Steelers,Mike Wallace 40 yard pass from Ben Roethlisberger (Jeff Reed kick),7,10
3.0,11:05,Steelers,Jeff Reed 27 yard field goal,7,13
,4:44,Vikings,Ryan Longwell 18 yard field goal,10,13
4.0,6:23,Steelers,LaMarr Woodley 77 yard defensive fumble return (Jeff Reed kick),10,20
,6:09,Vikings,Percy Harvin 88 yard kickoff return (Ryan Longwell kick),17,20
,1:00,Steelers,Keyaron Fox 82 yard interception return (Jeff Reed kick),17,27
