Quarter,Time,Down,ToGo,Location,MIN,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 65 yards, returned by Percy Harvin for 23 yards (tackle by Patrick Bailey)",0.000,0.810
1,14:54,1,10,MIN 28,0,0,Brett Favre pass complete short left to Sidney Rice for 8 yards (tackle by Ike Taylor). Penalty on Casey Hampton: Defensive Offside (Declined),0.810,1.340
1,14:32,2,2,MIN 36,0,0,Adrian Peterson right end for -1 yards (tackle by James Harrison),1.340,0.500
1,13:49,3,3,MIN 35,0,0,Brett Favre pass incomplete short middle intended for Percy Harvin (defended by Troy Polamalu),0.500,-1.040
1,13:44,4,3,MIN 35,0,0,"Chris Kluwe punts 44 yards, returned by Stefan Logan for 5 yards (tackle by Heath Farwell)",-1.040,-0.670
1,13:32,1,10,PIT 26,0,0,Rashard Mendenhall right tackle for 14 yards (tackle by Madieu Williams),0.670,1.600
1,12:49,1,10,PIT 40,0,0,Ben Roethlisberger sacked by Ben Leber for -8 yards,1.600,-0.030
1,12:14,2,18,PIT 32,0,0,Ben Roethlisberger pass complete short right to Heath Miller for 6 yards (tackle by Chad Greenway),-0.030,0.100
1,11:32,3,12,PIT 38,0,0,Ben Roethlisberger pass incomplete short left intended for Santonio Holmes,0.100,-0.850
1,11:20,4,12,PIT 38,0,0,"Daniel Sepulveda punts 44 yards, returned by Jaymar Johnson for no gain",-0.850,-0.040
1,11:12,1,10,MIN 18,0,0,Brett Favre sacked by James Farrior for -8 yards,0.040,-1.360
1,10:40,2,18,MIN 10,0,0,Chester Taylor left guard for 4 yards (tackle by William Gay and Lawrence Timmons),-1.360,-1.820
1,9:58,3,14,MIN 14,0,0,Brett Favre pass incomplete deep left intended for Percy Harvin,-1.820,-2.470
1,9:52,4,14,MIN 14,0,0,"Chris Kluwe punts 35 yards, fair catch by Stefan Logan",-2.470,-2.320
1,9:45,1,10,MIN 49,0,0,Ben Roethlisberger pass complete short right to Rashard Mendenhall for -1 yards (tackle by Pat Williams and Ray Edwards),2.320,1.650
1,9:05,2,11,,0,0,Rashard Mendenhall left guard for 3 yards (tackle by Pat Williams),1.650,1.360
1,8:23,3,8,MIN 47,0,0,Ben Roethlisberger pass incomplete short middle intended for Mewelde Moore (defended by Kevin Williams),1.360,0.130
1,8:17,4,8,MIN 47,0,0,"Daniel Sepulveda punts 30 yards, fair catch by Jaymar Johnson",0.130,0.060
1,8:10,1,10,MIN 17,0,0,"Penalty on Visanthe Shiancoe: False Start, 5 yards (no play)",-0.060,-0.510
1,8:10,1,15,MIN 12,0,0,Adrian Peterson middle for 3 yards (tackle by Travis Kirschke and Ryan Clark),-0.510,-0.850
1,7:36,2,12,MIN 15,0,0,Brett Favre pass complete short left to Greg Lewis for 7 yards (tackle by William Gay),-0.850,-0.620
1,6:58,3,5,MIN 22,0,0,Brett Favre pass complete short right to Percy Harvin for 7 yards (tackle by William Gay),-0.620,0.870
1,6:24,1,10,MIN 29,0,0,Adrian Peterson left end for -3 yards (tackle by Troy Polamalu and Brett Keisel),0.870,-0.080
1,5:43,2,13,MIN 26,0,0,Brett Favre sacked by James Harrison for -6 yards,-0.080,-1.550
1,5:05,3,19,MIN 20,0,0,Chester Taylor middle for no gain (tackle by James Harrison and Brett Keisel),-1.550,-2.030
1,4:34,4,19,MIN 20,0,0,Chris Kluwe punts 19 yards,-2.030,-2.980
1,4:26,1,10,MIN 39,0,0,Ben Roethlisberger pass complete short right to Hines Ward for 3 yards (tackle by Benny Sapp),2.980,2.850
1,3:44,2,7,MIN 36,0,0,Ben Roethlisberger pass incomplete short left intended for Santonio Holmes (defended by Jared Allen),2.850,2.150
1,3:39,3,7,MIN 36,0,0,Ben Roethlisberger pass complete short left to Mike Wallace for 10 yards (tackle by Cedric Griffin),2.150,3.840
,,,,,,,"MIN challenged the first down ruling, and the play was upheld.",,
1,3:01,1,10,MIN 26,0,0,Mike Wallace left end for 13 yards (tackle by E.J. Henderson and Cedric Griffin),3.840,4.710
1,2:16,1,10,MIN 13,0,0,Ben Roethlisberger pass complete short right to David Johnson for 4 yards (tackle by Benny Sapp),4.710,4.770
1,1:35,2,6,MIN 9,0,0,Willie Parker left end for 2 yards (tackle by Cedric Griffin),4.770,4.330
1,0:51,3,4,MIN 7,0,0,"Ben Roethlisberger pass complete short left to Santonio Holmes for 7 yards. Penalty on Heath Miller: Offensive Pass Interfere, 10 yards (no play)",4.330,2.880
1,0:42,3,14,MIN 17,0,0,Ben Roethlisberger sacked by Jimmy Kennedy for -4 yards,2.880,2.060
1,0:09,4,18,MIN 21,0,3,Jeff Reed 39 yard field goal good,2.060,3.000
1,,,,PIT 30,0,3,"Jeff Reed kicks off 70 yards, returned by Percy Harvin for 18 yards (tackle by Joe Burnett)",0.000,0.040
Quarter,Time,Down,ToGo,Location,MIN,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 18,0,3,Adrian Peterson right guard for 15 yards (tackle by Lawrence Timmons and James Farrior),0.040,1.140
2,14:27,1,10,MIN 33,0,3,"Penalty on Anthony Herrera: False Start, 5 yards (no play)",1.140,0.810
2,14:07,1,15,MIN 28,0,3,Adrian Peterson left guard for 3 yards (tackle by Lawrence Timmons and James Farrior),0.810,0.320
2,13:31,2,12,MIN 31,0,3,"Brett Favre sacked by LaMarr Woodley for -5 yards. Penalty on Casey Hampton: Defensive Offside, 5 yards (no play)",0.320,1.000
