Unnamed: 0,CLE,PIT
First Downs,20,9
Rush-Yds-TDs,35-198-1,21-55-0
Cmp-Att-Yd-TD-INT,22-40-235-1-1,15-30-222-1-1
Sacked-Yards,6-25,2-22
Net Pass Yards,210,200
Total Yards,408,255
Fumbles-Lost,4-3,1-1
Turnovers,4,2
Penalties-Yards,8-81,5-31
Third Down Conv.,5-16,4-14
Fourth Down Conv.,0-2,0-0
Time of Possession,35:28,24:32
